2019-01-27 23:57:13,966 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-27 23:57:19,849 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:57:19,850 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-27 23:57:20,152 - INFO - fastread - 0, 0
2019-01-27 23:57:50,923 - INFO - fastread - 279, 290
2019-01-27 23:57:53,509 - INFO - fastread - 290, 310
2019-01-27 23:57:56,256 - INFO - fastread - 294, 330
2019-01-27 23:57:58,732 - INFO - fastread - 303, 350
2019-01-27 23:58:01,507 - INFO - fastread - 309, 370
2019-01-27 23:58:04,376 - INFO - fastread - 317, 390
2019-01-27 23:58:06,908 - INFO - fastread - 332, 410
2019-01-27 23:58:09,623 - INFO - fastread - 346, 430
2019-01-27 23:58:12,602 - INFO - fastread - 353, 450
2019-01-27 23:58:15,520 - INFO - fastread - 359, 470
2019-01-27 23:58:19,123 - INFO - fastread - 369, 490
2019-01-27 23:58:22,345 - INFO - fastread - 374, 510
2019-01-27 23:58:25,607 - INFO - fastread - 384, 530
2019-01-27 23:58:28,791 - INFO - fastread - 388, 550
2019-01-27 23:58:32,368 - INFO - fastread - 393, 570
2019-01-27 23:58:35,589 - INFO - fastread - 397, 590
2019-01-27 23:58:39,011 - INFO - fastread - 401, 610
2019-01-27 23:58:43,119 - INFO - fastread - 406, 630
2019-01-27 23:58:46,743 - INFO - fastread - 407, 650
2019-01-27 23:58:50,174 - INFO - fastread - 408, 670
2019-01-27 23:58:53,591 - INFO - fastread - 410, 690
2019-01-27 23:58:57,524 - INFO - fastread - 411, 710
2019-01-27 23:59:01,414 - INFO - fastread - 415, 730
2019-01-27 23:59:05,560 - INFO - fastread - 415, 750
2019-01-27 23:59:09,777 - INFO - fastread - 415, 770
2019-01-27 23:59:13,706 - INFO - fastread - 415, 790
2019-01-27 23:59:18,253 - INFO - fastread - 416, 810
2019-01-27 23:59:22,035 - INFO - fastread - 419, 830
2019-01-27 23:59:25,780 - INFO - fastread - 423, 850
2019-01-27 23:59:29,599 - INFO - fastread - 428, 870
2019-01-27 23:59:33,402 - INFO - fastread - 430, 890
2019-01-27 23:59:37,517 - INFO - fastread - 431, 910
2019-01-27 23:59:41,258 - INFO - fastread - 433, 930
2019-01-27 23:59:45,370 - INFO - fastread - 434, 950
2019-01-27 23:59:48,999 - INFO - fastread - 435, 970
2019-01-27 23:59:53,174 - INFO - fastread - 435, 990
2019-01-27 23:59:56,697 - INFO - fastread - 436, 1010
2019-01-28 00:00:00,462 - INFO - fastread - 438, 1030
2019-01-28 00:00:04,910 - INFO - fastread - 438, 1050
2019-01-28 00:00:08,639 - INFO - fastread - 442, 1070
2019-01-28 00:00:12,340 - INFO - fastread - 443, 1090
2019-01-28 00:00:15,870 - INFO - fastread - 444, 1110
2019-01-28 00:00:19,477 - INFO - fastread - 445, 1130
2019-01-28 00:00:23,110 - INFO - fastread - 445, 1150
2019-01-28 00:00:26,792 - INFO - fastread - 449, 1170
2019-01-28 00:00:28,540 - INFO - rig - ++++NEW CLF++++ SVM
2019-01-28 00:00:28,540 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-28 00:07:32,300 - INFO - fastread - 3, 10
2019-01-28 00:07:32,302 - INFO - fastread - 10, 20
2019-01-28 00:07:32,305 - INFO - fastread - 19, 30
2019-01-28 00:07:32,309 - INFO - fastread - 28, 40
2019-01-28 00:07:32,313 - INFO - fastread - 38, 50
2019-01-28 00:07:32,317 - INFO - fastread - 48, 60
2019-01-28 00:07:32,321 - INFO - fastread - 58, 70
2019-01-28 00:07:32,325 - INFO - fastread - 68, 80
2019-01-28 00:07:32,329 - INFO - fastread - 76, 90
2019-01-28 00:07:32,333 - INFO - fastread - 86, 100
2019-01-28 00:07:32,337 - INFO - fastread - 96, 110
2019-01-28 00:07:32,341 - INFO - fastread - 106, 120
2019-01-28 00:07:32,345 - INFO - fastread - 116, 130
2019-01-28 00:07:32,349 - INFO - fastread - 126, 140
2019-01-28 00:07:32,353 - INFO - fastread - 136, 150
2019-01-28 00:07:32,357 - INFO - fastread - 145, 160
2019-01-28 00:07:32,360 - INFO - fastread - 154, 170
2019-01-28 00:07:32,362 - INFO - fastread - 164, 180
2019-01-28 00:07:32,365 - INFO - fastread - 174, 190
2019-01-28 00:07:32,367 - INFO - fastread - 184, 200
2019-01-28 00:07:32,370 - INFO - fastread - 194, 210
2019-01-28 00:07:32,373 - INFO - fastread - 204, 220
2019-01-28 00:07:32,375 - INFO - fastread - 214, 230
2019-01-28 00:07:32,378 - INFO - fastread - 224, 240
2019-01-28 00:07:32,380 - INFO - fastread - 234, 250
2019-01-28 00:07:32,383 - INFO - fastread - 244, 260
2019-01-28 00:07:32,386 - INFO - fastread - 253, 270
2019-01-28 00:07:32,390 - INFO - fastread - 260, 280
2019-01-28 00:07:32,393 - INFO - fastread - 270, 290
2019-01-28 00:07:32,396 - INFO - fastread - 280, 300
2019-01-28 00:07:32,398 - INFO - fastread - 290, 310
2019-01-28 00:07:32,401 - INFO - fastread - 299, 320
2019-01-28 00:07:32,403 - INFO - fastread - 309, 330
2019-01-28 00:07:32,406 - INFO - fastread - 319, 340
2019-01-28 00:07:32,408 - INFO - fastread - 329, 350
2019-01-28 00:07:32,411 - INFO - fastread - 338, 360
2019-01-28 00:07:32,414 - INFO - fastread - 344, 370
2019-01-28 00:07:32,416 - INFO - fastread - 352, 380
2019-01-28 00:07:32,419 - INFO - fastread - 355, 390
2019-01-28 00:07:32,421 - INFO - fastread - 358, 400
2019-01-28 00:07:32,423 - INFO - fastread - 365, 410
2019-01-28 00:07:32,427 - INFO - fastread - 367, 420
2019-01-28 00:07:32,431 - INFO - fastread - 371, 430
2019-01-28 00:07:32,435 - INFO - fastread - 374, 440
2019-01-28 00:07:32,439 - INFO - fastread - 376, 450
2019-01-28 00:07:32,443 - INFO - fastread - 376, 460
2019-01-28 00:07:32,447 - INFO - fastread - 380, 470
2019-01-28 00:07:32,451 - INFO - fastread - 380, 480
2019-01-28 00:07:32,455 - INFO - fastread - 384, 490
2019-01-28 00:07:32,458 - INFO - fastread - 386, 500
2019-01-28 00:07:32,460 - INFO - fastread - 387, 510
2019-01-28 00:07:32,463 - INFO - fastread - 388, 520
2019-01-28 00:07:32,466 - INFO - fastread - 393, 530
2019-01-28 00:07:32,468 - INFO - fastread - 395, 540
2019-01-28 00:07:32,471 - INFO - fastread - 398, 550
2019-01-28 00:07:32,473 - INFO - fastread - 400, 560
2019-01-28 00:07:32,476 - INFO - fastread - 400, 570
2019-01-28 00:07:32,478 - INFO - fastread - 403, 580
