2019-01-27 23:42:06,817 - INFO - rig - jfreechart-1.0.19
2019-01-27 23:42:14,091 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:42:14,091 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-01-27 23:42:14,374 - INFO - fastread - 0, 0
2019-01-27 23:42:19,672 - INFO - fastread - 41, 44
2019-01-27 23:42:22,285 - INFO - fastread - 56, 64
2019-01-27 23:42:24,854 - INFO - fastread - 59, 84
2019-01-27 23:42:27,367 - INFO - fastread - 62, 104
2019-01-27 23:42:30,103 - INFO - fastread - 64, 124
2019-01-27 23:42:32,503 - INFO - fastread - 67, 144
2019-01-27 23:42:35,047 - INFO - fastread - 69, 164
2019-01-27 23:42:37,617 - INFO - fastread - 83, 184
2019-01-27 23:42:40,109 - INFO - fastread - 85, 204
2019-01-27 23:42:42,551 - INFO - fastread - 92, 224
2019-01-27 23:42:44,879 - INFO - fastread - 98, 244
2019-01-27 23:42:47,321 - INFO - fastread - 98, 264
2019-01-27 23:42:49,692 - INFO - fastread - 98, 284
2019-01-27 23:42:52,039 - INFO - fastread - 98, 304
2019-01-27 23:42:54,432 - INFO - fastread - 99, 324
2019-01-27 23:42:56,764 - INFO - fastread - 99, 344
2019-01-27 23:42:59,145 - INFO - fastread - 99, 364
2019-01-27 23:43:01,526 - INFO - fastread - 99, 384
2019-01-27 23:43:03,977 - INFO - fastread - 109, 404
2019-01-27 23:43:06,399 - INFO - fastread - 113, 424
2019-01-27 23:43:08,860 - INFO - fastread - 115, 444
2019-01-27 23:43:11,302 - INFO - fastread - 115, 464
2019-01-27 23:43:14,270 - INFO - fastread - 116, 484
2019-01-27 23:43:16,934 - INFO - fastread - 117, 504
2019-01-27 23:43:19,622 - INFO - fastread - 117, 524
2019-01-27 23:43:22,280 - INFO - fastread - 118, 544
2019-01-27 23:43:25,074 - INFO - fastread - 121, 564
2019-01-27 23:43:27,814 - INFO - fastread - 122, 584
2019-01-27 23:43:30,362 - INFO - fastread - 122, 604
