2019-01-27 23:52:07,065 - INFO - rig - jruby-1.4.0
2019-01-27 23:52:13,739 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:52:13,739 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-01-27 23:52:14,037 - INFO - fastread - 0, 0
2019-01-27 23:52:44,350 - INFO - fastread - 291, 305
2019-01-27 23:52:46,598 - INFO - fastread - 299, 325
2019-01-27 23:52:48,880 - INFO - fastread - 308, 345
2019-01-27 23:52:51,307 - INFO - fastread - 324, 365
2019-01-27 23:52:53,791 - INFO - fastread - 335, 385
2019-01-27 23:52:56,294 - INFO - fastread - 349, 405
2019-01-27 23:52:58,761 - INFO - fastread - 355, 425
2019-01-27 23:53:01,307 - INFO - fastread - 370, 445
2019-01-27 23:53:03,878 - INFO - fastread - 389, 465
2019-01-27 23:53:06,439 - INFO - fastread - 407, 485
2019-01-27 23:53:09,059 - INFO - fastread - 418, 505
2019-01-27 23:53:11,838 - INFO - fastread - 428, 525
2019-01-27 23:53:14,542 - INFO - fastread - 445, 545
2019-01-27 23:53:17,255 - INFO - fastread - 460, 565
2019-01-27 23:53:20,146 - INFO - fastread - 477, 585
2019-01-27 23:53:23,053 - INFO - fastread - 489, 605
2019-01-27 23:53:26,099 - INFO - fastread - 498, 625
2019-01-27 23:53:29,236 - INFO - fastread - 512, 645
2019-01-27 23:53:32,381 - INFO - fastread - 525, 665
2019-01-27 23:53:35,475 - INFO - fastread - 536, 685
2019-01-27 23:53:38,691 - INFO - fastread - 548, 705
2019-01-27 23:53:41,915 - INFO - fastread - 556, 725
2019-01-27 23:53:45,372 - INFO - fastread - 560, 745
2019-01-27 23:53:49,264 - INFO - fastread - 563, 765
2019-01-27 23:53:54,585 - INFO - fastread - 565, 785
2019-01-27 23:53:59,229 - INFO - fastread - 566, 805
2019-01-27 23:54:04,591 - INFO - fastread - 571, 825
2019-01-27 23:54:15,436 - INFO - fastread - 571, 845
2019-01-27 23:54:21,292 - INFO - fastread - 572, 865
2019-01-27 23:54:25,437 - INFO - fastread - 573, 885
2019-01-27 23:54:29,413 - INFO - fastread - 578, 905
2019-01-27 23:54:33,416 - INFO - fastread - 581, 925
2019-01-27 23:54:37,334 - INFO - fastread - 584, 945
2019-01-27 23:54:42,090 - INFO - fastread - 588, 965
2019-01-27 23:54:46,815 - INFO - fastread - 590, 985
2019-01-27 23:54:49,184 - INFO - rig - ++++NEW CLF++++ SVM
2019-01-27 23:54:49,185 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-01-28 00:01:53,004 - INFO - fastread - 1, 10
2019-01-28 00:01:53,009 - INFO - fastread - 7, 20
2019-01-28 00:01:53,013 - INFO - fastread - 17, 30
2019-01-28 00:01:53,018 - INFO - fastread - 27, 40
2019-01-28 00:01:53,023 - INFO - fastread - 36, 50
2019-01-28 00:01:53,027 - INFO - fastread - 46, 60
2019-01-28 00:01:53,030 - INFO - fastread - 56, 70
2019-01-28 00:01:53,033 - INFO - fastread - 66, 80
2019-01-28 00:01:53,038 - INFO - fastread - 76, 90
2019-01-28 00:01:53,042 - INFO - fastread - 86, 100
2019-01-28 00:01:53,047 - INFO - fastread - 96, 110
2019-01-28 00:01:53,051 - INFO - fastread - 106, 120
2019-01-28 00:01:53,055 - INFO - fastread - 116, 130
2019-01-28 00:01:53,060 - INFO - fastread - 126, 140
2019-01-28 00:01:53,064 - INFO - fastread - 136, 150
2019-01-28 00:01:53,067 - INFO - fastread - 146, 160
2019-01-28 00:01:53,071 - INFO - fastread - 156, 170
2019-01-28 00:01:53,076 - INFO - fastread - 166, 180
2019-01-28 00:01:53,081 - INFO - fastread - 176, 190
2019-01-28 00:01:53,085 - INFO - fastread - 185, 200
2019-01-28 00:01:53,090 - INFO - fastread - 195, 210
2019-01-28 00:01:53,095 - INFO - fastread - 204, 220
2019-01-28 00:01:53,099 - INFO - fastread - 214, 230
2019-01-28 00:01:53,105 - INFO - fastread - 222, 240
2019-01-28 00:01:53,109 - INFO - fastread - 232, 250
2019-01-28 00:01:53,112 - INFO - fastread - 242, 260
2019-01-28 00:01:53,117 - INFO - fastread - 251, 270
2019-01-28 00:01:53,124 - INFO - fastread - 260, 280
2019-01-28 00:01:53,127 - INFO - fastread - 270, 290
2019-01-28 00:01:53,132 - INFO - fastread - 279, 300
2019-01-28 00:01:53,135 - INFO - fastread - 289, 310
2019-01-28 00:01:53,140 - INFO - fastread - 297, 320
2019-01-28 00:01:53,146 - INFO - fastread - 307, 330
2019-01-28 00:01:53,152 - INFO - fastread - 314, 340
2019-01-28 00:01:53,160 - INFO - fastread - 321, 350
2019-01-28 00:01:53,163 - INFO - fastread - 328, 360
2019-01-28 00:01:53,169 - INFO - fastread - 335, 370
2019-01-28 00:01:53,174 - INFO - fastread - 339, 380
2019-01-28 00:01:53,177 - INFO - fastread - 346, 390
