2019-01-30 17:35:51,075 - INFO - rig - columba-1.4-src
2019-01-30 17:35:56,179 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-30 17:35:56,179 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-01-30 17:35:56,501 - INFO - fastread - 0, 0  9499
2019-01-30 17:36:19,122 - INFO - fastread - 172, 183  9499
2019-01-30 17:36:24,829 - INFO - fastread - 177, 215  244
2019-01-30 17:36:30,608 - INFO - fastread - 177, 247  284
2019-01-30 17:36:36,596 - INFO - fastread - 177, 279  291
2019-01-30 17:36:42,742 - INFO - fastread - 179, 311  295
2019-01-30 17:36:49,003 - INFO - fastread - 183, 343  328
2019-01-30 17:36:55,125 - INFO - fastread - 185, 375  297
2019-01-30 17:37:01,188 - INFO - fastread - 185, 407  299
2019-01-30 17:37:07,276 - INFO - fastread - 187, 439  292
2019-01-30 17:37:13,246 - INFO - fastread - 188, 471  301
2019-01-30 17:37:19,202 - INFO - fastread - 189, 503  280
2019-01-30 17:37:25,311 - INFO - fastread - 191, 535  293
2019-01-30 17:37:31,508 - INFO - fastread - 192, 567  274
2019-01-30 17:37:36,468 - INFO - fastread - 192, 599  263
2019-01-30 17:37:42,402 - INFO - fastread - 193, 631  259
2019-01-30 17:37:48,220 - INFO - fastread - 193, 663  247
2019-01-30 17:37:52,545 - INFO - fastread - 193, 695  254
2019-01-30 17:37:56,433 - INFO - fastread - 194, 727  247
2019-01-30 17:38:01,142 - INFO - fastread - 194, 759  246
2019-01-30 17:38:05,445 - INFO - fastread - 194, 791  244
2019-01-30 17:38:09,431 - INFO - fastread - 194, 823  239
2019-01-30 17:38:13,501 - INFO - fastread - 195, 855  234
2019-01-30 17:38:17,460 - INFO - fastread - 196, 887  231
2019-01-30 17:38:22,197 - INFO - fastread - 196, 919  230
2019-01-30 17:38:26,390 - INFO - fastread - 196, 951  228
2019-01-30 17:38:30,418 - INFO - fastread - 196, 983  224
2019-01-30 17:38:34,545 - INFO - fastread - 196, 1015  225
2019-01-30 17:38:41,946 - INFO - fastread - 196, 1079  222
2019-01-30 17:38:50,750 - INFO - fastread - 196, 1143  220
2019-01-30 17:39:00,322 - INFO - fastread - 196, 1207  216
2019-01-30 17:39:06,233 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-01-30 17:39:06,252 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,259 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,265 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,271 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,278 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,284 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,290 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,297 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,303 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,309 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,315 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,322 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,328 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,334 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,341 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,347 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,353 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,360 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,366 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,372 - INFO - ensemble - 196, 1239
2019-01-30 17:39:06,379 - INFO - ensemble - 196, 1242
2019-01-30 17:39:06,385 - INFO - ensemble - 197, 1250
2019-01-30 17:39:06,391 - INFO - ensemble - 198, 1253
2019-01-30 17:39:06,398 - INFO - ensemble - 198, 1258
2019-01-30 17:39:06,404 - INFO - ensemble - 199, 1264
2019-01-30 17:39:06,410 - INFO - ensemble - 199, 1269
2019-01-30 17:39:06,417 - INFO - ensemble - 199, 1277
2019-01-30 17:39:06,423 - INFO - ensemble - 199, 1282
2019-01-30 17:39:06,429 - INFO - ensemble - 199, 1291
2019-01-30 17:39:06,436 - INFO - ensemble - 200, 1297
2019-01-30 17:39:06,442 - INFO - ensemble - 200, 1302
2019-01-30 17:39:06,448 - INFO - ensemble - 200, 1310
2019-01-30 17:39:06,455 - INFO - ensemble - 200, 1318
2019-01-30 17:39:06,461 - INFO - ensemble - 200, 1324
2019-01-30 17:39:06,467 - INFO - ensemble - 200, 1331
2019-01-30 17:39:06,474 - INFO - ensemble - 200, 1338
2019-01-30 17:39:06,480 - INFO - ensemble - 200, 1347
2019-01-30 17:39:06,486 - INFO - ensemble - 200, 1355
2019-01-30 17:39:06,493 - INFO - ensemble - 200, 1365
2019-01-30 17:39:06,499 - INFO - ensemble - 200, 1374
2019-01-30 17:39:06,506 - INFO - ensemble - 200, 1382
