2019-01-30 17:35:51,693 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-30 17:35:56,396 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-30 17:35:56,397 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-30 17:35:56,877 - INFO - fastread - 0, 0  9499
2019-01-30 17:36:41,235 - INFO - fastread - 346, 359  9499
2019-01-30 17:36:43,383 - INFO - fastread - 348, 373  645
2019-01-30 17:36:45,391 - INFO - fastread - 349, 387  1059
2019-01-30 17:36:47,633 - INFO - fastread - 352, 401  1061
2019-01-30 17:36:49,901 - INFO - fastread - 356, 415  778
2019-01-30 17:36:52,139 - INFO - fastread - 359, 429  694
2019-01-30 17:36:54,578 - INFO - fastread - 362, 443  636
2019-01-30 17:36:56,936 - INFO - fastread - 364, 457  590
2019-01-30 17:36:59,307 - INFO - fastread - 368, 471  572
2019-01-30 17:37:01,937 - INFO - fastread - 376, 485  554
2019-01-30 17:37:04,352 - INFO - fastread - 381, 499  568
2019-01-30 17:37:06,866 - INFO - fastread - 385, 513  561
2019-01-30 17:37:09,288 - INFO - fastread - 387, 527  555
2019-01-30 17:37:11,769 - INFO - fastread - 391, 541  560
2019-01-30 17:37:14,459 - INFO - fastread - 394, 555  563
2019-01-30 17:37:17,031 - INFO - fastread - 397, 569  564
2019-01-30 17:37:19,693 - INFO - fastread - 400, 583  565
2019-01-30 17:37:22,480 - INFO - fastread - 401, 597  559
2019-01-30 17:37:25,185 - INFO - fastread - 402, 611  552
2019-01-30 17:37:27,978 - INFO - fastread - 404, 625  552
2019-01-30 17:37:30,912 - INFO - fastread - 408, 639  550
2019-01-30 17:37:33,867 - INFO - fastread - 412, 653  552
2019-01-30 17:37:36,644 - INFO - fastread - 416, 667  551
2019-01-30 17:37:39,380 - INFO - fastread - 416, 681  554
2019-01-30 17:37:42,369 - INFO - fastread - 417, 695  546
2019-01-30 17:37:45,470 - INFO - fastread - 418, 709  539
2019-01-30 17:37:48,485 - INFO - fastread - 419, 723  538
2019-01-30 17:37:51,619 - INFO - fastread - 420, 737  532
2019-01-30 17:37:54,739 - INFO - fastread - 421, 751  530
2019-01-30 17:37:57,836 - INFO - fastread - 421, 765  524
2019-01-30 17:38:00,942 - INFO - fastread - 421, 779  520
2019-01-30 17:38:04,108 - INFO - fastread - 421, 793  514
2019-01-30 17:38:07,322 - INFO - fastread - 421, 807  509
2019-01-30 17:38:10,625 - INFO - fastread - 422, 821  502
2019-01-30 17:38:13,902 - INFO - fastread - 426, 835  502
2019-01-30 17:38:17,192 - INFO - fastread - 426, 849  520
2019-01-30 17:38:20,439 - INFO - fastread - 428, 863  540
2019-01-30 17:38:23,715 - INFO - fastread - 430, 877  527
2019-01-30 17:38:26,997 - INFO - fastread - 434, 891  526
2019-01-30 17:38:30,195 - INFO - fastread - 436, 905  526
2019-01-30 17:38:33,382 - INFO - fastread - 436, 919  522
2019-01-30 17:38:36,574 - INFO - fastread - 438, 933  513
2019-01-30 17:38:39,876 - INFO - fastread - 439, 947  510
2019-01-30 17:38:43,016 - INFO - fastread - 439, 961  505
2019-01-30 17:38:48,041 - INFO - fastread - 439, 975  498
2019-01-30 17:38:51,323 - INFO - fastread - 440, 989  492
2019-01-30 17:38:54,652 - INFO - fastread - 442, 1003  491
2019-01-30 17:38:57,811 - INFO - fastread - 443, 1017  490
2019-01-30 17:39:01,259 - INFO - fastread - 443, 1031  487
2019-01-30 17:39:04,528 - INFO - fastread - 445, 1045  488
2019-01-30 17:39:07,815 - INFO - fastread - 445, 1059  486
2019-01-30 17:39:11,264 - INFO - fastread - 446, 1073  483
2019-01-30 17:39:14,901 - INFO - fastread - 447, 1087  479
2019-01-30 17:39:19,837 - INFO - fastread - 448, 1101  481
2019-01-30 17:39:22,995 - INFO - fastread - 448, 1115  479
2019-01-30 17:39:26,209 - INFO - fastread - 448, 1129  477
2019-01-30 17:39:29,496 - INFO - fastread - 448, 1143  475
2019-01-30 17:39:32,824 - INFO - fastread - 449, 1157  472
2019-01-30 17:39:36,005 - INFO - fastread - 449, 1171  472
2019-01-30 17:39:39,355 - INFO - fastread - 451, 1185  468
2019-01-30 17:39:42,934 - INFO - fastread - 452, 1199  469
2019-01-30 17:39:46,249 - INFO - fastread - 452, 1213  472
2019-01-30 17:39:49,852 - INFO - fastread - 452, 1227  467
2019-01-30 17:39:53,239 - INFO - fastread - 452, 1241  466
2019-01-30 17:39:56,386 - INFO - fastread - 453, 1255  466
2019-01-30 17:39:59,776 - INFO - fastread - 453, 1269  464
2019-01-30 17:40:03,485 - INFO - fastread - 455, 1283  462
