2019-01-30 17:35:51,070 - INFO - rig - jEdit-4.2
2019-01-30 17:35:57,732 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-30 17:35:57,732 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-30 17:35:58,099 - INFO - fastread - 0, 0  9499
2019-01-30 17:36:03,981 - INFO - fastread - 52, 55  9499
2019-01-30 17:36:10,216 - INFO - fastread - 59, 106  135
2019-01-30 17:36:16,371 - INFO - fastread - 68, 157  135
2019-01-30 17:36:22,204 - INFO - fastread - 92, 208  131
2019-01-30 17:36:27,826 - INFO - fastread - 108, 259  177
2019-01-30 17:36:33,678 - INFO - fastread - 126, 310  166
2019-01-30 17:36:39,752 - INFO - fastread - 144, 361  175
2019-01-30 17:36:45,955 - INFO - fastread - 158, 412  190
2019-01-30 17:36:52,123 - INFO - fastread - 171, 463  209
2019-01-30 17:36:58,243 - INFO - fastread - 182, 514  217
2019-01-30 17:37:04,475 - INFO - fastread - 192, 565  212
2019-01-30 17:37:10,778 - INFO - fastread - 193, 616  256
2019-01-30 17:37:16,793 - INFO - fastread - 193, 667  223
2019-01-30 17:37:23,016 - INFO - fastread - 193, 718  216
2019-01-30 17:37:29,006 - INFO - fastread - 202, 769  209
2019-01-30 17:37:35,546 - INFO - fastread - 205, 820  232
2019-01-30 17:37:42,090 - INFO - fastread - 205, 871  222
2019-01-30 17:37:48,942 - INFO - fastread - 205, 922  220
2019-01-30 17:37:55,128 - INFO - fastread - 206, 973  215
2019-01-30 17:38:01,790 - INFO - fastread - 206, 1024  214
2019-01-30 17:38:07,958 - INFO - fastread - 209, 1075  227
2019-01-30 17:38:14,112 - INFO - fastread - 209, 1126  220
2019-01-30 17:38:20,313 - INFO - fastread - 214, 1177  220
2019-01-30 17:38:26,817 - INFO - fastread - 214, 1228  224
2019-01-30 17:38:33,281 - INFO - fastread - 219, 1279  224
2019-01-30 17:38:39,916 - INFO - fastread - 221, 1330  228
2019-01-30 17:38:46,769 - INFO - fastread - 225, 1381  228
2019-01-30 17:38:53,570 - INFO - fastread - 225, 1432  235
2019-01-30 17:39:00,329 - INFO - fastread - 225, 1483  235
2019-01-30 17:39:06,738 - INFO - fastread - 228, 1534  234
2019-01-30 17:39:13,251 - INFO - fastread - 235, 1585  234
2019-01-30 17:39:19,611 - INFO - fastread - 237, 1636  240
2019-01-30 17:39:26,479 - INFO - fastread - 238, 1687  239
2019-01-30 17:39:33,434 - INFO - fastread - 239, 1738  239
2019-01-30 17:39:40,300 - INFO - fastread - 242, 1789  242
2019-01-30 17:39:47,043 - INFO - fastread - 243, 1840  245
2019-01-30 17:39:54,123 - INFO - fastread - 243, 1891  247
2019-01-30 17:40:00,816 - INFO - fastread - 243, 1942  245
2019-01-30 17:40:09,675 - INFO - fastread - 243, 1993  246
2019-01-30 17:40:19,619 - INFO - fastread - 244, 2044  245
2019-01-30 17:40:30,034 - INFO - fastread - 248, 2095  250
2019-01-30 17:40:39,684 - INFO - fastread - 249, 2146  254
2019-01-30 17:40:49,456 - INFO - fastread - 249, 2197  259
2019-01-30 17:40:57,396 - INFO - fastread - 249, 2248  261
2019-01-30 17:41:07,944 - INFO - fastread - 249, 2299  269
2019-01-30 17:41:18,666 - INFO - fastread - 249, 2350  267
2019-01-30 17:41:29,280 - INFO - fastread - 250, 2401  267
2019-01-30 17:41:39,610 - INFO - fastread - 250, 2452  270
2019-01-30 17:41:47,417 - INFO - fastread - 250, 2503  269
2019-01-30 17:41:54,281 - INFO - fastread - 251, 2554  269
2019-01-30 17:42:01,093 - INFO - fastread - 251, 2605  272
2019-01-30 17:42:08,121 - INFO - fastread - 252, 2656  278
2019-01-30 17:42:15,773 - INFO - fastread - 252, 2707  311
2019-01-30 17:42:23,021 - INFO - fastread - 252, 2758  299
2019-01-30 17:42:30,217 - INFO - fastread - 252, 2809  287
2019-01-30 17:42:37,803 - INFO - fastread - 252, 2860  275
2019-01-30 17:42:49,357 - INFO - fastread - 252, 2962  269
2019-01-30 17:43:02,263 - INFO - fastread - 252, 3064  275
2019-01-30 17:43:14,908 - INFO - fastread - 252, 3166  276
2019-01-30 17:43:22,858 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-01-30 17:43:22,885 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,890 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,895 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,901 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,906 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,911 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,916 - INFO - ensemble - 252, 3217
2019-01-30 17:43:22,921 - INFO - ensemble - 252, 3218
2019-01-30 17:43:22,926 - INFO - ensemble - 252, 3218
2019-01-30 17:43:22,932 - INFO - ensemble - 252, 3218
2019-01-30 17:43:22,937 - INFO - ensemble - 252, 3220
2019-01-30 17:43:22,942 - INFO - ensemble - 252, 3221
2019-01-30 17:43:22,948 - INFO - ensemble - 252, 3221
2019-01-30 17:43:22,953 - INFO - ensemble - 252, 3221
2019-01-30 17:43:22,958 - INFO - ensemble - 252, 3221
2019-01-30 17:43:22,963 - INFO - ensemble - 252, 3223
2019-01-30 17:43:22,967 - INFO - ensemble - 252, 3224
2019-01-30 17:43:22,971 - INFO - ensemble - 252, 3227
2019-01-30 17:43:22,976 - INFO - ensemble - 252, 3228
2019-01-30 17:43:22,980 - INFO - ensemble - 252, 3231
2019-01-30 17:43:22,984 - INFO - ensemble - 252, 3235
2019-01-30 17:43:22,990 - INFO - ensemble - 252, 3237
2019-01-30 17:43:22,995 - INFO - ensemble - 252, 3240
2019-01-30 17:43:23,000 - INFO - ensemble - 252, 3241
2019-01-30 17:43:23,006 - INFO - ensemble - 252, 3241
2019-01-30 17:43:23,010 - INFO - ensemble - 252, 3244
2019-01-30 17:43:23,015 - INFO - ensemble - 252, 3247
2019-01-30 17:43:23,021 - INFO - ensemble - 252, 3248
2019-01-30 17:43:23,026 - INFO - ensemble - 252, 3249
2019-01-30 17:43:23,031 - INFO - ensemble - 252, 3250
2019-01-30 17:43:23,036 - INFO - ensemble - 252, 3252
2019-01-30 17:43:23,042 - INFO - ensemble - 252, 3255
2019-01-30 17:43:23,047 - INFO - ensemble - 252, 3256
2019-01-30 17:43:23,052 - INFO - ensemble - 252, 3259
2019-01-30 17:43:23,057 - INFO - ensemble - 252, 3261
2019-01-30 17:43:23,062 - INFO - ensemble - 252, 3263
2019-01-30 17:43:23,067 - INFO - ensemble - 252, 3264
2019-01-30 17:43:23,072 - INFO - ensemble - 252, 3264
2019-01-30 17:43:23,077 - INFO - ensemble - 252, 3266
2019-01-30 17:43:23,082 - INFO - ensemble - 252, 3267
2019-01-30 17:43:23,087 - INFO - ensemble - 253, 3270
2019-01-30 17:43:23,093 - INFO - ensemble - 253, 3270
2019-01-30 17:43:23,098 - INFO - ensemble - 253, 3273
2019-01-30 17:43:23,103 - INFO - ensemble - 253, 3276
2019-01-30 17:43:23,108 - INFO - ensemble - 253, 3277
2019-01-30 17:43:23,113 - INFO - ensemble - 253, 3278
2019-01-30 17:43:23,118 - INFO - ensemble - 253, 3280
2019-01-30 17:43:23,123 - INFO - ensemble - 253, 3282
2019-01-30 17:43:23,128 - INFO - ensemble - 253, 3282
2019-01-30 17:43:23,133 - INFO - ensemble - 253, 3286
2019-01-30 17:43:23,138 - INFO - ensemble - 253, 3294
