2019-01-30 17:35:51,167 - INFO - rig - sql12
2019-01-30 17:35:57,747 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-30 17:35:57,748 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-30 17:35:58,097 - INFO - fastread - 0, 0  9499
2019-01-30 17:36:18,340 - INFO - fastread - 151, 160  9499
2019-01-30 17:36:25,373 - INFO - fastread - 156, 196  386
2019-01-30 17:36:32,527 - INFO - fastread - 158, 232  513
2019-01-30 17:36:40,043 - INFO - fastread - 158, 268  447
2019-01-30 17:36:47,355 - INFO - fastread - 161, 304  589
2019-01-30 17:36:54,464 - INFO - fastread - 167, 340  554
2019-01-30 17:37:01,888 - INFO - fastread - 168, 376  550
2019-01-30 17:37:09,085 - INFO - fastread - 169, 412  539
2019-01-30 17:37:16,680 - INFO - fastread - 177, 448  501
2019-01-30 17:37:24,406 - INFO - fastread - 196, 484  521
2019-01-30 17:37:32,220 - INFO - fastread - 199, 520  563
2019-01-30 17:37:40,163 - INFO - fastread - 200, 556  513
2019-01-30 17:37:47,922 - INFO - fastread - 203, 592  467
2019-01-30 17:37:55,572 - INFO - fastread - 207, 628  447
2019-01-30 17:38:03,604 - INFO - fastread - 208, 664  459
2019-01-30 17:38:11,534 - INFO - fastread - 219, 700  444
2019-01-30 17:38:19,673 - INFO - fastread - 219, 736  446
2019-01-30 17:38:25,428 - INFO - fastread - 221, 772  421
2019-01-30 17:38:30,706 - INFO - fastread - 223, 808  415
2019-01-30 17:38:36,080 - INFO - fastread - 227, 844  398
2019-01-30 17:38:41,654 - INFO - fastread - 227, 880  393
2019-01-30 17:38:47,494 - INFO - fastread - 228, 916  390
2019-01-30 17:38:53,093 - INFO - fastread - 232, 952  364
2019-01-30 17:38:58,916 - INFO - fastread - 234, 988  362
2019-01-30 17:39:04,104 - INFO - fastread - 236, 1024  368
2019-01-30 17:39:10,005 - INFO - fastread - 238, 1060  350
2019-01-30 17:39:15,467 - INFO - fastread - 239, 1096  336
2019-01-30 17:39:21,237 - INFO - fastread - 241, 1132  348
2019-01-30 17:39:26,830 - INFO - fastread - 244, 1168  336
2019-01-30 17:39:32,577 - INFO - fastread - 244, 1204  330
2019-01-30 17:39:38,306 - INFO - fastread - 245, 1240  322
2019-01-30 17:39:43,829 - INFO - fastread - 245, 1276  311
2019-01-30 17:39:50,075 - INFO - fastread - 246, 1312  304
2019-01-30 17:39:55,814 - INFO - fastread - 246, 1348  314
2019-01-30 17:40:01,615 - INFO - fastread - 246, 1384  306
2019-01-30 17:40:08,051 - INFO - fastread - 246, 1420  301
2019-01-30 17:40:13,840 - INFO - fastread - 246, 1456  301
2019-01-30 17:40:20,093 - INFO - fastread - 248, 1492  295
2019-01-30 17:40:26,603 - INFO - fastread - 249, 1528  298
2019-01-30 17:40:32,985 - INFO - fastread - 249, 1564  301
2019-01-30 17:40:39,089 - INFO - fastread - 250, 1600  289
2019-01-30 17:40:45,285 - INFO - fastread - 250, 1636  290
2019-01-30 17:40:51,785 - INFO - fastread - 250, 1672  285
2019-01-30 17:40:58,249 - INFO - fastread - 250, 1708  281
2019-01-30 17:41:04,827 - INFO - fastread - 251, 1744  281
2019-01-30 17:41:10,819 - INFO - fastread - 253, 1780  283
2019-01-30 17:41:17,517 - INFO - fastread - 256, 1816  286
2019-01-30 17:41:24,215 - INFO - fastread - 257, 1852  291
2019-01-30 17:41:30,495 - INFO - fastread - 258, 1888  290
2019-01-30 17:41:37,176 - INFO - fastread - 260, 1924  288
2019-01-30 17:41:43,499 - INFO - fastread - 260, 1960  289
2019-01-30 17:41:50,052 - INFO - fastread - 261, 1996  289
2019-01-30 17:41:57,204 - INFO - fastread - 262, 2032  288
2019-01-30 17:42:03,136 - INFO - fastread - 270, 2068  290
2019-01-30 17:42:09,596 - INFO - fastread - 271, 2104  296
2019-01-30 17:42:16,805 - INFO - fastread - 271, 2140  298
2019-01-30 17:42:23,482 - INFO - fastread - 272, 2176  296
2019-01-30 17:42:30,057 - INFO - fastread - 272, 2212  293
2019-01-30 17:42:37,159 - INFO - fastread - 272, 2248  290
2019-01-30 17:42:43,802 - INFO - fastread - 274, 2284  291
2019-01-30 17:42:50,495 - INFO - fastread - 274, 2320  291
2019-01-30 17:42:58,069 - INFO - fastread - 274, 2356  290
2019-01-30 17:43:05,342 - INFO - fastread - 274, 2392  291
2019-01-30 17:43:12,694 - INFO - fastread - 274, 2428  289
2019-01-30 17:43:23,704 - INFO - fastread - 274, 2500  289
2019-01-30 17:43:30,764 - INFO - fastread - 275, 2536  289
2019-01-30 17:43:37,348 - INFO - fastread - 275, 2572  293
2019-01-30 17:43:44,807 - INFO - fastread - 275, 2608  290
2019-01-30 17:43:52,418 - INFO - fastread - 275, 2644  288
2019-01-30 17:43:59,634 - INFO - fastread - 275, 2680  290
2019-01-30 17:44:10,985 - INFO - fastread - 275, 2752  287
2019-01-30 17:44:18,286 - INFO - fastread - 276, 2788  285
2019-01-30 17:44:25,913 - INFO - fastread - 277, 2824  287
2019-01-30 17:44:33,393 - INFO - fastread - 277, 2860  285
2019-01-30 17:44:41,168 - INFO - fastread - 277, 2896  285
2019-01-30 17:44:48,637 - INFO - fastread - 277, 2932  285
2019-01-30 17:44:56,221 - INFO - fastread - 277, 2968  288
2019-01-30 17:45:07,349 - INFO - fastread - 277, 3040  286
2019-01-30 17:45:18,827 - INFO - fastread - 277, 3112  286
2019-01-30 17:45:29,968 - INFO - fastread - 277, 3184  288
2019-01-30 17:45:38,032 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-01-30 17:45:38,052 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,057 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,061 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,066 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,070 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,075 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,079 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,084 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,088 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,093 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,097 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,102 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,106 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,110 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,114 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,119 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,123 - INFO - ensemble - 278, 3220
2019-01-30 17:45:38,127 - INFO - ensemble - 278, 3222
2019-01-30 17:45:38,132 - INFO - ensemble - 278, 3224
2019-01-30 17:45:38,136 - INFO - ensemble - 278, 3227
2019-01-30 17:45:38,141 - INFO - ensemble - 279, 3228
2019-01-30 17:45:38,145 - INFO - ensemble - 279, 3228
2019-01-30 17:45:38,149 - INFO - ensemble - 280, 3229
2019-01-30 17:45:38,153 - INFO - ensemble - 280, 3230
2019-01-30 17:45:38,157 - INFO - ensemble - 281, 3231
2019-01-30 17:45:38,163 - INFO - ensemble - 281, 3232
2019-01-30 17:45:38,168 - INFO - ensemble - 281, 3233
2019-01-30 17:45:38,172 - INFO - ensemble - 281, 3233
2019-01-30 17:45:38,177 - INFO - ensemble - 281, 3234
2019-01-30 17:45:38,181 - INFO - ensemble - 281, 3236
2019-01-30 17:45:38,186 - INFO - ensemble - 281, 3237
2019-01-30 17:45:38,190 - INFO - ensemble - 281, 3238
2019-01-30 17:45:38,195 - INFO - ensemble - 281, 3242
2019-01-30 17:45:38,199 - INFO - ensemble - 281, 3244
2019-01-30 17:45:38,203 - INFO - ensemble - 281, 3247
2019-01-30 17:45:38,208 - INFO - ensemble - 281, 3254
2019-01-30 17:45:38,212 - INFO - ensemble - 281, 3257
2019-01-30 17:45:38,217 - INFO - ensemble - 281, 3259
2019-01-30 17:45:38,222 - INFO - ensemble - 281, 3263
2019-01-30 17:45:38,226 - INFO - ensemble - 281, 3266
