2019-02-01 12:35:43,695 - INFO - rig - apache-jmeter-2.10
2019-02-01 12:35:52,703 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-01 12:35:52,704 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-02-01 12:35:53,412 - INFO - fastread - 0, 0  9999
2019-02-01 12:36:51,728 - INFO - fastread - 278, 318  9999
2019-02-01 12:36:59,751 - INFO - fastread - 279, 358  459
2019-02-01 12:37:07,881 - INFO - fastread - 282, 398  533
2019-02-01 12:37:16,336 - INFO - fastread - 283, 438  541
2019-02-01 12:37:24,838 - INFO - fastread - 286, 478  546
2019-02-01 12:37:33,302 - INFO - fastread - 294, 518  543
2019-02-01 12:37:41,308 - INFO - fastread - 297, 558  583
2019-02-01 12:37:49,563 - INFO - fastread - 302, 598  562
2019-02-01 12:37:57,832 - INFO - fastread - 303, 638  523
2019-02-01 12:38:05,779 - INFO - fastread - 306, 678  524
2019-02-01 12:38:13,865 - INFO - fastread - 306, 718  474
2019-02-01 12:38:21,749 - INFO - fastread - 307, 758  643
2019-02-01 12:38:29,628 - INFO - fastread - 309, 798  600
2019-02-01 12:38:37,745 - INFO - fastread - 315, 838  435
2019-02-01 12:38:45,823 - INFO - fastread - 321, 878  518
2019-02-01 12:38:53,637 - INFO - fastread - 323, 918  421
2019-02-01 12:39:01,777 - INFO - fastread - 323, 958  427
2019-02-01 12:39:09,520 - INFO - fastread - 324, 998  397
2019-02-01 12:39:17,081 - INFO - fastread - 324, 1038  377
2019-02-01 12:39:24,796 - INFO - fastread - 324, 1078  376
2019-02-01 12:39:32,224 - INFO - fastread - 324, 1118  374
2019-02-01 12:39:40,179 - INFO - fastread - 327, 1158  360
2019-02-01 12:39:47,227 - INFO - fastread - 336, 1198  361
2019-02-01 12:39:54,707 - INFO - fastread - 337, 1238  373
2019-02-01 12:40:01,639 - INFO - fastread - 337, 1278  368
2019-02-01 12:40:09,030 - INFO - fastread - 338, 1318  411
2019-02-01 12:40:17,181 - INFO - fastread - 339, 1358  403
2019-02-01 12:40:24,774 - INFO - fastread - 341, 1398  400
2019-02-01 12:40:32,814 - INFO - fastread - 341, 1438  395
2019-02-01 12:40:40,653 - INFO - fastread - 341, 1478  396
2019-02-01 12:40:49,113 - INFO - fastread - 342, 1518  388
2019-02-01 12:40:56,398 - INFO - fastread - 342, 1558  381
2019-02-01 12:41:04,048 - INFO - fastread - 344, 1598  383
2019-02-01 12:41:12,875 - INFO - fastread - 345, 1638  382
2019-02-01 12:41:23,922 - INFO - fastread - 345, 1678  383
2019-02-01 12:41:34,268 - INFO - fastread - 350, 1718  382
2019-02-01 12:41:44,104 - INFO - fastread - 353, 1758  392
2019-02-01 12:41:54,467 - INFO - fastread - 353, 1798  390
2019-02-01 12:42:02,431 - INFO - fastread - 353, 1838  386
2019-02-01 12:42:17,505 - INFO - fastread - 354, 1878  385
2019-02-01 12:42:28,288 - INFO - fastread - 355, 1918  386
2019-02-01 12:42:36,856 - INFO - fastread - 356, 1958  383
2019-02-01 12:42:45,816 - INFO - fastread - 356, 1998  383
2019-02-01 12:42:59,356 - INFO - fastread - 357, 2038  381
2019-02-01 12:43:09,129 - INFO - fastread - 357, 2078  381
2019-02-01 12:43:17,423 - INFO - fastread - 357, 2118  381
2019-02-01 12:43:24,980 - INFO - fastread - 359, 2158  381
2019-02-01 12:43:32,795 - INFO - fastread - 359, 2198  383
2019-02-01 12:43:40,367 - INFO - fastread - 359, 2238  377
2019-02-01 12:43:48,404 - INFO - fastread - 359, 2278  377
2019-02-01 12:43:56,793 - INFO - fastread - 359, 2318  375
2019-02-01 12:44:04,753 - INFO - fastread - 360, 2358  377
2019-02-01 12:44:13,170 - INFO - fastread - 360, 2398  384
2019-02-01 12:44:21,484 - INFO - fastread - 361, 2438  394
2019-02-01 12:44:30,186 - INFO - fastread - 362, 2478  390
2019-02-01 12:44:39,338 - INFO - fastread - 363, 2518  396
2019-02-01 12:44:47,920 - INFO - fastread - 363, 2558  389
2019-02-01 12:44:56,883 - INFO - fastread - 363, 2598  396
