2019-02-01 12:35:42,187 - INFO - rig - jfreechart-1.0.19
2019-02-01 12:35:49,242 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-01 12:35:49,242 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-02-01 12:35:49,586 - INFO - fastread - 0, 0  9999
2019-02-01 12:36:13,009 - INFO - fastread - 97, 135  9999
2019-02-01 12:36:17,714 - INFO - fastread - 100, 157  223
2019-02-01 12:36:22,326 - INFO - fastread - 100, 179  232
2019-02-01 12:36:27,094 - INFO - fastread - 100, 201  255
2019-02-01 12:36:31,490 - INFO - fastread - 100, 223  242
2019-02-01 12:36:35,682 - INFO - fastread - 100, 245  203
2019-02-01 12:36:39,852 - INFO - fastread - 101, 267  213
2019-02-01 12:36:43,969 - INFO - fastread - 101, 289  211
2019-02-01 12:36:48,261 - INFO - fastread - 104, 311  195
2019-02-01 12:36:51,993 - INFO - fastread - 104, 333  181
2019-02-01 12:36:56,117 - INFO - fastread - 104, 355  167
2019-02-01 12:37:00,047 - INFO - fastread - 109, 377  181
2019-02-01 12:37:04,044 - INFO - fastread - 115, 399  178
2019-02-01 12:37:08,044 - INFO - fastread - 119, 421  194
2019-02-01 12:37:11,738 - INFO - fastread - 120, 443  182
2019-02-01 12:37:15,826 - INFO - fastread - 120, 465  160
2019-02-01 12:37:19,534 - INFO - fastread - 121, 487  169
2019-02-01 12:37:23,610 - INFO - fastread - 122, 509  169
2019-02-01 12:37:27,467 - INFO - fastread - 122, 531  163
2019-02-01 12:37:31,031 - INFO - fastread - 126, 553  158
2019-02-01 12:37:35,121 - INFO - fastread - 128, 575  158
2019-02-01 12:37:38,913 - INFO - fastread - 128, 597  158
2019-02-01 12:37:42,773 - INFO - fastread - 129, 619  155
2019-02-01 12:37:46,485 - INFO - fastread - 130, 641  155
2019-02-01 12:37:50,657 - INFO - fastread - 134, 663  158
2019-02-01 12:37:54,363 - INFO - fastread - 134, 685  164
2019-02-01 12:37:58,239 - INFO - fastread - 134, 707  160
2019-02-01 12:38:01,925 - INFO - fastread - 138, 729  169
2019-02-01 12:38:05,961 - INFO - fastread - 139, 751  168
2019-02-01 12:38:09,507 - INFO - fastread - 139, 773  165
2019-02-01 12:38:13,643 - INFO - fastread - 139, 795  166
2019-02-01 12:38:17,233 - INFO - fastread - 139, 817  163
2019-02-01 12:38:21,236 - INFO - fastread - 139, 839  163
2019-02-01 12:38:24,748 - INFO - fastread - 140, 861  165
2019-02-01 12:38:28,933 - INFO - fastread - 140, 883  168
2019-02-01 12:38:32,279 - INFO - fastread - 140, 905  167
2019-02-01 12:38:36,813 - INFO - fastread - 140, 927  164
2019-02-01 12:38:40,072 - INFO - fastread - 140, 949  164
2019-02-01 12:38:44,492 - INFO - fastread - 142, 971  168
2019-02-01 12:38:48,136 - INFO - fastread - 142, 993  165
2019-02-01 12:38:52,218 - INFO - fastread - 142, 1015  165
2019-02-01 12:38:55,884 - INFO - fastread - 142, 1037  165
2019-02-01 12:39:00,120 - INFO - fastread - 142, 1059  166
2019-02-01 12:39:07,034 - INFO - fastread - 144, 1103  166
2019-02-01 12:39:10,754 - INFO - fastread - 166, 1125  198
2019-02-01 12:39:14,634 - INFO - fastread - 188, 1147  205
2019-02-01 12:39:18,403 - INFO - fastread - 203, 1169  214
2019-02-01 12:39:22,392 - INFO - fastread - 203, 1191  218
2019-02-01 12:39:26,143 - INFO - fastread - 205, 1213  215
