2019-02-04 16:20:57,851 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-02-04 16:21:03,325 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 16:21:03,325 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-02-04 16:21:03,647 - INFO - fastread - 0, 0  5999
2019-02-04 16:22:48,606 - INFO - fastread - 345, 358  5999
2019-02-04 16:22:49,215 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 16:22:49,232 - INFO - ensemble - 9, 10
2019-02-04 16:22:49,235 - INFO - ensemble - 19, 20
2019-02-04 16:22:49,239 - INFO - ensemble - 29, 30
2019-02-04 16:22:49,241 - INFO - ensemble - 38, 40
2019-02-04 16:22:49,244 - INFO - ensemble - 47, 50
2019-02-04 16:22:49,246 - INFO - ensemble - 56, 60
2019-02-04 16:22:49,249 - INFO - ensemble - 66, 70
2019-02-04 16:22:49,252 - INFO - ensemble - 76, 80
2019-02-04 16:22:49,254 - INFO - ensemble - 86, 90
2019-02-04 16:22:49,257 - INFO - ensemble - 96, 100
2019-02-04 16:22:49,260 - INFO - ensemble - 104, 110
2019-02-04 16:22:49,263 - INFO - ensemble - 114, 120
2019-02-04 16:22:49,265 - INFO - ensemble - 124, 130
2019-02-04 16:22:49,269 - INFO - ensemble - 133, 140
2019-02-04 16:22:49,274 - INFO - ensemble - 143, 150
2019-02-04 16:22:49,278 - INFO - ensemble - 153, 160
2019-02-04 16:22:49,283 - INFO - ensemble - 163, 170
2019-02-04 16:22:49,287 - INFO - ensemble - 172, 180
2019-02-04 16:22:49,293 - INFO - ensemble - 182, 190
2019-02-04 16:22:49,297 - INFO - ensemble - 192, 200
2019-02-04 16:22:49,302 - INFO - ensemble - 202, 210
2019-02-04 16:22:49,308 - INFO - ensemble - 212, 220
2019-02-04 16:22:49,312 - INFO - ensemble - 221, 230
2019-02-04 16:22:49,316 - INFO - ensemble - 231, 240
2019-02-04 16:22:49,320 - INFO - ensemble - 240, 250
2019-02-04 16:22:49,323 - INFO - ensemble - 250, 260
2019-02-04 16:22:49,325 - INFO - ensemble - 260, 270
2019-02-04 16:22:49,328 - INFO - ensemble - 270, 280
2019-02-04 16:22:49,331 - INFO - ensemble - 279, 290
2019-02-04 16:22:49,333 - INFO - ensemble - 289, 300
2019-02-04 16:22:49,344 - INFO - ensemble - 298, 310
2019-02-04 16:22:49,348 - INFO - ensemble - 308, 320
2019-02-04 16:22:49,352 - INFO - ensemble - 318, 330
2019-02-04 16:22:49,355 - INFO - ensemble - 328, 340
2019-02-04 16:22:49,359 - INFO - ensemble - 338, 350
2019-02-04 16:22:49,363 - INFO - ensemble - 347, 360
2019-02-04 16:22:54,615 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_NBM
2019-02-04 16:22:54,626 - INFO - ensemble - 10, 10
2019-02-04 16:22:54,630 - INFO - ensemble - 20, 20
2019-02-04 16:22:54,634 - INFO - ensemble - 30, 30
2019-02-04 16:22:54,638 - INFO - ensemble - 39, 40
2019-02-04 16:22:54,641 - INFO - ensemble - 49, 50
2019-02-04 16:22:54,643 - INFO - ensemble - 58, 60
2019-02-04 16:22:54,646 - INFO - ensemble - 68, 70
2019-02-04 16:22:54,649 - INFO - ensemble - 78, 80
2019-02-04 16:22:54,653 - INFO - ensemble - 87, 90
2019-02-04 16:22:54,657 - INFO - ensemble - 97, 100
2019-02-04 16:22:54,660 - INFO - ensemble - 107, 110
2019-02-04 16:22:54,664 - INFO - ensemble - 116, 120
2019-02-04 16:22:54,668 - INFO - ensemble - 125, 130
2019-02-04 16:22:54,672 - INFO - ensemble - 135, 140
2019-02-04 16:22:54,676 - INFO - ensemble - 145, 150
2019-02-04 16:22:54,680 - INFO - ensemble - 155, 160
2019-02-04 16:22:54,685 - INFO - ensemble - 165, 170
2019-02-04 16:22:54,689 - INFO - ensemble - 175, 180
2019-02-04 16:22:54,693 - INFO - ensemble - 185, 190
2019-02-04 16:22:54,698 - INFO - ensemble - 192, 200
2019-02-04 16:22:54,702 - INFO - ensemble - 202, 210
2019-02-04 16:22:54,706 - INFO - ensemble - 212, 220
2019-02-04 16:22:54,710 - INFO - ensemble - 221, 230
2019-02-04 16:22:54,713 - INFO - ensemble - 231, 240
2019-02-04 16:22:54,716 - INFO - ensemble - 241, 250
2019-02-04 16:22:54,718 - INFO - ensemble - 251, 260
2019-02-04 16:22:54,721 - INFO - ensemble - 260, 270
2019-02-04 16:22:54,723 - INFO - ensemble - 270, 280
2019-02-04 16:22:54,726 - INFO - ensemble - 279, 290
2019-02-04 16:22:54,730 - INFO - ensemble - 288, 300
2019-02-04 16:22:54,734 - INFO - ensemble - 298, 310
2019-02-04 16:22:54,738 - INFO - ensemble - 308, 320
2019-02-04 16:22:54,742 - INFO - ensemble - 318, 330
2019-02-04 16:22:54,746 - INFO - ensemble - 328, 340
2019-02-04 16:22:54,750 - INFO - ensemble - 337, 350
2019-02-04 16:22:54,753 - INFO - ensemble - 347, 360
2019-02-04 16:22:54,754 - INFO - rig - ++++NEW CLF++++ RANDOM
