2019-02-04 18:01:40,499 - INFO - rig - jruby-1.4.0
2019-02-04 18:01:48,950 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 18:01:48,951 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-02-04 18:01:49,542 - INFO - fastread - 0, 0  400
2019-02-04 18:03:11,453 - INFO - fastread - 394, 409  400
2019-02-04 18:03:17,162 - INFO - fastread - 404, 433  428
2019-02-04 18:03:22,933 - INFO - fastread - 405, 457  743
2019-02-04 18:03:28,860 - INFO - fastread - 415, 481  680
2019-02-04 18:03:35,066 - INFO - fastread - 420, 505  685
2019-02-04 18:03:41,347 - INFO - fastread - 436, 529  524
2019-02-04 18:03:50,407 - INFO - fastread - 454, 553  504
2019-02-04 18:03:59,078 - INFO - fastread - 471, 577  494
2019-02-04 18:04:05,587 - INFO - fastread - 492, 601  495
2019-02-04 18:04:12,240 - INFO - fastread - 508, 625  511
2019-02-04 18:04:18,892 - INFO - fastread - 519, 649  520
2019-02-04 18:04:20,880 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 18:04:20,902 - INFO - ensemble - 9, 10
2019-02-04 18:04:20,907 - INFO - ensemble - 19, 20
2019-02-04 18:04:20,913 - INFO - ensemble - 29, 30
2019-02-04 18:04:20,918 - INFO - ensemble - 38, 40
2019-02-04 18:04:20,923 - INFO - ensemble - 47, 50
2019-02-04 18:04:20,929 - INFO - ensemble - 56, 60
2019-02-04 18:04:20,934 - INFO - ensemble - 64, 70
2019-02-04 18:04:20,940 - INFO - ensemble - 74, 80
2019-02-04 18:04:20,945 - INFO - ensemble - 84, 90
2019-02-04 18:04:20,950 - INFO - ensemble - 94, 100
2019-02-04 18:04:20,955 - INFO - ensemble - 103, 110
2019-02-04 18:04:20,961 - INFO - ensemble - 113, 120
2019-02-04 18:04:20,966 - INFO - ensemble - 123, 130
2019-02-04 18:04:20,971 - INFO - ensemble - 133, 140
2019-02-04 18:04:20,977 - INFO - ensemble - 143, 150
2019-02-04 18:04:20,982 - INFO - ensemble - 153, 160
2019-02-04 18:04:20,987 - INFO - ensemble - 161, 170
2019-02-04 18:04:20,993 - INFO - ensemble - 171, 180
2019-02-04 18:04:20,998 - INFO - ensemble - 181, 190
2019-02-04 18:04:21,003 - INFO - ensemble - 191, 200
2019-02-04 18:04:21,009 - INFO - ensemble - 201, 210
2019-02-04 18:04:21,014 - INFO - ensemble - 210, 220
2019-02-04 18:04:21,020 - INFO - ensemble - 219, 230
2019-02-04 18:04:21,025 - INFO - ensemble - 229, 240
2019-02-04 18:04:21,031 - INFO - ensemble - 239, 250
2019-02-04 18:04:21,036 - INFO - ensemble - 249, 260
2019-02-04 18:04:21,042 - INFO - ensemble - 258, 270
2019-02-04 18:04:21,047 - INFO - ensemble - 268, 280
2019-02-04 18:04:21,053 - INFO - ensemble - 277, 290
2019-02-04 18:04:21,058 - INFO - ensemble - 286, 300
2019-02-04 18:04:21,064 - INFO - ensemble - 296, 310
2019-02-04 18:04:21,069 - INFO - ensemble - 306, 320
2019-02-04 18:04:21,075 - INFO - ensemble - 316, 330
2019-02-04 18:04:21,080 - INFO - ensemble - 326, 340
2019-02-04 18:04:21,086 - INFO - ensemble - 336, 350
2019-02-04 18:04:21,091 - INFO - ensemble - 346, 360
2019-02-04 18:04:21,097 - INFO - ensemble - 356, 370
2019-02-04 18:04:21,102 - INFO - ensemble - 365, 380
2019-02-04 18:04:21,108 - INFO - ensemble - 375, 390
2019-02-04 18:04:21,113 - INFO - ensemble - 385, 400
2019-02-04 18:04:21,119 - INFO - ensemble - 395, 410
2019-02-04 18:04:21,125 - INFO - ensemble - 404, 420
2019-02-04 18:04:21,130 - INFO - ensemble - 414, 430
2019-02-04 18:04:21,136 - INFO - ensemble - 424, 440
2019-02-04 18:04:21,141 - INFO - ensemble - 433, 450
2019-02-04 18:04:21,147 - INFO - ensemble - 442, 460
2019-02-04 18:04:21,153 - INFO - ensemble - 451, 470
2019-02-04 18:04:21,158 - INFO - ensemble - 459, 480
2019-02-04 18:04:21,164 - INFO - ensemble - 469, 490
2019-02-04 18:04:21,170 - INFO - ensemble - 479, 500
2019-02-04 18:04:21,175 - INFO - ensemble - 489, 510
2019-02-04 18:04:21,181 - INFO - ensemble - 498, 520
2019-02-04 18:04:21,186 - INFO - ensemble - 505, 530
2019-02-04 18:04:21,192 - INFO - ensemble - 515, 540
2019-02-04 18:04:21,198 - INFO - ensemble - 525, 550
2019-02-04 18:04:28,239 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_NBM
2019-02-04 18:04:28,277 - INFO - ensemble - 8, 10
2019-02-04 18:04:28,282 - INFO - ensemble - 18, 20
2019-02-04 18:04:28,288 - INFO - ensemble - 28, 30
2019-02-04 18:04:28,296 - INFO - ensemble - 37, 40
2019-02-04 18:04:28,307 - INFO - ensemble - 47, 50
2019-02-04 18:04:28,312 - INFO - ensemble - 56, 60
2019-02-04 18:04:28,317 - INFO - ensemble - 66, 70
2019-02-04 18:04:28,322 - INFO - ensemble - 75, 80
2019-02-04 18:04:28,327 - INFO - ensemble - 84, 90
2019-02-04 18:04:28,332 - INFO - ensemble - 94, 100
2019-02-04 18:04:28,338 - INFO - ensemble - 103, 110
2019-02-04 18:04:28,343 - INFO - ensemble - 113, 120
2019-02-04 18:04:28,348 - INFO - ensemble - 123, 130
2019-02-04 18:04:28,353 - INFO - ensemble - 132, 140
2019-02-04 18:04:28,358 - INFO - ensemble - 142, 150
2019-02-04 18:04:28,364 - INFO - ensemble - 152, 160
2019-02-04 18:04:28,369 - INFO - ensemble - 162, 170
2019-02-04 18:04:28,374 - INFO - ensemble - 172, 180
2019-02-04 18:04:28,379 - INFO - ensemble - 182, 190
2019-02-04 18:04:28,384 - INFO - ensemble - 192, 200
2019-02-04 18:04:28,390 - INFO - ensemble - 201, 210
2019-02-04 18:04:28,395 - INFO - ensemble - 211, 220
2019-02-04 18:04:28,400 - INFO - ensemble - 221, 230
2019-02-04 18:04:28,406 - INFO - ensemble - 230, 240
2019-02-04 18:04:28,411 - INFO - ensemble - 240, 250
2019-02-04 18:04:28,416 - INFO - ensemble - 250, 260
2019-02-04 18:04:28,422 - INFO - ensemble - 260, 270
2019-02-04 18:04:28,427 - INFO - ensemble - 269, 280
2019-02-04 18:04:28,433 - INFO - ensemble - 279, 290
2019-02-04 18:04:28,438 - INFO - ensemble - 289, 300
2019-02-04 18:04:28,444 - INFO - ensemble - 298, 310
2019-02-04 18:04:28,449 - INFO - ensemble - 307, 320
2019-02-04 18:04:28,454 - INFO - ensemble - 317, 330
2019-02-04 18:04:28,460 - INFO - ensemble - 326, 340
2019-02-04 18:04:28,465 - INFO - ensemble - 336, 350
2019-02-04 18:04:28,471 - INFO - ensemble - 345, 360
2019-02-04 18:04:28,476 - INFO - ensemble - 355, 370
2019-02-04 18:04:28,481 - INFO - ensemble - 365, 380
2019-02-04 18:04:28,487 - INFO - ensemble - 375, 390
2019-02-04 18:04:28,492 - INFO - ensemble - 385, 400
2019-02-04 18:04:28,497 - INFO - ensemble - 395, 410
2019-02-04 18:04:28,503 - INFO - ensemble - 404, 420
2019-02-04 18:04:28,508 - INFO - ensemble - 414, 430
2019-02-04 18:04:28,514 - INFO - ensemble - 422, 440
2019-02-04 18:04:28,519 - INFO - ensemble - 432, 450
2019-02-04 18:04:28,525 - INFO - ensemble - 440, 460
2019-02-04 18:04:28,530 - INFO - ensemble - 450, 470
