2019-02-04 17:03:25,937 - INFO - rig - apache-ant-1.7.0
2019-02-04 17:03:34,302 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:34,302 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-02-04 17:03:35,072 - INFO - fastread - 0, 0  450
2019-02-04 17:03:41,705 - INFO - fastread - 30, 34  450
2019-02-04 17:03:45,920 - INFO - fastread - 37, 54  78
2019-02-04 17:03:50,218 - INFO - fastread - 40, 74  89
2019-02-04 17:03:54,575 - INFO - fastread - 47, 94  87
2019-02-04 17:03:58,803 - INFO - fastread - 57, 114  83
2019-02-04 17:04:03,071 - INFO - fastread - 62, 134  96
2019-02-04 17:04:07,380 - INFO - fastread - 66, 154  99
2019-02-04 17:04:11,720 - INFO - fastread - 73, 174  100
2019-02-04 17:04:16,067 - INFO - fastread - 75, 194  108
2019-02-04 17:04:20,432 - INFO - fastread - 79, 214  106
2019-02-04 17:04:24,813 - INFO - fastread - 82, 234  111
2019-02-04 17:04:29,211 - INFO - fastread - 85, 254  114
2019-02-04 17:04:33,620 - INFO - fastread - 85, 274  120
2019-02-04 17:04:37,989 - INFO - fastread - 85, 294  118
2019-02-04 17:04:42,391 - INFO - fastread - 87, 314  109
2019-02-04 17:04:46,825 - INFO - fastread - 87, 334  121
2019-02-04 17:04:51,249 - INFO - fastread - 88, 354  108
2019-02-04 17:04:55,662 - INFO - fastread - 92, 374  110
2019-02-04 17:05:00,087 - INFO - fastread - 92, 394  119
2019-02-04 17:05:04,521 - INFO - fastread - 94, 414  120
2019-02-04 17:05:08,949 - INFO - fastread - 95, 434  119
2019-02-04 17:05:13,420 - INFO - fastread - 95, 454  117
2019-02-04 17:05:17,877 - INFO - fastread - 97, 474  119
2019-02-04 17:05:22,349 - INFO - fastread - 97, 494  117
2019-02-04 17:05:26,829 - INFO - fastread - 97, 514  117
2019-02-04 17:05:31,358 - INFO - fastread - 97, 534  117
2019-02-04 17:05:35,866 - INFO - fastread - 97, 554  114
2019-02-04 17:05:44,091 - INFO - fastread - 97, 594  114
2019-02-04 17:05:48,635 - INFO - fastread - 98, 614  113
2019-02-04 17:05:53,194 - INFO - fastread - 98, 634  112
2019-02-04 17:05:57,757 - INFO - fastread - 100, 654  112
2019-02-04 17:06:02,360 - INFO - fastread - 101, 674  113
2019-02-04 17:06:06,963 - INFO - fastread - 101, 694  114
2019-02-04 17:06:11,589 - INFO - fastread - 101, 714  114
2019-02-04 17:06:16,222 - INFO - fastread - 101, 734  111
2019-02-04 17:06:20,880 - INFO - fastread - 102, 754  110
2019-02-04 17:06:25,529 - INFO - fastread - 103, 774  111
2019-02-04 17:06:30,228 - INFO - fastread - 103, 794  113
2019-02-04 17:06:34,918 - INFO - fastread - 103, 814  111
2019-02-04 17:06:39,650 - INFO - fastread - 103, 834  112
2019-02-04 17:06:44,447 - INFO - fastread - 103, 854  111
2019-02-04 17:06:49,260 - INFO - fastread - 105, 874  110
2019-02-04 17:06:54,148 - INFO - fastread - 105, 894  113
2019-02-04 17:07:01,145 - INFO - fastread - 105, 914  113
2019-02-04 17:07:08,141 - INFO - fastread - 105, 934  113
2019-02-04 17:07:15,127 - INFO - fastread - 107, 954  113
2019-02-04 17:07:22,143 - INFO - fastread - 108, 974  116
2019-02-04 17:07:29,207 - INFO - fastread - 109, 994  116
2019-02-04 17:07:34,186 - INFO - fastread - 111, 1014  119
2019-02-04 17:07:39,190 - INFO - fastread - 112, 1034  119
2019-02-04 17:07:44,253 - INFO - fastread - 113, 1054  123
2019-02-04 17:07:49,334 - INFO - fastread - 115, 1074  121
2019-02-04 17:07:54,449 - INFO - fastread - 117, 1094  122
2019-02-04 17:07:59,620 - INFO - fastread - 117, 1114  126
2019-02-04 17:08:04,778 - INFO - fastread - 117, 1134  127
2019-02-04 17:08:09,890 - INFO - fastread - 117, 1154  125
2019-02-04 17:08:17,254 - INFO - fastread - 117, 1174  124
2019-02-04 17:08:24,600 - INFO - fastread - 118, 1194  125
2019-02-04 17:08:31,942 - INFO - fastread - 118, 1214  124
2019-02-04 17:08:39,448 - INFO - fastread - 119, 1234  123
2019-02-04 17:08:45,800 - INFO - fastread - 119, 1254  124
2019-02-04 17:08:50,998 - INFO - fastread - 119, 1274  123
2019-02-04 17:08:56,217 - INFO - fastread - 120, 1294  123
2019-02-04 17:09:01,440 - INFO - fastread - 120, 1314  124
2019-02-04 17:09:06,660 - INFO - fastread - 120, 1334  126
2019-02-04 17:09:11,932 - INFO - fastread - 121, 1354  126
2019-02-04 17:09:17,220 - INFO - fastread - 121, 1374  124
2019-02-04 17:09:22,429 - INFO - fastread - 121, 1394  125
2019-02-04 17:09:27,625 - INFO - fastread - 121, 1414  123
2019-02-04 17:09:32,854 - INFO - fastread - 122, 1434  124
2019-02-04 17:09:38,134 - INFO - fastread - 122, 1454  126
