2019-02-04 17:03:26,404 - INFO - rig - apache-jmeter-2.10
2019-02-04 17:03:35,237 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:35,238 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-02-04 17:03:35,915 - INFO - fastread - 0, 0  450
2019-02-04 17:04:39,416 - INFO - fastread - 278, 318  450
2019-02-04 17:04:49,085 - INFO - fastread - 280, 358  331
2019-02-04 17:04:59,136 - INFO - fastread - 288, 398  367
2019-02-04 17:05:09,398 - INFO - fastread - 289, 438  354
2019-02-04 17:05:19,912 - INFO - fastread - 291, 478  364
2019-02-04 17:05:30,432 - INFO - fastread - 293, 518  351
2019-02-04 17:05:40,993 - INFO - fastread - 294, 558  374
2019-02-04 17:05:51,349 - INFO - fastread - 294, 598  359
2019-02-04 17:06:01,594 - INFO - fastread - 297, 638  346
2019-02-04 17:06:11,914 - INFO - fastread - 299, 678  418
2019-02-04 17:06:22,243 - INFO - fastread - 299, 718  382
2019-02-04 17:06:32,074 - INFO - fastread - 308, 758  332
2019-02-04 17:06:42,440 - INFO - fastread - 311, 798  389
2019-02-04 17:06:52,584 - INFO - fastread - 316, 838  336
2019-02-04 17:07:03,068 - INFO - fastread - 317, 878  398
2019-02-04 17:07:13,290 - INFO - fastread - 318, 918  329
2019-02-04 17:07:23,704 - INFO - fastread - 319, 958  332
2019-02-04 17:07:34,014 - INFO - fastread - 322, 998  353
2019-02-04 17:07:44,042 - INFO - fastread - 324, 1038  365
2019-02-04 17:07:53,835 - INFO - fastread - 325, 1078  342
2019-02-04 17:08:03,804 - INFO - fastread - 327, 1118  344
2019-02-04 17:08:06,354 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 17:08:06,384 - INFO - ensemble - 10, 10
2019-02-04 17:08:06,391 - INFO - ensemble - 20, 20
2019-02-04 17:08:06,397 - INFO - ensemble - 29, 30
2019-02-04 17:08:06,403 - INFO - ensemble - 38, 40
2019-02-04 17:08:06,409 - INFO - ensemble - 47, 50
2019-02-04 17:08:06,416 - INFO - ensemble - 56, 60
2019-02-04 17:08:06,422 - INFO - ensemble - 66, 70
2019-02-04 17:08:06,428 - INFO - ensemble - 74, 80
