2019-02-04 17:03:26,672 - INFO - rig - argouml
2019-02-04 17:03:35,691 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:35,692 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-02-04 17:03:36,658 - INFO - fastread - 0, 0  450
2019-02-04 17:08:26,254 - INFO - fastread - 1242, 1454  450
2019-02-04 17:08:44,945 - INFO - fastread - 1246, 1501  1825
2019-02-04 17:09:03,585 - INFO - fastread - 1252, 1548  1594
2019-02-04 17:09:23,205 - INFO - fastread - 1255, 1595  1609
2019-02-04 17:09:44,248 - INFO - fastread - 1258, 1642  1492
2019-02-04 17:10:04,954 - INFO - fastread - 1270, 1689  1396
2019-02-04 17:10:26,476 - INFO - fastread - 1273, 1736  1370
2019-02-04 17:10:47,815 - INFO - fastread - 1279, 1783  1338
2019-02-04 17:11:09,070 - INFO - fastread - 1280, 1830  1299
2019-02-04 17:11:30,769 - INFO - fastread - 1290, 1877  1281
2019-02-04 17:11:44,109 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 17:11:44,144 - INFO - ensemble - 8, 10
2019-02-04 17:11:44,150 - INFO - ensemble - 16, 20
2019-02-04 17:11:44,157 - INFO - ensemble - 23, 30
2019-02-04 17:11:44,163 - INFO - ensemble - 33, 40
2019-02-04 17:11:44,170 - INFO - ensemble - 42, 50
2019-02-04 17:11:44,177 - INFO - ensemble - 51, 60
2019-02-04 17:11:44,183 - INFO - ensemble - 59, 70
2019-02-04 17:11:44,190 - INFO - ensemble - 67, 80
2019-02-04 17:11:44,196 - INFO - ensemble - 76, 90
2019-02-04 17:11:44,203 - INFO - ensemble - 83, 100
2019-02-04 17:11:44,209 - INFO - ensemble - 93, 110
2019-02-04 17:11:44,216 - INFO - ensemble - 100, 120
2019-02-04 17:11:44,223 - INFO - ensemble - 109, 130
2019-02-04 17:11:44,229 - INFO - ensemble - 117, 140
2019-02-04 17:11:44,236 - INFO - ensemble - 126, 150
2019-02-04 17:11:44,242 - INFO - ensemble - 132, 160
2019-02-04 17:11:44,249 - INFO - ensemble - 141, 170
2019-02-04 17:11:44,256 - INFO - ensemble - 149, 180
2019-02-04 17:11:44,262 - INFO - ensemble - 158, 190
2019-02-04 17:11:44,269 - INFO - ensemble - 167, 200
2019-02-04 17:11:44,276 - INFO - ensemble - 177, 210
2019-02-04 17:11:44,282 - INFO - ensemble - 185, 220
2019-02-04 17:11:44,289 - INFO - ensemble - 193, 230
2019-02-04 17:11:44,296 - INFO - ensemble - 200, 240
2019-02-04 17:11:44,302 - INFO - ensemble - 208, 250
2019-02-04 17:11:44,309 - INFO - ensemble - 217, 260
2019-02-04 17:11:44,316 - INFO - ensemble - 227, 270
2019-02-04 17:11:44,323 - INFO - ensemble - 234, 280
2019-02-04 17:11:44,329 - INFO - ensemble - 243, 290
2019-02-04 17:11:44,336 - INFO - ensemble - 251, 300
2019-02-04 17:11:44,343 - INFO - ensemble - 260, 310
2019-02-04 17:11:44,350 - INFO - ensemble - 269, 320
2019-02-04 17:11:44,357 - INFO - ensemble - 278, 330
2019-02-04 17:11:44,363 - INFO - ensemble - 286, 340
2019-02-04 17:11:44,370 - INFO - ensemble - 295, 350
2019-02-04 17:11:44,377 - INFO - ensemble - 303, 360
2019-02-04 17:11:44,383 - INFO - ensemble - 312, 370
2019-02-04 17:11:44,390 - INFO - ensemble - 321, 380
2019-02-04 17:11:44,397 - INFO - ensemble - 331, 390
2019-02-04 17:11:44,404 - INFO - ensemble - 339, 400
2019-02-04 17:11:44,411 - INFO - ensemble - 348, 410
2019-02-04 17:11:44,417 - INFO - ensemble - 357, 420
2019-02-04 17:11:44,424 - INFO - ensemble - 365, 430
2019-02-04 17:11:44,431 - INFO - ensemble - 373, 440
2019-02-04 17:11:44,438 - INFO - ensemble - 382, 450
2019-02-04 17:11:44,444 - INFO - ensemble - 389, 460
2019-02-04 17:11:44,451 - INFO - ensemble - 397, 470
2019-02-04 17:11:44,458 - INFO - ensemble - 406, 480
2019-02-04 17:11:44,465 - INFO - ensemble - 415, 490
2019-02-04 17:11:44,472 - INFO - ensemble - 424, 500
2019-02-04 17:11:44,478 - INFO - ensemble - 432, 510
2019-02-04 17:11:44,485 - INFO - ensemble - 439, 520
2019-02-04 17:11:44,492 - INFO - ensemble - 449, 530
2019-02-04 17:11:44,499 - INFO - ensemble - 458, 540
2019-02-04 17:11:44,506 - INFO - ensemble - 466, 550
2019-02-04 17:11:44,512 - INFO - ensemble - 474, 560
2019-02-04 17:11:44,519 - INFO - ensemble - 481, 570
2019-02-04 17:11:44,526 - INFO - ensemble - 488, 580
2019-02-04 17:11:44,533 - INFO - ensemble - 498, 590
2019-02-04 17:11:44,540 - INFO - ensemble - 506, 600
2019-02-04 17:11:44,547 - INFO - ensemble - 516, 610
2019-02-04 17:11:44,553 - INFO - ensemble - 524, 620
