2019-02-04 17:03:26,983 - INFO - rig - emf-2.4.1
2019-02-04 17:03:35,476 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:35,477 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-02-04 17:03:36,063 - INFO - fastread - 0, 0  450
2019-02-04 17:03:44,783 - INFO - fastread - 33, 46  450
2019-02-04 17:03:49,218 - INFO - fastread - 33, 67  76
2019-02-04 17:03:53,693 - INFO - fastread - 33, 88  81
2019-02-04 17:03:58,226 - INFO - fastread - 33, 109  76
2019-02-04 17:04:02,764 - INFO - fastread - 33, 130  72
2019-02-04 17:04:07,340 - INFO - fastread - 35, 151  71
2019-02-04 17:04:11,689 - INFO - fastread - 35, 172  83
2019-02-04 17:04:16,048 - INFO - fastread - 38, 193  81
2019-02-04 17:04:20,420 - INFO - fastread - 42, 214  93
2019-02-04 17:04:24,775 - INFO - fastread - 43, 235  97
2019-02-04 17:04:29,080 - INFO - fastread - 43, 256  92
2019-02-04 17:04:33,421 - INFO - fastread - 44, 277  88
2019-02-04 17:04:37,779 - INFO - fastread - 44, 298  87
2019-02-04 17:04:42,128 - INFO - fastread - 50, 319  88
2019-02-04 17:04:46,523 - INFO - fastread - 52, 340  90
2019-02-04 17:04:50,888 - INFO - fastread - 54, 361  91
2019-02-04 17:04:55,288 - INFO - fastread - 54, 382  94
2019-02-04 17:04:59,657 - INFO - fastread - 54, 403  91
2019-02-04 17:05:04,033 - INFO - fastread - 54, 424  90
2019-02-04 17:05:08,380 - INFO - fastread - 57, 445  90
2019-02-04 17:05:12,773 - INFO - fastread - 57, 466  92
2019-02-04 17:05:17,162 - INFO - fastread - 57, 487  106
2019-02-04 17:05:21,536 - INFO - fastread - 61, 508  103
2019-02-04 17:05:25,914 - INFO - fastread - 62, 529  103
2019-02-04 17:05:30,332 - INFO - fastread - 62, 550  102
2019-02-04 17:05:34,731 - INFO - fastread - 67, 571  101
2019-02-04 17:05:39,161 - INFO - fastread - 71, 592  104
2019-02-04 17:05:43,724 - INFO - fastread - 73, 613  106
2019-02-04 17:05:48,218 - INFO - fastread - 73, 634  108
2019-02-04 17:05:52,699 - INFO - fastread - 74, 655  114
2019-02-04 17:05:57,194 - INFO - fastread - 74, 676  118
2019-02-04 17:06:01,689 - INFO - fastread - 76, 697  114
2019-02-04 17:06:06,167 - INFO - fastread - 76, 718  113
2019-02-04 17:06:10,664 - INFO - fastread - 76, 739  112
2019-02-04 17:06:15,165 - INFO - fastread - 77, 760  112
2019-02-04 17:06:19,686 - INFO - fastread - 77, 781  111
2019-02-04 17:06:24,223 - INFO - fastread - 78, 802  110
2019-02-04 17:06:28,753 - INFO - fastread - 78, 823  129
2019-02-04 17:06:33,312 - INFO - fastread - 79, 844  111
2019-02-04 17:06:37,897 - INFO - fastread - 80, 865  130
2019-02-04 17:06:42,499 - INFO - fastread - 81, 886  129
2019-02-04 17:06:47,119 - INFO - fastread - 82, 907  130
2019-02-04 17:06:51,849 - INFO - fastread - 82, 928  117
2019-02-04 17:06:56,538 - INFO - fastread - 82, 949  113
2019-02-04 17:07:01,325 - INFO - fastread - 83, 970  114
2019-02-04 17:07:06,196 - INFO - fastread - 83, 991  123
2019-02-04 17:07:10,958 - INFO - fastread - 83, 1012  121
2019-02-04 17:07:15,781 - INFO - fastread - 83, 1033  123
2019-02-04 17:07:20,590 - INFO - fastread - 83, 1054  117
2019-02-04 17:07:25,363 - INFO - fastread - 84, 1075  117
2019-02-04 17:07:30,137 - INFO - fastread - 84, 1096  113
2019-02-04 17:07:34,955 - INFO - fastread - 85, 1117  108
2019-02-04 17:07:39,804 - INFO - fastread - 87, 1138  113
2019-02-04 17:07:44,722 - INFO - fastread - 87, 1159  123
2019-02-04 17:07:49,636 - INFO - fastread - 88, 1180  117
2019-02-04 17:07:54,598 - INFO - fastread - 89, 1201  122
2019-02-04 17:07:59,618 - INFO - fastread - 90, 1222  122
2019-02-04 17:08:04,622 - INFO - fastread - 90, 1243  117
2019-02-04 17:08:09,583 - INFO - fastread - 91, 1264  117
2019-02-04 17:08:14,536 - INFO - fastread - 91, 1285  119
2019-02-04 17:08:19,413 - INFO - fastread - 91, 1306  119
2019-02-04 17:08:24,408 - INFO - fastread - 91, 1327  120
2019-02-04 17:08:29,378 - INFO - fastread - 91, 1348  118
2019-02-04 17:08:38,077 - INFO - fastread - 91, 1390  119
2019-02-04 17:08:46,806 - INFO - fastread - 91, 1432  124
2019-02-04 17:08:51,836 - INFO - fastread - 92, 1453  123
2019-02-04 17:08:56,913 - INFO - fastread - 92, 1474  126
2019-02-04 17:09:01,970 - INFO - fastread - 92, 1495  125
2019-02-04 17:09:07,017 - INFO - fastread - 92, 1516  126
2019-02-04 17:09:12,101 - INFO - fastread - 92, 1537  124
2019-02-04 17:09:20,920 - INFO - fastread - 93, 1579  124
2019-02-04 17:09:25,916 - INFO - fastread - 95, 1600  127
2019-02-04 17:09:30,947 - INFO - fastread - 95, 1621  130
2019-02-04 17:09:35,982 - INFO - fastread - 95, 1642  125
2019-02-04 17:09:41,035 - INFO - fastread - 95, 1663  127
2019-02-04 17:09:46,149 - INFO - fastread - 95, 1684  125
2019-02-04 17:09:55,117 - INFO - fastread - 95, 1726  127
2019-02-04 17:10:04,247 - INFO - fastread - 95, 1768  126
2019-02-04 17:10:13,395 - INFO - fastread - 95, 1810  127
2019-02-04 17:10:18,692 - INFO - fastread - 95, 1831  128
2019-02-04 17:10:18,716 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 17:10:18,735 - INFO - ensemble - 4, 10
2019-02-04 17:10:18,740 - INFO - ensemble - 7, 20
2019-02-04 17:10:18,745 - INFO - ensemble - 17, 30
2019-02-04 17:10:18,750 - INFO - ensemble - 27, 40
2019-02-04 17:10:18,755 - INFO - ensemble - 34, 50
2019-02-04 17:10:18,760 - INFO - ensemble - 38, 60
2019-02-04 17:10:18,765 - INFO - ensemble - 41, 70
2019-02-04 17:10:18,770 - INFO - ensemble - 45, 80
2019-02-04 17:10:18,775 - INFO - ensemble - 47, 90
2019-02-04 17:10:18,780 - INFO - ensemble - 49, 100
2019-02-04 17:10:18,785 - INFO - ensemble - 50, 110
2019-02-04 17:10:18,790 - INFO - ensemble - 53, 120
2019-02-04 17:10:18,796 - INFO - ensemble - 53, 130
2019-02-04 17:10:18,801 - INFO - ensemble - 55, 140
2019-02-04 17:10:18,806 - INFO - ensemble - 58, 150
2019-02-04 17:10:18,811 - INFO - ensemble - 59, 160
2019-02-04 17:10:18,816 - INFO - ensemble - 59, 170
2019-02-04 17:10:18,821 - INFO - ensemble - 60, 180
2019-02-04 17:10:18,826 - INFO - ensemble - 60, 190
