2019-02-04 17:03:25,938 - INFO - rig - jEdit-4.2
2019-02-04 17:03:34,770 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:34,770 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-04 17:03:35,481 - INFO - fastread - 0, 0  450
2019-02-04 17:03:46,794 - INFO - fastread - 52, 55  450
2019-02-04 17:03:58,530 - INFO - fastread - 59, 106  109
2019-02-04 17:04:10,105 - INFO - fastread - 69, 157  106
2019-02-04 17:04:21,840 - INFO - fastread - 82, 208  110
2019-02-04 17:04:33,805 - INFO - fastread - 103, 259  119
2019-02-04 17:04:45,284 - INFO - fastread - 125, 310  149
2019-02-04 17:04:56,739 - INFO - fastread - 135, 361  161
2019-02-04 17:05:08,344 - INFO - fastread - 150, 412  170
2019-02-04 17:05:19,894 - INFO - fastread - 167, 463  173
2019-02-04 17:05:31,501 - INFO - fastread - 183, 514  176
2019-02-04 17:05:43,146 - INFO - fastread - 193, 565  189
2019-02-04 17:05:54,866 - INFO - fastread - 198, 616  201
2019-02-04 17:06:06,663 - INFO - fastread - 204, 667  201
2019-02-04 17:06:18,586 - INFO - fastread - 204, 718  221
2019-02-04 17:06:20,175 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 17:06:20,213 - INFO - ensemble - 9, 10
2019-02-04 17:06:20,220 - INFO - ensemble - 18, 20
2019-02-04 17:06:20,226 - INFO - ensemble - 28, 30
2019-02-04 17:06:20,233 - INFO - ensemble - 38, 40
2019-02-04 17:06:20,240 - INFO - ensemble - 47, 50
2019-02-04 17:06:20,247 - INFO - ensemble - 56, 60
2019-02-04 17:06:20,254 - INFO - ensemble - 60, 70
2019-02-04 17:06:20,261 - INFO - ensemble - 63, 80
2019-02-04 17:06:20,268 - INFO - ensemble - 67, 90
2019-02-04 17:06:20,275 - INFO - ensemble - 72, 100
2019-02-04 17:06:20,282 - INFO - ensemble - 77, 110
2019-02-04 17:06:20,289 - INFO - ensemble - 79, 120
2019-02-04 17:06:20,296 - INFO - ensemble - 82, 130
2019-02-04 17:06:20,303 - INFO - ensemble - 84, 140
2019-02-04 17:06:20,310 - INFO - ensemble - 87, 150
2019-02-04 17:06:20,317 - INFO - ensemble - 90, 160
2019-02-04 17:06:20,324 - INFO - ensemble - 91, 170
2019-02-04 17:06:20,331 - INFO - ensemble - 93, 180
2019-02-04 17:06:20,338 - INFO - ensemble - 93, 190
2019-02-04 17:06:20,345 - INFO - ensemble - 97, 200
2019-02-04 17:06:20,352 - INFO - ensemble - 99, 210
2019-02-04 17:06:20,359 - INFO - ensemble - 99, 220
2019-02-04 17:06:20,366 - INFO - ensemble - 100, 230
2019-02-04 17:06:20,373 - INFO - ensemble - 103, 240
2019-02-04 17:06:20,380 - INFO - ensemble - 106, 250
2019-02-04 17:06:20,388 - INFO - ensemble - 108, 260
2019-02-04 17:06:20,395 - INFO - ensemble - 111, 270
2019-02-04 17:06:20,402 - INFO - ensemble - 114, 280
2019-02-04 17:06:20,409 - INFO - ensemble - 115, 290
2019-02-04 17:06:20,416 - INFO - ensemble - 117, 300
2019-02-04 17:06:20,423 - INFO - ensemble - 120, 310
2019-02-04 17:06:20,431 - INFO - ensemble - 122, 320
2019-02-04 17:06:20,438 - INFO - ensemble - 123, 330
2019-02-04 17:06:20,446 - INFO - ensemble - 125, 340
2019-02-04 17:06:20,453 - INFO - ensemble - 126, 350
2019-02-04 17:06:20,460 - INFO - ensemble - 127, 360
2019-02-04 17:06:20,467 - INFO - ensemble - 130, 370
2019-02-04 17:06:20,474 - INFO - ensemble - 133, 380
2019-02-04 17:06:20,482 - INFO - ensemble - 134, 390
2019-02-04 17:06:20,489 - INFO - ensemble - 136, 400
2019-02-04 17:06:20,496 - INFO - ensemble - 137, 410
2019-02-04 17:06:20,503 - INFO - ensemble - 140, 420
2019-02-04 17:06:20,510 - INFO - ensemble - 141, 430
2019-02-04 17:06:20,518 - INFO - ensemble - 144, 440
2019-02-04 17:06:20,525 - INFO - ensemble - 146, 450
2019-02-04 17:06:20,532 - INFO - ensemble - 150, 460
2019-02-04 17:06:20,539 - INFO - ensemble - 153, 470
2019-02-04 17:06:20,547 - INFO - ensemble - 154, 480
2019-02-04 17:06:20,554 - INFO - ensemble - 154, 490
2019-02-04 17:06:20,561 - INFO - ensemble - 154, 500
2019-02-04 17:06:20,569 - INFO - ensemble - 154, 510
2019-02-04 17:06:20,576 - INFO - ensemble - 154, 520
2019-02-04 17:06:20,583 - INFO - ensemble - 154, 530
2019-02-04 17:06:20,591 - INFO - ensemble - 154, 540
2019-02-04 17:06:20,598 - INFO - ensemble - 155, 550
2019-02-04 17:06:20,605 - INFO - ensemble - 155, 560
2019-02-04 17:06:20,612 - INFO - ensemble - 155, 570
2019-02-04 17:06:20,620 - INFO - ensemble - 155, 580
2019-02-04 17:06:20,627 - INFO - ensemble - 155, 590
2019-02-04 17:06:20,634 - INFO - ensemble - 155, 600
2019-02-04 17:06:20,642 - INFO - ensemble - 155, 610
2019-02-04 17:06:20,649 - INFO - ensemble - 155, 620
2019-02-04 17:06:20,657 - INFO - ensemble - 155, 630
2019-02-04 17:06:20,664 - INFO - ensemble - 155, 640
2019-02-04 17:06:20,671 - INFO - ensemble - 155, 650
2019-02-04 17:06:20,679 - INFO - ensemble - 155, 660
2019-02-04 17:06:20,686 - INFO - ensemble - 155, 670
2019-02-04 17:06:20,694 - INFO - ensemble - 155, 680
2019-02-04 17:06:20,701 - INFO - ensemble - 155, 690
2019-02-04 17:06:20,708 - INFO - ensemble - 155, 700
2019-02-04 17:06:20,716 - INFO - ensemble - 155, 710
2019-02-04 17:06:20,723 - INFO - ensemble - 155, 720
2019-02-04 17:06:20,730 - INFO - ensemble - 155, 730
2019-02-04 17:06:20,738 - INFO - ensemble - 155, 740
2019-02-04 17:06:20,745 - INFO - ensemble - 155, 750
2019-02-04 17:06:20,753 - INFO - ensemble - 155, 760
