2019-02-04 17:03:25,940 - INFO - rig - jfreechart-1.0.19
2019-02-04 17:03:34,306 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:34,306 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-02-04 17:03:35,199 - INFO - fastread - 0, 0  450
2019-02-04 17:04:03,906 - INFO - fastread - 97, 135  450
2019-02-04 17:04:09,105 - INFO - fastread - 100, 157  147
2019-02-04 17:04:14,390 - INFO - fastread - 100, 179  144
2019-02-04 17:04:19,694 - INFO - fastread - 100, 201  150
2019-02-04 17:04:24,960 - INFO - fastread - 100, 223  144
2019-02-04 17:04:30,162 - INFO - fastread - 100, 245  142
2019-02-04 17:04:35,451 - INFO - fastread - 102, 267  137
2019-02-04 17:04:40,696 - INFO - fastread - 102, 289  152
2019-02-04 17:04:45,930 - INFO - fastread - 102, 311  136
2019-02-04 17:04:51,012 - INFO - fastread - 102, 333  140
2019-02-04 17:04:56,093 - INFO - fastread - 102, 355  138
2019-02-04 17:05:01,171 - INFO - fastread - 108, 377  135
2019-02-04 17:05:06,272 - INFO - fastread - 112, 399  145
2019-02-04 17:05:11,313 - INFO - fastread - 118, 421  138
2019-02-04 17:05:16,334 - INFO - fastread - 118, 443  144
2019-02-04 17:05:21,398 - INFO - fastread - 119, 465  145
2019-02-04 17:05:26,388 - INFO - fastread - 119, 487  138
2019-02-04 17:05:31,377 - INFO - fastread - 119, 509  135
2019-02-04 17:05:36,337 - INFO - fastread - 120, 531  132
2019-02-04 17:05:41,286 - INFO - fastread - 121, 553  130
2019-02-04 17:05:46,243 - INFO - fastread - 122, 575  131
2019-02-04 17:05:51,219 - INFO - fastread - 122, 597  131
2019-02-04 17:05:56,163 - INFO - fastread - 122, 619  132
2019-02-04 17:06:01,122 - INFO - fastread - 122, 641  130
2019-02-04 17:06:06,114 - INFO - fastread - 122, 663  133
2019-02-04 17:06:11,128 - INFO - fastread - 125, 685  131
2019-02-04 17:06:16,197 - INFO - fastread - 127, 707  135
2019-02-04 17:06:21,276 - INFO - fastread - 129, 729  137
2019-02-04 17:06:26,349 - INFO - fastread - 130, 751  137
2019-02-04 17:06:31,490 - INFO - fastread - 134, 773  139
2019-02-04 17:06:36,650 - INFO - fastread - 135, 795  142
2019-02-04 17:06:41,818 - INFO - fastread - 136, 817  141
2019-02-04 17:06:47,089 - INFO - fastread - 137, 839  144
2019-02-04 17:06:52,366 - INFO - fastread - 141, 861  143
2019-02-04 17:06:57,670 - INFO - fastread - 141, 883  145
2019-02-04 17:07:02,986 - INFO - fastread - 141, 905  144
2019-02-04 17:07:08,303 - INFO - fastread - 141, 927  145
2019-02-04 17:07:13,592 - INFO - fastread - 141, 949  144
2019-02-04 17:07:23,293 - INFO - fastread - 144, 993  146
2019-02-04 17:07:28,593 - INFO - fastread - 166, 1015  175
2019-02-04 17:07:33,934 - INFO - fastread - 188, 1037  182
2019-02-04 17:07:39,267 - INFO - fastread - 202, 1059  189
2019-02-04 17:07:40,262 - INFO - rig - ++++NEW CLF++++ ENSEMBLE_DT
2019-02-04 17:07:40,282 - INFO - ensemble - 8, 10
2019-02-04 17:07:40,288 - INFO - ensemble - 18, 20
2019-02-04 17:07:40,293 - INFO - ensemble - 28, 30
2019-02-04 17:07:40,298 - INFO - ensemble - 37, 40
2019-02-04 17:07:40,303 - INFO - ensemble - 47, 50
2019-02-04 17:07:40,309 - INFO - ensemble - 57, 60
2019-02-04 17:07:40,314 - INFO - ensemble - 66, 70
2019-02-04 17:07:40,319 - INFO - ensemble - 69, 80
2019-02-04 17:07:40,325 - INFO - ensemble - 77, 90
2019-02-04 17:07:40,330 - INFO - ensemble - 82, 100
2019-02-04 17:07:40,335 - INFO - ensemble - 85, 110
2019-02-04 17:07:40,340 - INFO - ensemble - 89, 120
2019-02-04 17:07:40,346 - INFO - ensemble - 94, 130
2019-02-04 17:07:40,351 - INFO - ensemble - 99, 140
2019-02-04 17:07:40,356 - INFO - ensemble - 99, 150
2019-02-04 17:07:40,362 - INFO - ensemble - 101, 160
2019-02-04 17:07:40,367 - INFO - ensemble - 103, 170
2019-02-04 17:07:40,373 - INFO - ensemble - 106, 180
2019-02-04 17:07:40,378 - INFO - ensemble - 109, 190
2019-02-04 17:07:40,383 - INFO - ensemble - 109, 200
2019-02-04 17:07:40,389 - INFO - ensemble - 110, 210
2019-02-04 17:07:40,394 - INFO - ensemble - 111, 220
2019-02-04 17:07:40,400 - INFO - ensemble - 113, 230
2019-02-04 17:07:40,405 - INFO - ensemble - 113, 240
2019-02-04 17:07:40,411 - INFO - ensemble - 113, 250
2019-02-04 17:07:40,416 - INFO - ensemble - 114, 260
2019-02-04 17:07:40,422 - INFO - ensemble - 115, 270
