2019-02-04 17:03:26,141 - INFO - rig - sql12
2019-02-04 17:03:34,982 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-04 17:03:34,983 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-02-04 17:03:35,603 - INFO - fastread - 0, 0  450
2019-02-04 17:04:07,929 - INFO - fastread - 151, 160  450
2019-02-04 17:04:17,121 - INFO - fastread - 156, 196  295
2019-02-04 17:04:26,566 - INFO - fastread - 158, 232  369
2019-02-04 17:04:36,124 - INFO - fastread - 160, 268  394
2019-02-04 17:04:45,658 - INFO - fastread - 163, 304  447
2019-02-04 17:04:55,115 - INFO - fastread - 165, 340  436
2019-02-04 17:05:04,584 - INFO - fastread - 168, 376  437
2019-02-04 17:05:13,735 - INFO - fastread - 175, 412  394
2019-02-04 17:05:22,994 - INFO - fastread - 178, 448  409
2019-02-04 17:05:32,343 - INFO - fastread - 192, 484  388
2019-02-04 17:05:42,071 - INFO - fastread - 201, 520  422
2019-02-04 17:05:51,755 - INFO - fastread - 206, 556  397
2019-02-04 17:06:01,487 - INFO - fastread - 210, 592  390
2019-02-04 17:06:11,346 - INFO - fastread - 213, 628  390
2019-02-04 17:06:21,002 - INFO - fastread - 215, 664  364
2019-02-04 17:06:30,435 - INFO - fastread - 218, 700  371
2019-02-04 17:06:40,092 - INFO - fastread - 224, 736  348
2019-02-04 17:06:50,403 - INFO - fastread - 227, 772  354
2019-02-04 17:07:00,460 - INFO - fastread - 228, 808  348
2019-02-04 17:07:10,300 - INFO - fastread - 231, 844  345
2019-02-04 17:07:20,315 - INFO - fastread - 231, 880  340
2019-02-04 17:07:30,361 - INFO - fastread - 231, 916  333
2019-02-04 17:07:40,080 - INFO - fastread - 235, 952  327
2019-02-04 17:07:49,629 - INFO - fastread - 238, 988  325
2019-02-04 17:07:59,085 - INFO - fastread - 239, 1024  308
2019-02-04 17:08:08,599 - INFO - fastread - 239, 1060  302
2019-02-04 17:08:18,108 - INFO - fastread - 239, 1096  301
2019-02-04 17:08:27,892 - INFO - fastread - 239, 1132  293
2019-02-04 17:08:37,769 - INFO - fastread - 244, 1168  291
2019-02-04 17:08:47,764 - INFO - fastread - 245, 1204  299
2019-02-04 17:08:57,780 - INFO - fastread - 245, 1240  293
2019-02-04 17:09:07,830 - INFO - fastread - 245, 1276  290
2019-02-04 17:09:17,917 - INFO - fastread - 246, 1312  282
2019-02-04 17:09:27,916 - INFO - fastread - 249, 1348  285
2019-02-04 17:09:38,528 - INFO - fastread - 249, 1384  287
2019-02-04 17:09:48,789 - INFO - fastread - 249, 1420  281
2019-02-04 17:10:00,247 - INFO - fastread - 251, 1456  279
2019-02-04 17:10:10,200 - INFO - fastread - 251, 1492  280
2019-02-04 17:10:19,971 - INFO - fastread - 252, 1528  279
2019-02-04 17:10:29,772 - INFO - fastread - 252, 1564  279
2019-02-04 17:10:39,883 - INFO - fastread - 252, 1600  279
2019-02-04 17:10:50,050 - INFO - fastread - 252, 1636  276
2019-02-04 17:11:00,191 - INFO - fastread - 252, 1672  270
2019-02-04 17:11:16,976 - INFO - fastread - 252, 1744  266
2019-02-04 17:11:27,199 - INFO - fastread - 256, 1780  265
2019-02-04 17:11:37,434 - INFO - fastread - 256, 1816  270
2019-02-04 17:11:47,730 - INFO - fastread - 257, 1852  267
2019-02-04 17:11:58,118 - INFO - fastread - 259, 1888  271
2019-02-04 17:12:08,300 - INFO - fastread - 259, 1924  270
2019-02-04 17:12:18,764 - INFO - fastread - 259, 1960  267
