apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
0.24,0.76,10.0,1.0
0.49,3.05,20.0,4.0
0.73,4.58,30.0,6.0
0.98,9.16,40.0,12.0
1.22,12.21,50.0,16.0
1.46,12.98,60.0,17.0
1.71,14.5,70.0,19.0
1.95,16.03,80.0,21.0
2.2,17.56,90.0,23.0
2.44,17.56,100.0,23.0
2.68,17.56,110.0,23.0
2.93,17.56,120.0,23.0
3.17,17.56,130.0,23.0
3.42,17.56,140.0,23.0
3.66,17.56,150.0,23.0
3.9,17.56,160.0,23.0
4.15,17.56,170.0,23.0
4.39,17.56,180.0,23.0
4.64,17.56,190.0,23.0
4.88,17.56,200.0,23.0
5.12,19.08,210.0,25.0
5.37,21.37,220.0,28.0
5.61,21.37,230.0,28.0
5.86,22.14,240.0,29.0
6.1,22.14,250.0,29.0
6.34,22.9,260.0,30.0
6.59,22.9,270.0,30.0
6.83,24.43,280.0,32.0
7.08,24.43,290.0,32.0
7.32,24.43,300.0,32.0
7.56,25.19,310.0,33.0
7.81,25.19,320.0,33.0
8.05,25.19,330.0,33.0
8.3,25.19,340.0,33.0
8.54,28.24,350.0,37.0
8.78,28.24,360.0,37.0
9.03,29.01,370.0,38.0
9.27,29.01,380.0,38.0
9.52,29.77,390.0,39.0
9.76,29.77,400.0,39.0
10.0,29.77,410.0,39.0
10.25,29.77,420.0,39.0
10.49,30.53,430.0,40.0
10.74,31.3,440.0,41.0
10.98,32.06,450.0,42.0
11.22,34.35,460.0,45.0
11.47,35.88,470.0,47.0
11.71,35.88,480.0,47.0
11.96,37.4,490.0,49.0
12.2,39.69,500.0,52.0
12.45,40.46,510.0,53.0
12.69,40.46,520.0,53.0
12.93,41.22,530.0,54.0
13.18,41.22,540.0,54.0
13.42,41.22,550.0,54.0
13.67,41.22,560.0,54.0
13.91,41.22,570.0,54.0
14.15,41.22,580.0,54.0
14.4,41.22,590.0,54.0
14.64,41.22,600.0,54.0
14.89,41.22,610.0,54.0
15.13,41.22,620.0,54.0
15.37,41.22,630.0,54.0
15.62,41.22,640.0,54.0
15.86,41.22,650.0,54.0
16.11,41.22,660.0,54.0
16.35,41.22,670.0,54.0
16.59,42.75,680.0,56.0
16.84,42.75,690.0,56.0
17.08,43.51,700.0,57.0
17.33,43.51,710.0,57.0
17.57,43.51,720.0,57.0
