,perc_read,FASTREAD,NBM,SVM,DT
0,0,1.6,11.76,15.51,14.44
1,1,2.14,25.13,36.9,33.69
2,2,2.14,33.16,55.08,51.34
3,3,15.51,33.69,69.52,67.91
4,4,31.55,33.69,82.35,85.56
5,5,50.8,34.22,87.7,87.7
6,6,65.24,34.76,89.84,87.7
7,7,71.12,35.83,90.91,87.7
8,8,74.87,36.9,91.44,87.7
9,9,79.14,36.9,91.98,87.7
10,10,80.21,36.9,92.51,87.7
11,11,81.82,37.97,93.05,87.7
12,12,82.35,38.5,93.58,88.24
13,13,84.49,39.57,93.58,88.77
14,14,84.49,39.57,94.12,88.77
15,15,84.49,40.11,94.65,88.77
16,16,85.03,40.11,94.65,88.77
17,17,86.1,41.71,94.65,88.77
18,18,86.63,42.78,,88.77
19,19,87.7,43.32,,88.77
20,20,87.7,43.32,,88.77
21,21,89.84,44.39,,88.77
22,22,91.44,45.45,,89.3
23,23,91.98,46.52,,89.84
24,24,92.51,47.06,,89.84
25,25,93.58,47.06,,89.84
26,26,93.58,48.13,,89.84
27,27,94.12,48.66,,89.84
28,28,94.12,49.73,,89.84
29,29,94.12,51.34,,89.84
30,30,,51.87,,90.37
31,31,,52.94,,90.37
32,32,,53.48,,90.37
33,33,,54.55,,90.37
34,34,,55.08,,90.91
35,35,,56.15,,91.98
36,36,,56.68,,91.98
37,37,,57.75,,92.51
38,38,,58.82,,92.51
39,39,,58.82,,92.51
40,40,,59.36,,92.51
41,41,,59.89,,93.05
42,42,,60.96,,93.58
43,43,,60.96,,94.12
44,44,,60.96,,94.12
45,45,,60.96,,94.12
46,46,,62.03,,94.12
47,47,,63.64,,94.65
48,48,,64.17,,
49,49,,64.71,,
50,50,,65.24,,
51,51,,65.78,,
52,52,,67.38,,
53,53,,68.45,,
54,54,,70.59,,
55,55,,72.19,,
56,56,,72.19,,
57,57,,73.26,,
58,58,,73.26,,
59,59,,73.26,,
60,60,,73.26,,
61,61,,74.33,,
62,62,,74.33,,
63,63,,74.87,,
64,64,,74.87,,
65,65,,76.47,,
66,66,,76.47,,
67,67,,77.01,,
68,68,,77.54,,
69,69,,79.14,,
70,70,,79.68,,
71,71,,80.21,,
72,72,,80.21,,
73,73,,81.28,,
74,74,,81.82,,
75,75,,83.42,,
76,76,,83.42,,
77,77,,83.96,,
78,78,,84.49,,
79,79,,86.1,,
80,80,,87.17,,
81,81,,88.77,,
82,82,,89.3,,
83,83,,90.37,,
84,84,,90.37,,
85,85,,90.91,,
86,86,,93.05,,
87,87,,94.12,,
88,88,,94.12,,
89,89,,95.72,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
