,perc_read,FASTREAD,NBM,SVM,DT
0,0,1.69,3.81,3.39,2.97
1,1,4.66,10.59,11.86,10.17
2,2,8.9,13.56,15.68,13.98
3,3,17.37,20.76,23.73,21.61
4,4,21.61,23.31,27.54,24.15
5,5,30.08,26.69,36.02,32.2
6,6,33.05,27.12,40.25,36.02
7,7,41.1,27.54,48.31,41.53
8,8,45.34,27.97,52.54,44.92
9,9,53.81,30.51,61.02,51.69
10,10,57.63,31.78,64.83,55.08
11,11,63.56,32.2,72.03,62.29
12,12,66.95,32.63,75.42,65.68
13,13,70.76,32.63,80.08,72.88
14,14,73.73,33.05,81.36,75.85
15,15,75.0,34.75,83.9,82.2
16,16,76.27,35.59,84.32,82.63
17,17,77.12,36.44,84.75,83.05
18,18,77.12,37.29,86.44,83.47
19,19,78.81,38.14,87.71,83.47
20,20,79.24,39.41,88.56,83.47
21,21,80.08,39.83,88.98,83.47
22,22,80.51,41.53,90.25,83.9
23,23,80.93,41.95,90.68,83.9
24,24,81.78,42.8,90.68,84.32
25,25,82.63,42.8,90.68,84.32
26,26,84.32,43.22,91.1,84.32
27,27,84.75,44.92,91.53,84.32
28,28,86.86,44.92,91.53,84.75
29,29,87.29,45.76,91.95,84.75
30,30,88.98,47.46,92.37,84.75
31,31,89.41,47.88,93.22,84.75
32,32,91.53,49.58,93.64,84.75
33,33,91.95,49.58,93.64,85.17
34,34,93.22,49.58,93.64,85.59
35,35,93.64,49.58,93.64,85.59
36,36,94.07,50.0,94.07,85.59
37,37,94.07,50.0,94.07,86.02
38,38,94.07,51.27,94.07,87.29
39,39,94.07,52.97,94.07,87.29
40,40,94.49,55.08,94.07,87.71
41,41,94.92,55.93,94.49,88.14
42,42,,57.2,94.49,88.14
43,43,,57.63,94.49,88.56
44,44,,58.9,94.49,88.98
45,45,,58.9,94.49,88.98
46,46,,59.32,94.49,88.98
47,47,,60.59,94.49,89.41
48,48,,61.02,94.49,89.41
49,49,,62.29,94.49,89.41
50,50,,62.29,94.49,89.41
51,51,,63.56,94.92,89.83
52,52,,64.41,94.92,89.83
53,53,,64.83,95.34,90.25
54,54,,64.83,,90.25
55,55,,64.83,,90.25
56,56,,66.1,,90.25
57,57,,66.1,,90.25
58,58,,67.8,,90.68
59,59,,68.22,,90.68
60,60,,70.34,,91.1
61,61,,71.61,,91.1
62,62,,72.03,,91.1
63,63,,72.46,,91.53
64,64,,72.88,,92.37
65,65,,74.15,,92.37
66,66,,74.15,,92.37
67,67,,75.0,,92.37
68,68,,75.85,,93.22
69,69,,76.27,,93.22
70,70,,76.69,,93.22
71,71,,77.97,,93.22
72,72,,77.97,,93.22
73,73,,80.08,,93.22
74,74,,80.51,,93.22
75,75,,83.05,,94.07
76,76,,83.47,,94.07
77,77,,84.75,,94.07
78,78,,85.59,,94.07
79,79,,85.59,,94.07
80,80,,86.02,,94.92
81,81,,86.44,,95.76
82,82,,88.14,,
83,83,,88.14,,
84,84,,89.41,,
85,85,,89.83,,
86,86,,90.25,,
87,87,,91.1,,
88,88,,92.8,,
89,89,,94.07,,
90,90,,94.92,,
91,91,,95.34,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
