,perc_read,FASTREAD,NBM,SVM,DT
0,0,1.93,6.43,6.43,4.82
1,1,3.54,12.86,12.54,10.61
2,2,12.86,19.94,20.26,19.94
3,3,19.29,25.08,26.37,26.05
4,4,28.62,31.51,34.08,35.69
5,5,34.41,34.08,39.55,41.8
6,6,40.51,34.41,45.66,47.91
7,7,47.59,34.73,53.7,55.95
8,8,51.13,35.05,58.2,62.38
9,9,59.16,35.37,66.24,71.7
10,10,64.95,35.37,71.7,78.14
11,11,73.63,35.69,79.1,87.14
12,12,79.74,35.69,84.24,89.39
13,13,85.85,36.66,89.07,89.39
14,14,87.78,36.66,90.68,89.39
15,15,88.75,37.3,92.6,89.39
16,16,90.03,38.59,93.57,89.39
17,17,91.0,39.23,94.53,89.39
18,18,92.93,39.87,94.86,89.39
19,19,93.89,40.51,94.86,89.39
20,20,94.53,40.84,,89.71
21,21,94.53,41.16,,90.03
22,22,,42.12,,90.03
23,23,,42.12,,90.03
24,24,,43.09,,90.03
25,25,,43.73,,90.03
26,26,,44.69,,90.03
27,27,,46.3,,90.03
28,28,,47.27,,90.35
29,29,,47.59,,90.35
30,30,,48.55,,90.35
31,31,,49.2,,90.35
32,32,,50.48,,90.35
33,33,,51.77,,90.35
34,34,,52.41,,90.68
35,35,,53.05,,91.32
36,36,,54.02,,91.32
37,37,,54.66,,91.32
38,38,,55.63,,91.64
39,39,,56.91,,91.64
40,40,,58.52,,91.96
41,41,,58.52,,91.96
42,42,,59.16,,92.28
43,43,,60.13,,92.93
44,44,,60.77,,92.93
45,45,,62.38,,93.25
46,46,,62.38,,93.25
47,47,,64.31,,93.25
48,48,,64.95,,93.57
49,49,,65.27,,93.57
50,50,,65.27,,93.89
51,51,,66.24,,93.89
52,52,,66.56,,93.89
53,53,,66.56,,93.89
54,54,,67.52,,93.89
55,55,,67.85,,93.89
56,56,,69.13,,94.21
57,57,,70.1,,94.21
58,58,,71.06,,94.21
59,59,,72.03,,94.21
60,60,,72.99,,94.21
61,61,,73.31,,94.21
62,62,,73.95,,94.53
63,63,,74.6,,94.86
64,64,,74.6,,
65,65,,74.92,,
66,66,,75.88,,
67,67,,77.49,,
68,68,,77.49,,
69,69,,78.78,,
70,70,,78.78,,
71,71,,79.1,,
72,72,,80.06,,
73,73,,81.03,,
74,74,,81.99,,
75,75,,82.96,,
76,76,,84.24,,
77,77,,84.89,,
78,78,,85.53,,
79,79,,85.85,,
80,80,,87.14,,
81,81,,88.1,,
82,82,,89.39,,
83,83,,90.35,,
84,84,,90.35,,
85,85,,90.68,,
86,86,,91.0,,
87,87,,91.96,,
88,88,,92.93,,
89,89,,93.57,,
90,90,,93.89,,
91,91,,93.89,,
92,92,,95.18,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
