,perc_read,FASTREAD,NBM,SVM,DT
0,0,0.7,13.99,10.49,13.29
1,1,3.5,35.66,37.76,33.57
2,2,9.09,37.06,58.04,54.55
3,3,11.89,37.76,67.13,69.93
4,4,20.98,37.76,72.03,73.43
5,5,39.86,37.76,74.83,73.43
6,6,49.65,37.76,79.72,73.43
7,7,57.34,37.76,81.12,73.43
8,8,64.34,38.46,81.82,73.43
9,9,66.43,40.56,82.52,74.13
10,10,76.22,41.26,82.52,74.83
11,11,79.72,41.96,86.01,74.83
12,12,79.72,41.96,86.01,75.52
13,13,79.72,42.66,86.01,75.52
14,14,81.12,43.36,86.71,75.52
15,15,82.52,43.36,86.71,75.52
16,16,83.92,44.06,87.41,75.52
17,17,85.31,44.76,88.11,75.52
18,18,85.31,44.76,88.11,75.52
19,19,86.01,44.76,88.11,76.22
20,20,86.01,44.76,88.11,76.92
21,21,88.11,44.76,88.11,76.92
22,22,90.91,46.15,88.81,77.62
23,23,90.91,46.15,90.21,77.62
24,24,91.61,46.15,90.21,78.32
25,25,91.61,47.55,90.91,78.32
26,26,91.61,50.35,90.91,78.32
27,27,,50.35,91.61,80.42
28,28,,50.35,91.61,80.42
29,29,,51.75,92.31,81.12
30,30,,52.45,93.71,81.12
31,31,,52.45,93.71,81.12
32,32,,53.15,94.41,81.12
33,33,,53.85,,81.82
34,34,,54.55,,82.52
35,35,,54.55,,82.52
36,36,,55.94,,82.52
37,37,,55.94,,82.52
38,38,,55.94,,82.52
39,39,,55.94,,82.52
40,40,,55.94,,82.52
41,41,,56.64,,83.22
42,42,,57.34,,83.92
43,43,,58.04,,83.92
44,44,,58.04,,84.62
45,45,,58.74,,84.62
46,46,,59.44,,84.62
47,47,,60.84,,84.62
48,48,,61.54,,85.31
49,49,,62.24,,86.71
50,50,,63.64,,87.41
51,51,,65.03,,88.11
52,52,,65.03,,88.11
53,53,,65.73,,88.11
54,54,,67.83,,88.81
55,55,,68.53,,88.81
56,56,,68.53,,88.81
57,57,,69.23,,88.81
58,58,,69.93,,88.81
59,59,,70.63,,88.81
60,60,,72.03,,88.81
61,61,,72.73,,88.81
62,62,,72.73,,88.81
63,63,,73.43,,88.81
64,64,,73.43,,88.81
65,65,,73.43,,88.81
66,66,,74.13,,88.81
67,67,,74.13,,89.51
68,68,,74.13,,89.51
69,69,,74.13,,89.51
70,70,,74.13,,89.51
71,71,,75.52,,89.51
72,72,,76.22,,90.21
73,73,,76.92,,90.21
74,74,,76.92,,90.91
75,75,,76.92,,90.91
76,76,,77.62,,91.61
77,77,,80.42,,92.31
78,78,,81.12,,93.01
79,79,,81.82,,93.71
80,80,,83.22,,93.71
81,81,,84.62,,93.71
82,82,,86.01,,93.71
83,83,,86.71,,94.41
84,84,,88.11,,
85,85,,88.11,,
86,86,,88.11,,
87,87,,88.81,,
88,88,,89.51,,
89,89,,91.61,,
90,90,,92.31,,
91,91,,93.01,,
92,92,,93.01,,
93,93,,93.01,,
94,94,,95.1,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
