apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
1.0,20.0,20.0,13.0
2.0,40.0,40.0,26.0
3.0,41.54,60.0,27.0
4.0,41.54,80.0,27.0
5.0,43.08,100.0,28.0
6.0,44.62,120.0,29.0
7.0,44.62,140.0,29.0
8.0,44.62,160.0,29.0
9.0,44.62,180.0,29.0
10.0,46.15,200.0,30.0
11.0,46.15,220.0,30.0
12.0,46.15,240.0,30.0
13.0,46.15,260.0,30.0
14.0,46.15,280.0,30.0
15.0,49.23,300.0,32.0
16.0,49.23,320.0,32.0
17.0,50.77,340.0,33.0
18.0,52.31,360.0,34.0
19.0,53.85,380.0,35.0
20.0,53.85,400.0,35.0
21.0,53.85,430.0,35.0
22.0,55.38,450.0,36.0
23.0,55.38,470.0,36.0
24.0,55.38,490.0,36.0
25.0,55.38,510.0,36.0
26.0,55.38,530.0,36.0
27.0,55.38,550.0,36.0
28.0,55.38,570.0,36.0
29.0,55.38,590.0,36.0
30.0,55.38,610.0,36.0
31.0,55.38,630.0,36.0
32.0,56.92,650.0,37.0
33.0,56.92,670.0,37.0
34.0,58.46,690.0,38.0
35.0,60.0,710.0,39.0
36.0,60.0,730.0,39.0
37.0,61.54,750.0,40.0
38.0,63.08,770.0,41.0
39.0,63.08,790.0,41.0
40.0,63.08,810.0,41.0
41.0,64.62,830.0,42.0
42.0,66.15,860.0,43.0
43.0,66.15,880.0,43.0
44.0,66.15,900.0,43.0
45.0,67.69,920.0,44.0
46.0,67.69,940.0,44.0
47.0,67.69,960.0,44.0
48.0,67.69,980.0,44.0
49.0,67.69,1000.0,44.0
50.0,67.69,1020.0,44.0
51.0,67.69,1040.0,44.0
52.0,67.69,1060.0,44.0
53.0,67.69,1080.0,44.0
54.0,70.77,1100.0,46.0
55.0,70.77,1120.0,46.0
56.0,70.77,1140.0,46.0
57.0,70.77,1160.0,46.0
58.0,70.77,1180.0,46.0
59.0,73.85,1200.0,48.0
60.0,75.38,1220.0,49.0
61.0,78.46,1240.0,51.0
62.0,78.46,1270.0,51.0
63.0,78.46,1290.0,51.0
64.0,78.46,1310.0,51.0
65.0,78.46,1330.0,51.0
66.0,80.0,1350.0,52.0
67.0,80.0,1370.0,52.0
68.0,81.54,1390.0,53.0
69.0,81.54,1410.0,53.0
70.0,81.54,1430.0,53.0
71.0,84.62,1450.0,55.0
72.0,84.62,1470.0,55.0
73.0,84.62,1490.0,55.0
74.0,84.62,1510.0,55.0
75.0,84.62,1530.0,55.0
76.0,84.62,1550.0,55.0
77.0,86.15,1570.0,56.0
78.0,89.23,1590.0,58.0
79.0,89.23,1610.0,58.0
80.0,90.77,1630.0,59.0
81.0,90.77,1650.0,59.0
82.0,92.31,1670.0,60.0
83.0,92.31,1700.0,60.0
84.0,92.31,1720.0,60.0
85.0,92.31,1740.0,60.0
86.0,92.31,1760.0,60.0
87.0,92.31,1780.0,60.0
88.0,92.31,1800.0,60.0
89.0,92.31,1820.0,60.0
90.0,95.38,1840.0,62.0


apache-jmeter-2.10
prec_read,perc_found,total_read,total_found
1.0,13.9,30.0,26.0
2.0,33.69,70.0,63.0
3.0,51.87,110.0,97.0
4.0,70.05,150.0,131.0
