apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
1.0,27.27,20.0,18.0
2.0,34.85,40.0,23.0
3.0,37.88,60.0,25.0
4.0,42.42,80.0,28.0
5.0,43.94,100.0,29.0
6.0,45.45,120.0,30.0
7.0,48.48,140.0,32.0
8.0,48.48,160.0,32.0
9.0,48.48,180.0,32.0
10.0,48.48,200.0,32.0
11.0,48.48,220.0,32.0
12.0,48.48,240.0,32.0
13.0,50.0,260.0,33.0
14.0,51.52,280.0,34.0
15.0,51.52,300.0,34.0
16.0,51.52,320.0,34.0
17.0,53.03,340.0,35.0
18.0,53.03,360.0,35.0
19.0,53.03,380.0,35.0
20.0,53.03,400.0,35.0
21.0,54.55,430.0,36.0
22.0,54.55,450.0,36.0
23.0,54.55,470.0,36.0
24.0,56.06,490.0,37.0
25.0,56.06,510.0,37.0
26.0,56.06,530.0,37.0
27.0,57.58,550.0,38.0
28.0,60.61,570.0,40.0
29.0,62.12,590.0,41.0
30.0,62.12,610.0,41.0
31.0,62.12,630.0,41.0
32.0,62.12,650.0,41.0
33.0,62.12,670.0,41.0
34.0,62.12,690.0,41.0
35.0,62.12,710.0,41.0
36.0,62.12,730.0,41.0
37.0,63.64,750.0,42.0
38.0,65.15,770.0,43.0
39.0,66.67,790.0,44.0
40.0,68.18,810.0,45.0
41.0,68.18,830.0,45.0
42.0,68.18,860.0,45.0
43.0,68.18,880.0,45.0
44.0,68.18,900.0,45.0
45.0,68.18,920.0,45.0
46.0,68.18,940.0,45.0
47.0,68.18,960.0,45.0
48.0,68.18,980.0,45.0
49.0,69.7,1000.0,46.0
50.0,69.7,1020.0,46.0
51.0,69.7,1040.0,46.0
52.0,71.21,1060.0,47.0
53.0,72.73,1080.0,48.0
54.0,74.24,1100.0,49.0
55.0,74.24,1120.0,49.0
56.0,74.24,1140.0,49.0
57.0,75.76,1160.0,50.0
58.0,77.27,1180.0,51.0
59.0,77.27,1200.0,51.0
60.0,78.79,1220.0,52.0
61.0,78.79,1240.0,52.0
62.0,80.3,1270.0,53.0
63.0,80.3,1290.0,53.0
64.0,80.3,1310.0,53.0
65.0,81.82,1330.0,54.0
66.0,81.82,1350.0,54.0
67.0,81.82,1370.0,54.0
68.0,84.85,1390.0,56.0
69.0,84.85,1410.0,56.0
70.0,84.85,1430.0,56.0
71.0,84.85,1450.0,56.0
72.0,84.85,1470.0,56.0
73.0,84.85,1490.0,56.0
74.0,84.85,1510.0,56.0
75.0,84.85,1530.0,56.0
76.0,86.36,1550.0,57.0
77.0,87.88,1570.0,58.0
78.0,87.88,1590.0,58.0
79.0,87.88,1610.0,58.0
80.0,89.39,1630.0,59.0
81.0,89.39,1650.0,59.0
82.0,90.91,1670.0,60.0


apache-jmeter-2.10
prec_read,perc_found,total_read,total_found
1.0,14.44,30.0,27.0
2.0,35.83,70.0,67.0
3.0,56.15,110.0,105.0
4.0,70.59,150.0,132.0
5.0,79.68,190.0,149.0
6.0,80.21,230.0,150.0
7.0,82.35,270.0,154.0
8.0,83.96,310.0,157.0
9.0,86.63,350.0,162.0
10.0,87.17,390.0,163.0
11.0,88.24,430.0,165.0
12.0,90.37,470.0,169.0
13.0,90.37,510.0,169.0
14.0,90.91,550.0,170.0
15.0,90.91,590.0,170.0
16.0,90.91,630.0,170.0
17.0,90.91,670.0,170.0
18.0,91.44,710.0,171.0
19.0,91.98,750.0,172.0
20.0,93.05,790.0,174.0
21.0,93.05,830.0,174.0
22.0,93.05,870.0,174.0
23.0,93.05,910.0,174.0
24.0,93.58,950.0,175.0
25.0,93.58,990.0,175.0
26.0,93.58,1030.0,175.0
27.0,93.58,1070.0,175.0
28.0,93.58,1110.0,175.0
29.0,93.58,1150.0,175.0
30.0,93.58,1190.0,175.0
31.0,93.58,1230.0,175.0
32.0,93.58,1270.0,175.0


argouml
prec_read,perc_found,total_read,total_found
1.0,3.68,30.0,26.0
2.0,8.64,80.0,61.0
3.0,13.88,120.0,98.0
4.0,18.7,170.0,132.0
5.0,24.65,220.0,174.0
6.0,29.46,260.0,208.0
7.0,35.41,310.0,250.0
8.0,41.64,360.0,294.0
9.0,47.73,410.0,337.0
10.0,52.97,450.0,374.0
11.0,59.07,500.0,417.0
12.0,65.58,550.0,463.0
13.0,71.39,600.0,504.0
14.0,76.2,640.0,538.0
15.0,82.44,690.0,582.0
16.0,87.68,740.0,619.0
17.0,90.79,780.0,641.0
18.0,93.63,830.0,661.0


columba-1.4-src
prec_read,perc_found,total_read,total_found
1.0,15.69,20.0,16.0
2.0,43.14,50.0,44.0
3.0,77.45,90.0,79.0
4.0,90.2,120.0,92.0
5.0,93.14,150.0,95.0
6.0,94.12,180.0,96.0


emf-2.4.1
prec_read,perc_found,total_read,total_found
1.0,32.69,20.0,17.0
2.0,63.46,40.0,33.0
3.0,71.15,60.0,37.0
4.0,71.15,80.0,37.0
5.0,76.92,100.0,40.0
6.0,78.85,130.0,41.0
7.0,78.85,150.0,41.0
8.0,78.85,170.0,41.0
9.0,78.85,190.0,41.0
10.0,78.85,210.0,41.0
11.0,78.85,240.0,41.0
12.0,78.85,260.0,41.0
13.0,78.85,280.0,41.0
14.0,80.77,300.0,42.0
15.0,82.69,320.0,43.0
16.0,84.62,350.0,44.0
17.0,86.54,370.0,45.0
18.0,86.54,390.0,45.0
19.0,86.54,410.0,45.0
20.0,86.54,430.0,45.0
21.0,86.54,450.0,45.0
22.0,88.46,480.0,46.0
23.0,88.46,500.0,46.0
24.0,88.46,520.0,46.0
25.0,88.46,540.0,46.0
26.0,88.46,560.0,46.0
27.0,88.46,590.0,46.0
28.0,88.46,610.0,46.0
29.0,90.38,630.0,47.0
30.0,90.38,650.0,47.0
31.0,90.38,670.0,47.0
32.0,90.38,700.0,47.0
33.0,90.38,720.0,47.0
34.0,90.38,740.0,47.0
35.0,90.38,760.0,47.0
36.0,90.38,780.0,47.0
37.0,90.38,810.0,47.0
38.0,90.38,830.0,47.0
39.0,90.38,850.0,47.0
40.0,90.38,870.0,47.0
41.0,90.38,890.0,47.0
42.0,90.38,920.0,47.0
43.0,90.38,940.0,47.0
44.0,90.38,960.0,47.0
45.0,90.38,980.0,47.0
46.0,90.38,1000.0,47.0
47.0,90.38,1030.0,47.0
48.0,90.38,1050.0,47.0
49.0,90.38,1070.0,47.0
50.0,90.38,1090.0,47.0
51.0,90.38,1110.0,47.0
52.0,90.38,1130.0,47.0
53.0,90.38,1160.0,47.0
54.0,90.38,1180.0,47.0
55.0,90.38,1200.0,47.0
56.0,90.38,1220.0,47.0
57.0,90.38,1240.0,47.0
58.0,90.38,1270.0,47.0
59.0,94.23,1290.0,49.0
60.0,94.23,1310.0,49.0
61.0,94.23,1330.0,49.0
62.0,94.23,1350.0,49.0
63.0,94.23,1380.0,49.0
64.0,94.23,1400.0,49.0
65.0,94.23,1420.0,49.0
66.0,94.23,1440.0,49.0
67.0,94.23,1460.0,49.0
68.0,94.23,1490.0,49.0
69.0,94.23,1510.0,49.0
70.0,94.23,1530.0,49.0
71.0,94.23,1550.0,49.0
72.0,94.23,1570.0,49.0
73.0,94.23,1600.0,49.0
74.0,94.23,1620.0,49.0
75.0,94.23,1640.0,49.0
76.0,94.23,1660.0,49.0
77.0,94.23,1680.0,49.0


hibernate-distribution-3.3.2.GA
prec_read,perc_found,total_read,total_found
1.0,2.12,10.0,5.0
2.0,10.17,30.0,24.0
3.0,13.98,40.0,33.0
4.0,22.46,60.0,53.0
5.0,26.69,70.0,63.0
6.0,35.17,90.0,83.0
7.0,39.41,100.0,93.0
8.0,47.46,120.0,112.0
9.0,50.85,130.0,120.0
10.0,58.9,150.0,139.0
11.0,62.29,160.0,147.0
12.0,70.76,180.0,167.0
13.0,74.15,190.0,175.0
14.0,78.39,210.0,185.0
15.0,80.08,220.0,189.0
16.0,82.63,240.0,195.0
17.0,83.05,250.0,196.0
18.0,83.9,260.0,198.0
19.0,86.44,280.0,204.0
20.0,86.86,290.0,205.0
21.0,87.29,310.0,206.0
22.0,88.14,320.0,208.0
23.0,89.83,340.0,212.0
24.0,90.68,350.0,214.0
25.0,90.68,370.0,214.0
26.0,91.53,380.0,216.0
27.0,92.37,400.0,218.0
28.0,92.37,410.0,218.0
29.0,92.8,430.0,219.0
30.0,92.8,440.0,219.0
31.0,92.8,460.0,219.0
32.0,93.22,470.0,220.0
33.0,93.64,490.0,221.0
34.0,94.07,500.0,222.0
35.0,94.07,520.0,222.0
36.0,94.07,530.0,222.0
37.0,94.92,550.0,224.0
38.0,95.34,560.0,225.0


jEdit-4.2
prec_read,perc_found,total_read,total_found
1.0,20.31,30.0,26.0
2.0,40.62,80.0,52.0
3.0,59.38,130.0,76.0
4.0,68.75,190.0,88.0
5.0,75.78,240.0,97.0
6.0,78.12,290.0,100.0
7.0,82.03,340.0,105.0
8.0,83.59,390.0,107.0
9.0,85.94,440.0,110.0
10.0,85.94,500.0,110.0
11.0,85.94,550.0,110.0
12.0,88.28,600.0,113.0
13.0,88.28,650.0,113.0
14.0,88.28,700.0,113.0
15.0,89.84,750.0,115.0
16.0,90.62,800.0,116.0
17.0,90.62,860.0,116.0
18.0,90.62,910.0,116.0
19.0,90.62,960.0,116.0
20.0,90.62,1010.0,116.0
21.0,90.62,1060.0,116.0
22.0,90.62,1110.0,116.0
23.0,90.62,1170.0,116.0
24.0,90.62,1220.0,116.0
25.0,91.41,1270.0,117.0
26.0,91.41,1320.0,117.0
27.0,91.41,1370.0,117.0
28.0,91.41,1420.0,117.0
29.0,91.41,1480.0,117.0
30.0,91.41,1530.0,117.0
31.0,91.41,1580.0,117.0
32.0,91.41,1630.0,117.0
33.0,91.41,1680.0,117.0
34.0,91.41,1730.0,117.0
35.0,91.41,1790.0,117.0
36.0,91.41,1840.0,117.0
37.0,91.41,1890.0,117.0
38.0,91.41,1940.0,117.0
39.0,91.41,1990.0,117.0
40.0,91.41,2040.0,117.0
41.0,91.41,2100.0,117.0
42.0,91.41,2150.0,117.0
43.0,91.41,2200.0,117.0
44.0,91.41,2250.0,117.0
45.0,91.41,2300.0,117.0
46.0,91.41,2350.0,117.0
47.0,91.41,2400.0,117.0
48.0,91.41,2460.0,117.0
49.0,91.41,2510.0,117.0
50.0,91.41,2560.0,117.0
51.0,91.41,2610.0,117.0
52.0,91.41,2660.0,117.0
53.0,91.41,2710.0,117.0
54.0,91.41,2770.0,117.0
55.0,91.41,2820.0,117.0
56.0,91.41,2870.0,117.0
57.0,91.41,2920.0,117.0
58.0,92.97,2970.0,119.0
59.0,93.75,3020.0,120.0
60.0,93.75,3080.0,120.0
61.0,94.53,3130.0,121.0
62.0,94.53,3180.0,121.0
63.0,94.53,3230.0,121.0
64.0,94.53,3280.0,121.0
