,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,10.43,10.16,0.53,7.22,6.42,7.49,3.21,9.36,133.69
1,1,,28.61,29.95,2.14,18.72,14.71,23.26,23.8,24.6,
2,2,,45.99,46.26,2.67,26.74,20.86,37.7,44.65,44.92,
3,3,,64.17,64.44,3.21,32.62,20.86,53.21,63.64,64.17,
4,4,74.6,76.47,77.54,4.01,35.03,21.66,70.05,74.87,73.8,119.52
5,5,75.67,79.41,81.55,5.08,39.84,23.26,72.73,76.47,75.67,140.64
6,6,77.54,81.82,83.42,5.61,43.32,24.33,72.73,77.01,76.74,145.72
7,7,79.41,83.69,84.22,6.42,45.19,24.33,72.99,79.95,79.14,140.37
8,8,83.16,84.22,85.29,7.22,45.72,25.13,73.8,81.28,81.02,122.46
9,9,83.96,85.56,86.36,7.49,50.27,25.94,74.06,82.89,82.89,148.13
10,10,85.56,86.36,86.9,8.82,51.87,27.54,74.6,83.69,83.96,113.1
11,11,86.63,87.17,87.43,9.63,57.22,28.07,74.87,84.22,86.63,104.28
12,12,87.17,89.04,88.77,10.16,59.09,29.14,75.4,86.1,87.43,104.28
13,13,87.7,90.91,89.84,11.23,62.83,29.95,75.67,86.63,87.7,97.86
14,14,88.5,90.91,89.84,12.3,64.97,30.21,75.67,87.43,88.77,100.8
15,15,89.84,90.91,89.84,12.83,66.84,31.02,75.67,87.97,89.3,98.93
16,16,91.44,90.91,90.11,13.64,69.25,31.55,75.67,88.24,90.11,99.2
17,17,91.71,90.91,90.11,14.17,71.93,32.35,75.94,88.5,90.37,109.63
18,18,92.25,91.18,90.37,15.51,72.99,34.49,76.2,88.77,91.18,108.29
19,19,92.78,91.18,90.37,16.04,73.26,35.29,77.01,88.77,91.71,107.75
20,20,93.85,91.18,90.37,17.38,74.06,36.36,77.27,89.04,91.98,106.95
21,21,94.65,91.18,90.37,19.25,75.4,37.7,77.27,91.71,93.58,105.61
22,22,94.65,91.18,90.64,20.32,77.81,37.97,77.54,91.71,93.85,105.61
23,23,95.19,91.18,90.64,20.59,78.88,39.3,78.07,91.71,93.85,104.01
24,24,95.72,91.18,90.91,21.66,78.88,39.84,78.07,91.71,93.85,102.94
25,25,95.72,91.44,90.91,21.93,79.68,40.11,78.07,91.71,93.85,102.67
26,26,95.72,91.44,90.91,22.73,80.48,40.64,78.88,91.71,94.12,102.41
27,27,95.99,91.44,90.91,23.53,81.55,41.98,78.88,91.71,94.39,101.07
28,28,96.26,91.44,90.91,24.87,82.35,43.05,79.14,91.71,94.39,100.8
29,29,96.52,91.71,90.91,25.67,82.89,43.32,79.14,91.71,94.39,100.27
30,30,96.79,91.71,90.91,26.74,83.16,44.12,79.41,91.71,94.65,104.28
31,31,97.06,91.71,90.91,27.81,83.42,45.45,79.41,91.71,94.65,105.35
32,32,97.06,91.71,90.91,29.14,84.76,47.59,79.41,91.71,94.65,106.42
33,33,97.06,91.98,91.18,29.68,84.76,48.4,80.21,91.71,94.65,104.01
34,34,97.06,91.98,91.18,31.28,86.1,48.66,80.48,91.71,94.65,106.95
35,35,97.33,91.98,91.18,32.62,86.63,50.0,80.48,91.71,94.65,106.42
36,36,97.33,91.98,91.44,33.96,86.9,50.53,81.28,91.71,94.65,106.15
37,37,97.33,91.98,91.71,36.1,88.24,51.07,81.55,91.71,94.65,104.55
38,38,97.33,91.98,91.71,36.9,89.3,51.34,81.55,91.71,94.65,103.74
39,39,97.33,92.25,92.25,37.97,89.3,51.87,81.82,91.71,94.65,103.48
40,40,97.33,92.51,92.51,38.77,89.57,54.01,82.09,91.71,94.65,103.21
41,41,97.33,92.51,92.51,39.04,89.84,54.01,82.35,91.71,94.65,102.41
42,42,,92.51,92.51,40.91,90.64,54.55,83.42,91.71,94.65,
43,43,,92.51,92.51,41.18,90.64,56.15,83.42,91.71,94.65,
44,44,,92.78,93.05,43.05,90.64,57.22,83.69,91.71,94.65,
45,45,,93.05,93.05,43.85,90.64,57.22,83.69,91.71,94.65,
46,46,,93.58,93.58,44.65,91.71,58.29,83.96,91.71,94.65,
47,47,,93.58,93.58,44.92,91.71,59.89,84.22,91.71,94.65,
