,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,18.36,18.36,0.39,9.77,4.69,13.28,14.84,16.02,195.31
1,1,23.05,35.94,36.33,0.78,20.7,8.2,31.64,40.23,40.62,74.61
2,2,36.72,43.75,43.36,1.95,23.05,8.2,32.03,58.59,54.3,74.22
3,3,55.08,51.17,51.56,2.34,28.52,8.2,32.81,69.53,68.36,87.11
4,4,65.23,57.42,55.86,2.73,35.94,8.98,32.81,71.09,74.22,75.0
5,5,74.61,60.55,58.2,4.69,39.84,9.77,33.2,74.22,76.56,91.41
6,6,78.12,60.55,58.59,6.25,42.58,10.55,34.38,75.78,78.12,86.72
7,7,78.91,60.94,58.59,7.42,44.14,12.5,34.77,77.73,80.86,93.75
8,8,81.25,60.94,58.59,7.42,44.14,12.89,35.16,77.73,83.98,90.62
9,9,83.2,61.72,58.98,7.81,44.14,14.06,35.94,77.73,86.33,91.41
10,10,83.98,62.5,59.77,8.59,44.14,14.84,37.11,80.47,86.33,92.97
11,11,85.16,62.89,60.16,10.16,44.14,17.58,39.45,82.42,87.11,92.58
12,12,88.28,64.06,61.33,10.94,44.14,19.92,41.02,83.2,88.28,101.17
13,13,89.06,64.45,61.72,11.72,44.14,21.88,42.58,85.55,88.28,99.22
14,14,90.23,66.41,63.67,12.89,44.14,22.27,43.75,85.94,88.67,99.61
15,15,92.19,67.19,64.45,14.45,44.14,23.05,44.14,85.94,88.67,98.83
16,16,92.58,67.97,65.23,16.02,44.14,23.83,44.92,85.94,88.67,98.44
17,17,94.14,67.97,65.62,16.8,44.14,24.61,44.92,85.94,88.67,100.78
18,18,94.53,68.36,66.02,17.58,44.14,25.78,46.48,85.94,88.67,100.0
19,19,94.92,68.75,66.02,17.97,44.14,27.34,47.27,85.94,88.67,102.34
20,20,95.7,69.92,67.58,18.36,44.14,27.73,48.05,85.94,88.67,103.12
21,21,97.27,70.31,67.97,19.92,44.14,28.52,48.83,85.94,88.67,107.81
22,22,97.27,70.31,68.36,20.7,44.14,29.69,49.22,85.94,88.67,110.55
23,23,97.66,70.7,68.36,21.48,44.14,30.47,49.61,85.94,88.67,110.55
24,24,97.66,70.7,68.36,23.44,44.14,32.03,51.17,85.94,88.67,112.89
25,25,98.05,70.7,68.75,24.22,44.14,32.81,51.95,85.94,88.67,113.28
26,26,98.05,71.48,69.53,25.39,44.92,33.2,52.34,85.94,88.67,113.28
27,27,98.05,71.48,69.53,26.17,44.92,33.98,52.73,85.94,88.67,113.28
28,28,98.05,71.48,69.53,26.95,44.92,34.38,53.12,85.94,88.67,113.28
29,29,98.05,71.88,70.31,27.73,44.92,34.77,53.52,85.94,88.67,113.28
30,30,98.05,72.27,70.31,28.52,44.92,35.16,54.3,85.94,88.67,112.89
31,31,,72.66,70.7,28.52,44.92,35.94,54.69,85.94,88.67,
32,32,,73.05,71.48,29.69,44.92,36.72,55.08,87.11,90.62,
33,33,,73.05,71.48,31.25,44.92,37.11,55.47,87.5,91.02,
34,34,,73.05,71.48,32.42,44.92,38.28,55.86,88.28,91.02,
35,35,,73.83,72.27,33.59,44.92,39.45,57.03,88.28,91.41,
36,36,,73.83,72.66,34.77,44.92,41.02,58.2,88.28,91.8,
37,37,,75.39,73.44,36.72,44.92,41.41,58.98,88.28,94.14,
38,38,,75.39,73.44,37.11,44.92,43.36,59.77,89.06,94.14,
39,39,,76.17,74.22,39.06,44.92,43.75,60.16,89.06,94.14,
40,40,,76.56,74.61,39.45,44.92,44.92,60.55,91.02,94.14,
41,41,,76.56,74.61,40.23,44.92,44.92,60.94,91.41,94.14,
42,42,,76.56,74.61,40.23,44.92,46.09,61.33,91.41,94.53,
43,43,,76.95,75.0,41.02,44.92,47.27,62.89,91.41,94.53,
44,44,,77.34,75.78,42.58,48.44,49.22,63.67,91.41,94.53,
45,45,,78.91,77.34,43.36,48.44,51.56,65.23,91.41,94.53,
46,46,,79.3,77.73,44.53,48.44,52.34,66.41,91.41,94.53,
47,47,,79.69,78.52,46.09,48.44,53.52,66.8,91.41,95.31,
48,48,,80.86,79.3,48.05,48.44,54.69,67.19,91.41,95.31,
49,49,,80.86,79.3,50.0,48.44,55.47,67.58,91.41,95.31,
50,50,,81.25,79.69,51.56,48.44,56.64,68.36,91.8,95.7,
51,51,,81.64,80.08,52.34,48.44,57.81,69.14,91.8,95.7,
52,52,,82.81,81.25,53.91,48.44,59.38,70.31,91.8,96.09,
53,53,,82.81,81.25,55.08,48.44,59.77,70.31,91.8,97.66,
54,54,,82.81,81.64,55.08,48.44,60.16,70.7,91.8,97.66,
55,55,,83.2,82.42,56.64,48.44,61.33,71.88,91.8,97.66,
56,56,,83.2,82.42,57.42,48.44,62.11,72.27,91.8,97.66,
57,57,,83.59,82.81,58.2,48.44,63.28,73.05,91.8,97.66,
58,58,,83.98,83.98,58.59,48.44,65.62,75.78,91.8,97.66,
59,59,,84.38,83.98,60.55,48.44,67.19,76.56,91.8,97.66,
60,60,,84.77,84.38,60.94,48.44,67.58,76.95,91.8,97.66,
61,61,,84.77,84.77,61.33,48.44,67.97,77.34,91.8,97.66,
62,62,,85.55,85.16,61.33,50.0,67.97,77.34,91.8,97.66,
63,63,,85.55,85.16,62.11,53.52,68.75,77.73,91.8,97.66,
64,64,,86.33,85.94,63.28,54.69,69.53,78.52,91.8,97.66,
65,65,,86.72,86.33,64.84,54.69,71.09,79.3,91.8,97.66,
66,66,,87.5,87.11,65.62,56.25,71.09,79.3,91.8,97.66,
67,67,,87.5,87.11,67.19,58.98,71.88,80.47,91.8,97.66,
68,68,,88.67,88.28,67.97,61.33,74.22,81.64,91.8,97.66,
69,69,,89.06,88.67,69.92,65.62,75.0,82.03,91.8,97.66,
70,70,,89.06,89.06,70.7,67.58,75.78,82.42,91.8,97.66,
71,71,,89.45,89.06,70.7,68.75,76.95,82.81,92.19,97.66,
72,72,,89.84,89.45,71.09,70.31,77.34,83.2,92.19,97.66,
73,73,,90.23,89.45,72.66,71.48,78.12,83.98,92.19,97.66,
74,74,,90.62,89.84,74.61,71.48,78.12,84.38,92.19,97.66,
75,75,,90.62,89.84,76.17,71.88,78.91,84.38,92.19,97.66,
76,76,,90.62,89.84,76.95,72.66,79.69,85.16,92.19,97.66,
77,77,,91.41,89.84,78.12,73.44,80.47,85.94,92.19,97.66,
78,78,,91.41,91.02,78.91,73.44,82.03,86.72,92.19,97.66,
79,79,,91.8,91.41,79.3,73.44,83.2,87.89,92.97,98.05,
80,80,,93.36,92.97,80.86,73.83,83.98,89.06,92.97,98.05,
81,81,,93.36,92.97,81.64,75.78,85.16,89.84,92.97,98.05,
82,82,,93.36,92.97,82.03,77.34,86.33,91.02,92.97,98.05,
83,83,,94.14,93.36,83.59,80.08,86.72,91.41,94.14,98.05,
84,84,,94.53,94.14,84.77,82.42,87.11,91.41,94.53,98.83,
85,85,,95.7,94.92,86.72,85.94,87.11,91.41,95.31,98.83,
86,86,,96.09,94.92,87.5,88.28,87.89,91.8,96.09,98.83,
87,87,,96.48,95.7,88.67,88.28,89.45,93.36,96.09,98.83,
88,88,,96.48,96.09,89.06,88.28,91.02,94.92,97.27,98.83,
89,89,,97.27,96.88,89.84,89.45,92.58,96.09,97.27,98.83,
90,90,,97.27,96.88,91.02,90.23,92.97,96.09,97.27,98.83,
91,91,,97.66,97.27,91.02,92.58,93.36,96.48,98.83,98.83,
92,92,,98.44,98.05,91.8,92.58,94.14,97.27,99.22,99.22,
93,93,,98.83,98.44,92.97,93.36,95.31,97.27,99.22,99.22,
94,94,,98.83,98.44,94.14,94.92,96.09,97.66,99.22,100.0,
95,95,,99.22,98.83,94.92,95.31,97.66,98.83,99.22,100.0,
96,96,,99.61,99.22,96.48,97.27,98.05,98.83,99.61,100.0,
97,97,,100.0,99.61,98.05,97.66,98.83,99.22,99.61,100.0,
