,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,2.89,3.05,0.8,2.25,1.29,2.73,1.13,1.29,80.39
1,1,,10.61,10.77,1.93,8.04,5.79,9.97,9.0,8.84,
2,2,,18.17,18.65,3.7,13.02,9.65,16.4,17.04,16.24,
3,3,,26.05,25.88,4.5,18.33,11.09,22.99,25.08,23.79,
4,4,,33.76,33.76,5.63,22.51,12.22,29.9,32.8,31.83,
5,5,,40.03,39.87,6.59,25.08,12.7,35.69,38.91,38.26,
6,6,,47.59,47.75,7.56,29.58,13.5,42.77,46.46,46.14,
7,7,,55.63,55.79,8.04,36.5,14.79,50.0,52.89,53.38,
8,8,,63.67,63.5,9.32,42.6,15.76,56.59,58.04,60.93,
9,9,,71.06,70.9,9.65,45.34,17.2,63.99,64.95,68.01,
10,10,,78.94,78.78,10.61,49.2,18.01,71.38,71.86,75.4,
11,11,,86.17,86.01,11.74,52.09,19.77,78.14,77.81,81.83,
12,12,89.07,91.0,90.84,12.38,54.66,20.58,85.37,83.92,87.78,134.89
13,13,89.23,92.44,92.44,13.18,56.75,21.54,89.07,88.75,91.0,204.18
14,14,89.55,93.25,93.57,13.99,58.52,22.67,89.07,91.0,92.93,146.46
15,15,90.03,93.41,93.89,15.11,60.45,23.79,89.07,91.96,94.05,136.5
16,16,90.84,93.89,94.21,16.24,62.38,24.76,89.23,93.89,94.37,135.69
17,17,92.28,94.21,95.18,17.68,63.18,26.53,89.23,94.69,95.18,134.41
18,18,93.09,94.69,95.5,18.65,63.18,27.17,89.39,95.18,95.66,133.6
19,19,93.73,95.18,95.66,19.45,63.18,28.14,89.55,95.66,96.3,130.06
20,20,94.37,95.5,95.98,20.42,63.18,28.94,89.87,96.3,96.46,127.65
21,21,95.34,95.66,96.3,21.86,63.18,29.9,89.87,96.78,97.11,124.92
22,22,95.66,95.82,96.62,22.83,64.15,30.39,89.87,97.27,97.27,122.35
23,23,95.82,96.14,96.62,23.31,65.43,31.03,90.19,97.43,97.43,119.61
24,24,96.78,96.3,96.78,23.95,66.72,31.99,90.19,97.43,97.43,117.85
25,25,96.78,96.3,96.78,24.6,69.13,33.6,90.35,97.75,97.43,133.12
26,26,97.43,96.3,96.78,25.88,70.74,34.08,90.35,98.07,97.59,127.01
27,27,98.07,96.3,96.95,27.49,71.22,35.21,90.68,98.07,97.59,124.6
28,28,98.07,96.3,96.95,28.62,71.54,36.01,91.0,98.23,97.75,121.7
29,29,98.23,96.3,96.95,29.1,72.51,37.3,91.16,98.23,98.07,118.65
30,30,98.23,96.3,96.95,30.23,73.63,38.42,91.32,98.23,98.07,116.88
31,31,98.23,96.3,96.95,31.67,74.6,38.75,91.48,98.39,98.39,115.27
32,32,98.71,96.3,96.95,32.96,75.4,39.71,91.48,98.39,98.39,112.86
33,33,98.71,96.46,96.95,33.44,77.17,40.51,91.8,98.55,98.39,111.74
34,34,98.71,96.46,96.95,34.57,77.65,40.84,91.8,98.55,98.39,110.45
35,35,98.71,96.46,97.27,35.05,78.3,41.0,91.8,98.71,98.39,109.65
36,36,99.04,96.62,97.27,36.33,79.1,41.96,91.8,98.71,98.55,107.88
37,37,99.04,96.78,97.59,37.62,79.1,43.09,91.96,98.71,98.71,107.07
38,38,99.04,97.11,97.59,38.59,79.74,43.89,92.12,98.71,98.71,105.63
39,39,99.2,97.27,97.59,39.55,81.03,43.89,92.12,99.04,98.71,104.82
40,40,99.36,97.27,97.59,40.51,81.99,45.5,92.44,99.04,98.87,104.5
41,41,99.36,97.27,97.59,41.0,82.96,46.62,92.44,99.2,98.87,104.18
42,42,99.52,97.43,97.75,41.8,83.6,47.59,92.6,99.2,98.87,104.02
43,43,99.52,97.43,97.91,42.44,84.08,48.39,92.6,99.2,99.04,103.7
44,44,99.52,97.59,97.91,43.89,84.41,48.87,92.77,99.2,99.04,103.54
45,45,99.52,97.59,97.91,44.05,85.05,49.84,92.93,99.2,99.2,103.38
46,46,99.52,97.75,97.91,45.18,85.53,50.64,93.25,99.2,99.2,103.54
47,47,99.52,97.75,97.91,45.82,85.53,52.09,93.25,99.2,99.2,103.05
48,48,,97.91,97.91,46.95,86.17,53.22,93.25,99.2,99.2,
49,49,,97.91,97.91,47.11,87.62,53.7,93.25,99.2,99.2,
50,50,,97.91,97.91,47.59,88.1,54.5,93.73,99.2,99.2,
51,51,,97.91,97.91,48.71,88.75,55.79,93.73,99.2,99.2,
52,52,,97.91,97.91,49.52,89.55,56.91,93.89,99.2,99.2,
53,53,,97.91,97.91,50.32,90.51,57.72,93.89,99.2,99.2,
54,54,,98.07,97.91,51.45,91.0,58.52,93.89,99.36,99.2,
55,55,,98.23,97.91,52.09,91.16,59.49,93.89,99.36,99.2,
56,56,,98.39,97.91,53.38,91.64,59.97,93.89,99.36,99.2,
57,57,,98.39,97.91,55.31,92.12,60.93,94.21,99.36,99.2,
58,58,,98.39,97.91,56.43,92.44,63.18,94.21,99.36,99.2,
59,59,,98.39,97.91,57.56,92.6,63.83,94.37,99.52,99.2,
60,60,,98.39,98.07,58.52,92.6,65.27,94.53,99.52,99.2,
61,61,,98.39,98.07,58.68,92.6,65.59,94.86,99.52,99.2,
62,62,,98.39,98.07,59.65,92.6,66.08,94.86,99.52,99.2,
63,63,,98.55,98.07,60.77,92.6,66.56,95.02,99.52,99.2,
64,64,,98.55,98.07,61.9,92.6,67.36,95.18,99.52,99.2,
65,65,,98.71,98.23,63.02,92.6,68.49,95.18,99.68,99.2,
66,66,,98.87,98.23,64.31,92.6,69.61,95.18,99.68,99.2,
67,67,,98.87,98.39,65.27,92.6,70.74,95.18,99.68,99.2,
68,68,,98.87,98.39,66.08,92.6,71.22,95.18,99.68,99.36,
69,69,,98.87,98.39,67.68,92.6,72.35,95.18,99.68,99.68,
