,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,12.98,14.5,0.76,3.05,1.53,9.16,11.45,10.69,362.6
1,1,25.19,33.59,33.59,0.76,12.98,3.05,25.19,29.77,32.82,65.65
2,2,29.01,49.62,49.62,0.76,17.56,5.34,39.69,43.51,45.8,71.76
3,3,38.17,52.67,58.02,1.53,17.56,8.4,51.91,50.38,52.67,72.52
4,4,51.91,58.02,64.89,2.29,17.56,9.16,51.91,54.96,58.02,89.31
5,5,60.31,61.07,69.47,5.34,21.37,9.16,51.91,59.54,61.83,104.58
6,6,64.12,63.36,69.47,5.34,22.9,9.92,52.67,65.65,66.41,96.95
7,7,67.18,64.89,69.47,6.87,24.43,9.92,52.67,66.41,67.18,93.13
8,8,69.47,65.65,70.23,9.92,25.19,9.92,52.67,68.7,70.23,96.95
9,9,69.47,67.18,70.99,9.92,29.01,10.69,52.67,69.47,71.76,101.53
10,10,70.99,67.94,74.05,11.45,30.53,12.21,54.2,72.52,73.28,96.95
11,11,73.28,67.94,74.81,12.21,35.88,12.21,54.96,74.05,74.05,93.13
12,12,74.81,68.7,75.57,12.21,40.46,12.21,54.96,75.57,76.34,95.42
13,13,74.81,70.99,75.57,13.74,41.22,12.21,54.96,75.57,77.1,93.89
14,14,76.34,72.52,76.34,15.27,41.22,12.21,55.73,76.34,77.86,95.42
15,15,76.34,74.05,77.86,16.03,41.22,12.98,55.73,77.86,78.63,90.84
16,16,76.34,74.81,77.86,16.03,41.22,12.98,55.73,79.39,79.39,93.89
17,17,76.34,75.57,77.86,17.56,43.51,12.98,55.73,79.39,79.39,90.08
18,18,77.86,75.57,77.86,18.32,43.51,12.98,55.73,80.92,79.39,94.66
19,19,77.86,75.57,77.86,19.85,43.51,13.74,55.73,80.92,79.39,91.6
20,20,79.39,75.57,78.63,21.37,43.51,15.27,55.73,80.92,80.15,92.37
21,21,81.68,75.57,78.63,22.14,45.8,15.27,55.73,80.92,80.15,94.66
22,22,82.44,75.57,78.63,24.43,50.38,16.03,55.73,80.92,80.92,98.47
23,23,82.44,75.57,79.39,25.19,52.67,16.79,55.73,80.92,80.92,98.47
24,24,82.44,76.34,79.39,25.19,53.44,18.32,56.49,80.92,81.68,99.24
25,25,82.44,76.34,79.39,25.95,54.2,19.08,57.25,80.92,82.44,96.18
26,26,82.44,77.1,79.39,25.95,54.96,20.61,58.02,81.68,83.97,96.95
27,27,82.44,77.1,79.39,26.72,55.73,24.43,59.54,83.21,84.73,98.47
28,28,,77.1,79.39,27.48,56.49,25.19,61.07,83.97,86.26,
29,29,,77.1,80.15,29.77,57.25,25.95,61.07,85.5,86.26,
30,30,,78.63,80.15,31.3,57.25,27.48,61.83,85.5,87.79,
31,31,,78.63,80.92,32.06,60.31,28.24,61.83,85.5,87.79,
32,32,,78.63,80.92,32.06,61.07,28.24,61.83,87.02,88.55,
33,33,,80.15,81.68,32.82,63.36,29.77,62.6,87.02,88.55,
34,34,,80.15,83.21,32.82,64.12,31.3,64.12,87.79,89.31,
35,35,,80.15,83.21,33.59,65.65,32.82,64.12,89.31,89.31,
36,36,,80.15,83.21,34.35,66.41,35.88,64.89,89.31,89.31,
37,37,,80.15,83.21,34.35,67.94,36.64,65.65,89.31,89.31,
38,38,,80.92,83.97,36.64,70.99,37.4,66.41,89.31,89.31,
39,39,,80.92,85.5,37.4,71.76,38.93,66.41,89.31,89.31,
40,40,,80.92,86.26,39.69,72.52,39.69,68.7,89.31,91.6,
41,41,,80.92,87.02,40.46,76.34,41.22,69.47,90.08,91.6,
42,42,,80.92,87.02,41.22,77.86,41.22,69.47,91.6,91.6,
43,43,,80.92,87.02,43.51,77.86,41.22,69.47,91.6,91.6,
44,44,,80.92,87.02,44.27,78.63,43.51,69.47,93.13,92.37,
45,45,,80.92,87.02,45.04,79.39,45.8,69.47,93.89,92.37,
46,46,,81.68,87.79,45.04,80.15,48.09,70.23,93.89,92.37,
47,47,,81.68,87.79,45.04,80.15,48.85,70.23,93.89,92.37,
48,48,,81.68,87.79,45.04,82.44,50.38,70.99,93.89,92.37,
49,49,,83.21,87.79,45.04,83.21,52.67,71.76,93.89,93.13,
50,50,,83.97,87.79,46.56,83.97,54.2,72.52,93.89,93.89,
51,51,,83.97,87.79,48.09,84.73,54.2,72.52,93.89,93.89,
