,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,2.62,2.05,0.5,1.63,1.34,2.34,1.91,1.13,33.62
1,1,,8.49,8.07,0.99,5.73,7.15,7.93,6.44,6.65,
2,2,,13.23,13.23,1.84,10.19,12.31,13.23,10.83,11.46,
3,3,,19.11,19.32,2.76,14.3,15.0,18.61,16.49,17.41,
4,4,,24.49,24.63,3.54,16.84,17.2,23.64,21.87,22.93,
5,5,,29.87,29.79,4.74,19.96,18.19,29.02,27.32,28.31,
6,6,,35.74,35.81,6.02,22.79,18.97,34.96,32.98,34.39,
7,7,,41.54,41.68,6.79,25.62,19.89,39.99,38.85,40.13,
8,8,,47.98,48.05,7.93,27.67,20.67,45.65,44.87,46.36,
9,9,,53.72,53.64,9.13,27.67,21.59,51.38,50.6,51.73,
10,10,,59.66,59.94,10.05,29.79,21.87,57.18,56.83,57.61,
11,11,,65.25,65.46,10.9,31.92,22.65,62.49,62.63,63.41,
12,12,,70.98,71.55,11.89,35.31,23.78,68.08,69.36,69.85,
13,13,,76.79,76.86,13.02,37.44,24.2,73.25,75.23,75.3,
14,14,,82.66,83.09,13.87,39.42,25.55,78.84,81.88,81.17,
15,15,87.83,88.25,88.18,14.86,41.05,26.19,83.86,86.84,86.41,33.62
16,16,88.39,90.16,89.38,15.5,43.38,27.11,89.74,90.16,89.24,127.67
17,17,89.81,93.21,90.66,16.56,48.2,27.95,90.8,91.08,91.01,115.92
18,18,90.3,95.26,91.58,17.2,50.25,28.38,90.87,91.86,91.51,107.64
19,19,91.01,,92.78,18.4,52.3,29.37,90.87,92.07,92.64,100.35
20,20,91.44,,93.77,19.39,53.01,30.22,91.01,92.43,92.92,97.1
21,21,91.58,,94.76,20.52,54.56,31.07,91.01,92.5,93.28,95.68
22,22,91.93,,95.05,21.59,56.4,32.06,91.08,92.57,94.41,94.41
23,23,92.71,,,23.0,58.39,33.19,91.15,92.78,95.12,93.98
24,24,93.21,,,24.2,59.94,34.04,91.22,92.92,,94.34
25,25,93.21,,,25.34,61.08,35.1,91.3,92.99,,93.91
26,26,93.28,,,26.26,62.49,35.88,91.44,93.06,,93.28
27,27,,,,26.68,63.84,36.52,91.58,93.06,,
28,28,,,,27.74,64.54,37.37,91.79,93.06,,
29,29,,,,29.02,64.54,38.22,91.93,93.06,,
30,30,,,,30.5,65.25,39.42,92.07,93.06,,
31,31,,,,31.49,66.67,40.34,92.29,93.49,,
32,32,,,,32.55,67.73,40.69,92.36,93.63,,
33,33,,,,33.47,69.0,41.9,92.5,93.7,,
34,34,,,,34.47,70.13,42.89,92.5,93.7,,
35,35,,,,34.89,70.56,43.17,92.85,93.7,,
36,36,,,,35.81,71.41,44.09,92.92,93.7,,
37,37,,,,36.8,71.9,44.94,93.06,93.84,,
38,38,,,,37.86,73.18,45.51,93.14,93.91,,
39,39,,,,38.92,74.45,46.43,93.21,93.98,,
40,40,,,,39.56,75.23,47.2,93.28,93.98,,
41,41,,,,40.84,76.01,47.84,93.42,94.06,,
42,42,,,,41.83,77.28,48.9,93.49,95.19,,
43,43,,,,43.1,78.13,50.04,93.63,,,
44,44,,,,43.74,78.27,50.96,93.63,,,
45,45,,,,44.66,78.77,51.95,93.77,,,
46,46,,,,45.29,79.33,52.65,93.84,,,
47,47,,,,46.36,79.69,53.72,93.84,,,
48,48,,,,47.77,79.69,54.92,93.91,,,
49,49,,,,48.97,79.97,55.48,94.13,,,
50,50,,,,50.11,80.54,56.4,94.27,,,
51,51,,,,51.24,80.82,57.47,94.41,,,
52,52,,,,52.58,81.53,58.17,94.55,,,
53,53,,,,53.36,82.17,59.16,94.76,,,
54,54,,,,54.71,82.87,60.16,94.98,,,
55,55,,,,55.63,83.3,61.15,94.98,,,
56,56,,,,56.9,84.08,61.85,95.05,,,
57,57,,,,57.96,84.5,62.56,,,,
58,58,,,,59.02,85.28,63.41,,,,
59,59,,,,60.01,85.99,64.33,,,,
60,60,,,,60.93,86.34,65.39,,,,
61,61,,,,61.71,86.98,66.67,,,,
62,62,,,,62.7,87.83,67.59,,,,
63,63,,,,63.13,88.39,68.29,,,,
64,64,,,,64.26,89.24,68.93,,,,
65,65,,,,65.46,89.67,70.06,,,,
66,66,,,,66.45,89.67,70.98,,,,
67,67,,,,67.59,90.38,71.9,,,,
68,68,,,,68.72,90.59,72.33,,,,
69,69,,,,69.78,90.73,72.61,,,,
70,70,,,,70.77,91.37,73.6,,,,
71,71,,,,72.12,91.72,74.59,,,,
72,72,,,,72.82,92.64,75.87,,,,
73,73,,,,73.67,92.99,77.0,,,,
74,74,,,,74.52,93.42,77.92,,,,
75,75,,,,75.65,93.7,78.7,,,,
76,76,,,,76.79,93.7,79.48,,,,
77,77,,,,77.85,93.7,80.4,,,,
78,78,,,,78.98,93.7,81.39,,,,
79,79,,,,80.11,93.98,82.17,,,,
80,80,,,,81.46,94.41,82.87,,,,
81,81,,,,82.45,94.41,83.79,,,,
82,82,,,,83.23,94.9,84.22,,,,
83,83,,,,84.15,95.05,84.78,,,,
84,84,,,,85.14,,85.92,,,,
85,85,,,,86.34,,87.19,,,,
86,86,,,,87.19,,88.32,,,,
87,87,,,,88.25,,89.17,,,,
88,88,,,,88.89,,89.95,,,,
89,89,,,,89.74,,90.8,,,,
90,90,,,,90.59,,91.86,,,,
91,91,,,,91.58,,92.71,,,,
92,92,,,,92.85,,93.56,,,,
93,93,,,,93.63,,94.55,,,,
94,94,,,,94.48,,95.05,,,,
95,95,,,,94.98,,,,,,
96,96,,,,,,,,,,
97,97,,,,,,,,,,
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
