,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,14.22,13.73,0.98,10.29,12.25,12.75,12.75,11.76,232.84
1,1,,42.16,42.65,2.45,30.88,22.55,35.29,38.73,40.69,
2,2,,73.04,73.04,3.92,42.65,24.51,63.24,71.08,70.1,
3,3,86.76,89.71,89.22,4.41,49.02,25.98,90.2,86.27,89.71,119.61
4,4,86.76,92.16,93.14,4.9,52.94,26.47,90.69,95.1,95.1,142.65
5,5,89.71,94.12,93.63,5.39,57.84,28.43,90.69,,,162.25
6,6,90.69,94.61,94.61,6.86,60.78,29.41,90.69,,,149.02
7,7,91.67,94.61,95.1,7.84,64.22,29.9,90.69,,,144.61
8,8,91.67,95.1,,7.84,66.67,31.86,90.69,,,139.71
9,9,93.14,,,9.8,69.12,33.33,90.69,,,130.39
10,10,94.12,,,9.8,69.61,34.31,90.69,,,122.06
11,11,94.12,,,11.27,69.61,35.78,90.69,,,119.61
12,12,94.12,,,12.75,69.61,35.78,90.69,,,116.67
13,13,94.12,,,13.73,70.1,35.78,90.69,,,114.71
14,14,95.1,,,14.71,71.57,37.75,90.69,,,109.8
15,15,95.1,,,16.67,74.02,37.75,90.69,,,108.82
16,16,95.59,,,18.63,75.0,37.75,90.69,,,107.84
17,17,96.57,,,19.12,76.47,38.24,90.69,,,107.35
18,18,96.57,,,20.59,77.45,38.24,90.69,,,108.33
19,19,96.57,,,21.08,79.41,39.71,90.69,,,106.86
20,20,96.57,,,22.55,81.37,40.2,90.69,,,107.35
21,21,97.55,,,23.53,83.33,40.69,90.69,,,106.37
22,22,97.55,,,25.0,84.8,41.18,91.18,,,105.88
23,23,97.55,,,26.47,85.29,42.65,91.67,,,105.88
24,24,97.55,,,27.94,85.78,43.63,91.67,,,106.37
25,25,97.55,,,28.92,86.76,44.12,91.67,,,105.88
26,26,97.55,,,29.9,86.76,45.1,91.67,,,105.39
27,27,97.55,,,30.39,87.25,46.57,91.67,,,104.9
28,28,,,,31.37,89.22,49.02,91.67,,,
29,29,,,,32.35,90.2,49.51,91.67,,,
30,30,,,,32.35,90.69,50.49,92.16,,,
31,31,,,,33.33,90.69,51.96,92.65,,,
32,32,,,,33.82,91.18,52.94,92.65,,,
33,33,,,,34.8,91.18,53.92,92.65,,,
34,34,,,,35.78,91.18,54.9,92.65,,,
35,35,,,,35.78,91.67,56.37,92.65,,,
36,36,,,,36.76,92.65,56.37,92.65,,,
37,37,,,,37.25,93.14,56.86,92.65,,,
38,38,,,,40.2,93.14,57.35,92.65,,,
39,39,,,,42.16,94.12,58.33,92.65,,,
40,40,,,,43.63,94.12,58.82,92.65,,,
41,41,,,,44.61,94.61,59.31,93.14,,,
42,42,,,,45.59,94.61,59.8,93.14,,,
43,43,,,,46.08,95.1,61.76,93.63,,,
44,44,,,,48.04,,62.25,93.63,,,
45,45,,,,48.53,,62.25,93.63,,,
46,46,,,,48.53,,62.75,93.63,,,
47,47,,,,49.51,,63.73,93.63,,,
48,48,,,,51.47,,64.71,93.63,,,
49,49,,,,51.96,,65.2,93.63,,,
50,50,,,,53.43,,67.16,94.12,,,
51,51,,,,54.41,,68.14,94.12,,,
52,52,,,,54.9,,68.14,94.12,,,
53,53,,,,55.39,,68.63,94.12,,,
54,54,,,,56.37,,69.61,94.61,,,
55,55,,,,57.35,,71.08,94.61,,,
56,56,,,,57.84,,72.55,94.61,,,
57,57,,,,58.33,,73.04,94.61,,,
58,58,,,,59.31,,74.02,94.61,,,
59,59,,,,61.27,,74.51,94.61,,,
60,60,,,,62.75,,75.0,94.61,,,
61,61,,,,63.73,,75.98,94.61,,,
62,62,,,,65.2,,75.98,94.61,,,
63,63,,,,66.18,,76.47,94.61,,,
64,64,,,,66.67,,76.47,94.61,,,
65,65,,,,68.14,,76.47,94.61,,,
66,66,,,,69.12,,77.94,95.1,,,
67,67,,,,71.08,,79.9,,,,
68,68,,,,72.06,,81.86,,,,
69,69,,,,73.04,,82.35,,,,
70,70,,,,73.04,,83.33,,,,
71,71,,,,73.53,,83.82,,,,
72,72,,,,74.02,,84.31,,,,
73,73,,,,75.49,,85.29,,,,
74,74,,,,75.49,,86.27,,,,
75,75,,,,76.47,,86.27,,,,
76,76,,,,77.94,,86.27,,,,
77,77,,,,79.41,,87.25,,,,
78,78,,,,80.39,,87.25,,,,
79,79,,,,81.37,,87.25,,,,
80,80,,,,83.82,,87.75,,,,
81,81,,,,84.31,,89.71,,,,
82,82,,,,84.31,,90.2,,,,
83,83,,,,85.78,,90.69,,,,
84,84,,,,85.78,,90.69,,,,
85,85,,,,86.76,,90.69,,,,
86,86,,,,87.75,,91.18,,,,
87,87,,,,87.75,,91.67,,,,
88,88,,,,89.22,,94.12,,,,
89,89,,,,92.16,,95.1,,,,
90,90,,,,92.65,,,,,,
91,91,,,,93.14,,,,,,
92,92,,,,93.14,,,,,,
93,93,,,,94.61,,,,,,
94,94,,,,94.61,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,,,,,,,,,,
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
