,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,8.65,6.73,0.0,8.65,7.69,8.65,4.81,9.62,456.73
1,1,31.73,40.38,41.35,0.96,25.96,11.54,25.96,37.5,41.35,456.73
2,2,36.54,50.96,47.12,0.96,32.69,13.46,45.19,45.19,50.0,99.04
3,3,36.54,57.69,55.77,2.88,36.54,14.42,49.04,58.65,52.88,111.54
4,4,37.5,57.69,57.69,3.85,42.31,16.35,50.96,64.42,56.73,99.04
5,5,38.46,58.65,57.69,3.85,48.08,18.27,50.96,70.19,60.58,99.04
6,6,47.12,60.58,59.62,4.81,49.04,19.23,51.92,73.08,63.46,102.88
7,7,52.88,60.58,61.54,5.77,52.88,21.15,52.88,75.0,65.38,116.35
8,8,54.81,62.5,63.46,6.73,52.88,23.08,52.88,75.96,66.35,133.65
9,9,57.69,63.46,63.46,7.69,52.88,23.08,52.88,79.81,66.35,120.19
10,10,58.65,67.31,64.42,9.62,52.88,23.08,52.88,82.69,66.35,105.77
11,11,59.62,67.31,68.27,9.62,52.88,23.08,52.88,82.69,69.23,101.92
12,12,59.62,67.31,69.23,10.58,52.88,23.08,52.88,85.58,69.23,104.81
13,13,59.62,67.31,71.15,11.54,52.88,23.08,52.88,85.58,69.23,100.0
14,14,59.62,69.23,74.04,11.54,52.88,23.08,52.88,85.58,72.12,100.96
15,15,59.62,73.08,74.04,13.46,52.88,24.04,53.85,85.58,75.0,106.73
16,16,60.58,73.08,74.04,13.46,53.85,24.04,53.85,86.54,75.96,113.46
17,17,,73.08,74.04,14.42,57.69,24.04,54.81,88.46,76.92,
18,18,,73.08,74.04,14.42,60.58,24.04,54.81,89.42,81.73,
19,19,,73.08,74.04,14.42,63.46,26.92,55.77,89.42,81.73,
20,20,,73.08,74.04,15.38,63.46,27.88,56.73,89.42,81.73,
21,21,,74.04,74.04,16.35,63.46,28.85,57.69,89.42,83.65,
22,22,,74.04,74.04,19.23,66.35,28.85,57.69,89.42,89.42,
23,23,,75.0,75.0,19.23,67.31,29.81,58.65,91.35,91.35,
24,24,,75.0,75.0,19.23,68.27,29.81,58.65,94.23,91.35,
25,25,,75.0,75.0,20.19,69.23,31.73,60.58,94.23,91.35,
26,26,,75.0,75.96,22.12,72.12,33.65,61.54,94.23,91.35,
27,27,,75.0,76.92,22.12,72.12,33.65,62.5,95.19,91.35,
28,28,,75.96,76.92,23.08,75.0,35.58,64.42,,91.35,
29,29,,75.96,76.92,23.08,77.88,35.58,64.42,,91.35,
30,30,,75.96,76.92,23.08,79.81,35.58,64.42,,93.27,
31,31,,75.96,76.92,23.08,81.73,35.58,64.42,,94.23,
32,32,,76.92,76.92,23.08,84.62,36.54,64.42,,94.23,
33,33,,76.92,76.92,25.0,84.62,37.5,65.38,,94.23,
34,34,,77.88,77.88,25.0,84.62,37.5,65.38,,94.23,
35,35,,77.88,77.88,26.92,84.62,37.5,65.38,,95.19,
36,36,,77.88,77.88,28.85,84.62,38.46,65.38,,,
37,37,,78.85,77.88,30.77,84.62,38.46,65.38,,,
38,38,,79.81,77.88,30.77,84.62,39.42,66.35,,,
39,39,,79.81,77.88,32.69,87.5,39.42,66.35,,,
40,40,,79.81,77.88,32.69,87.5,41.35,67.31,,,
41,41,,79.81,77.88,32.69,87.5,42.31,68.27,,,
42,42,,79.81,77.88,35.58,87.5,42.31,68.27,,,
43,43,,79.81,78.85,38.46,88.46,44.23,68.27,,,
44,44,,79.81,79.81,39.42,88.46,47.12,70.19,,,
45,45,,79.81,79.81,41.35,88.46,47.12,70.19,,,
46,46,,79.81,79.81,45.19,88.46,47.12,70.19,,,
47,47,,79.81,79.81,46.15,89.42,47.12,70.19,,,
48,48,,79.81,79.81,47.12,89.42,47.12,70.19,,,
49,49,,79.81,79.81,48.08,89.42,48.08,71.15,,,
50,50,,79.81,79.81,49.04,89.42,49.04,72.12,,,
51,51,,79.81,79.81,49.04,89.42,50.0,72.12,,,
52,52,,80.77,79.81,50.0,89.42,50.96,73.08,,,
53,53,,80.77,81.73,50.0,89.42,50.96,73.08,,,
54,54,,81.73,81.73,52.88,89.42,53.85,74.04,,,
55,55,,82.69,82.69,52.88,89.42,54.81,74.04,,,
56,56,,83.65,82.69,53.85,91.35,58.65,75.96,,,
57,57,,84.62,83.65,54.81,91.35,58.65,76.92,,,
58,58,,85.58,85.58,55.77,92.31,59.62,76.92,,,
59,59,,86.54,87.5,56.73,92.31,62.5,78.85,,,
60,60,,87.5,87.5,57.69,92.31,62.5,78.85,,,
61,61,,87.5,87.5,60.58,93.27,62.5,78.85,,,
62,62,,87.5,88.46,60.58,94.23,62.5,79.81,,,
63,63,,87.5,88.46,62.5,94.23,64.42,80.77,,,
64,64,,88.46,89.42,63.46,94.23,67.31,81.73,,,
65,65,,89.42,90.38,63.46,94.23,68.27,82.69,,,
66,66,,89.42,90.38,64.42,94.23,69.23,82.69,,,
67,67,,89.42,90.38,66.35,94.23,70.19,83.65,,,
68,68,,89.42,91.35,66.35,94.23,71.15,84.62,,,
69,69,,90.38,92.31,67.31,94.23,72.12,84.62,,,
70,70,,91.35,93.27,68.27,94.23,72.12,84.62,,,
71,71,,92.31,93.27,69.23,94.23,74.04,85.58,,,
72,72,,93.27,93.27,71.15,94.23,74.04,85.58,,,
73,73,,93.27,93.27,72.12,94.23,75.0,86.54,,,
74,74,,93.27,93.27,72.12,94.23,75.96,87.5,,,
75,75,,93.27,94.23,72.12,95.19,76.92,88.46,,,
76,76,,93.27,94.23,74.04,,78.85,88.46,,,
77,77,,94.23,94.23,74.04,,78.85,88.46,,,
78,78,,94.23,95.19,75.0,,78.85,88.46,,,
79,79,,94.23,,75.0,,79.81,89.42,,,
80,80,,94.23,,76.92,,80.77,89.42,,,
81,81,,94.23,,77.88,,80.77,90.38,,,
82,82,,95.19,,79.81,,80.77,91.35,,,
83,83,,,,79.81,,81.73,91.35,,,
84,84,,,,80.77,,81.73,92.31,,,
85,85,,,,80.77,,84.62,94.23,,,
86,86,,,,81.73,,84.62,94.23,,,
87,87,,,,83.65,,85.58,94.23,,,
88,88,,,,84.62,,86.54,94.23,,,
89,89,,,,85.58,,86.54,94.23,,,
90,90,,,,86.54,,88.46,95.19,,,
91,91,,,,86.54,,89.42,,,,
92,92,,,,88.46,,90.38,,,,
93,93,,,,89.42,,93.27,,,,
94,94,,,,90.38,,95.19,,,,
95,95,,,,93.27,,,,,,
96,96,,,,94.23,,,,,,
97,97,,,,,,,,,,
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
