,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,2.12,2.12,0.21,2.12,1.69,2.12,0.64,0.42,100.64
1,1,,7.84,8.47,1.48,6.57,6.36,8.05,5.93,6.57,
2,2,,13.98,14.83,2.75,11.86,9.96,13.14,12.29,12.5,
3,3,,19.92,20.97,3.6,16.31,12.29,18.01,18.22,18.64,
4,4,,26.06,27.12,4.45,19.07,14.62,23.52,24.58,24.58,
5,5,,32.42,33.05,6.36,22.46,16.1,29.45,30.72,30.93,
6,6,,38.56,39.41,7.84,26.27,16.53,34.96,36.86,37.29,
7,7,,44.92,45.34,8.69,30.08,17.16,40.68,43.22,43.64,
8,8,,50.85,51.48,9.53,31.99,18.43,46.4,49.58,50.0,
9,9,,56.99,57.2,9.96,33.69,19.7,52.33,55.08,56.14,
10,10,,63.14,63.14,11.86,35.59,21.61,58.47,61.44,62.08,
11,11,,69.28,69.28,12.71,38.56,21.82,63.77,67.58,66.74,
12,12,73.31,74.58,74.15,13.77,40.47,22.25,69.7,72.88,72.25,100.64
13,13,74.79,76.69,77.12,14.83,42.8,23.09,74.36,75.85,75.64,232.63
14,14,76.69,77.97,79.45,15.47,44.49,23.94,74.58,78.6,78.6,152.54
15,15,77.97,79.66,79.87,16.53,45.34,23.94,74.58,79.66,81.14,125.21
16,16,79.45,79.87,80.08,18.01,46.4,24.58,74.79,80.51,82.63,121.19
17,17,81.78,81.14,81.57,18.64,47.25,25.85,75.42,81.99,85.17,123.31
18,18,82.84,81.78,82.63,19.49,48.94,26.91,75.85,83.69,86.02,119.28
19,19,83.9,82.42,83.69,20.97,50.21,28.6,76.69,84.75,86.86,120.34
20,20,85.38,82.84,84.75,22.03,51.27,29.45,77.54,85.59,88.14,120.34
21,21,87.08,83.69,85.81,23.09,51.27,30.3,78.18,86.44,89.19,119.28
22,22,88.35,84.32,86.23,23.73,52.12,31.36,78.39,87.92,89.62,118.64
23,23,89.41,84.75,86.86,24.58,53.18,32.42,78.6,88.35,89.83,116.53
24,24,89.62,85.38,87.29,26.69,54.24,33.26,78.6,89.62,90.47,115.47
25,25,90.47,86.23,87.71,27.97,55.3,34.53,78.6,90.47,91.31,113.98
26,26,90.47,87.29,88.35,29.03,56.99,35.17,79.03,90.89,91.53,111.86
27,27,91.31,87.5,88.56,30.3,57.63,35.81,79.24,91.31,92.16,109.96
28,28,91.31,88.56,88.77,30.93,58.26,37.08,79.24,91.53,92.8,108.26
29,29,91.74,88.98,89.62,31.78,59.75,37.5,79.45,91.53,92.8,110.17
