,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,8.61,8.61,0.48,7.18,9.57,7.18,9.09,6.7,227.27
1,1,,27.27,27.27,1.44,19.14,13.4,17.7,25.84,22.97,
2,2,,41.63,42.11,2.87,20.1,16.27,34.45,37.32,33.97,
3,3,46.41,48.33,49.28,3.83,21.53,19.14,47.37,48.8,49.28,227.27
4,4,47.85,52.63,53.59,4.78,24.88,20.57,48.33,53.59,52.15,83.73
5,5,47.85,52.63,55.02,6.22,25.84,21.53,49.76,58.37,56.94,84.69
6,6,48.33,53.59,55.98,7.66,28.23,21.53,49.76,60.29,58.37,90.91
7,7,50.24,55.98,56.94,8.61,29.19,22.01,49.76,60.29,59.33,88.52
8,8,50.72,56.46,58.85,9.57,32.06,22.97,49.76,60.29,60.29,70.81
9,9,55.98,56.46,59.33,9.57,33.97,22.97,49.76,60.29,61.72,76.56
10,10,55.98,57.89,59.81,10.05,33.97,23.44,50.24,60.29,62.2,72.73
11,11,56.46,58.85,59.81,11.0,34.93,23.92,50.72,60.29,62.68,68.9
12,12,56.46,59.81,60.29,11.0,36.84,25.36,51.2,60.77,63.16,66.51
13,13,57.89,60.29,60.77,12.44,36.84,25.36,51.2,60.77,65.07,67.46
14,14,59.33,60.29,60.77,12.92,38.28,25.36,51.2,60.77,65.55,66.51
15,15,62.2,60.29,60.77,14.83,39.71,25.84,51.67,60.77,65.55,68.42
16,16,63.64,60.77,61.72,16.27,54.07,27.27,52.15,60.77,66.03,69.38
17,17,67.46,60.77,61.72,18.18,68.9,28.23,52.15,61.24,66.03,72.73
18,18,67.94,61.24,61.72,21.53,68.9,29.67,53.11,61.24,66.03,78.47
19,19,67.94,61.24,62.2,21.53,68.9,29.67,53.11,61.24,66.03,75.12
20,20,68.9,61.24,62.68,23.92,68.9,30.62,53.59,61.24,66.03,77.99
21,21,68.9,61.72,62.68,25.84,68.9,30.62,54.55,61.24,66.03,76.08
22,22,69.86,62.2,64.11,26.79,68.9,32.54,55.98,62.68,66.03,74.16
23,23,70.81,62.2,64.11,28.23,68.9,33.01,55.98,81.82,66.03,76.08
24,24,70.81,63.16,64.11,28.71,68.9,33.01,55.98,90.43,66.03,75.6
25,25,70.81,63.64,65.07,30.14,68.9,33.49,55.98,90.91,66.03,75.6
26,26,70.81,63.64,65.55,31.58,68.9,34.93,57.42,90.91,66.03,74.64
27,27,70.81,63.64,66.03,32.54,68.9,35.41,57.42,90.91,66.03,74.16
28,28,70.81,65.07,66.03,33.49,68.9,36.84,57.89,90.91,66.03,76.08
29,29,,65.55,66.03,34.45,69.38,37.32,58.37,90.91,66.03,
30,30,,65.55,66.03,35.89,69.86,37.8,58.85,92.82,66.03,
31,31,,66.03,66.51,37.32,70.81,37.8,58.85,92.82,66.03,
32,32,,66.03,66.51,37.32,70.81,37.8,58.85,92.82,66.03,
33,33,,66.51,67.46,37.8,70.81,38.28,59.33,92.82,66.03,
34,34,,66.51,67.46,37.8,72.25,39.23,60.77,93.78,66.03,
35,35,,66.51,67.46,39.23,73.21,42.58,62.2,93.78,66.03,
36,36,,67.46,67.94,40.19,73.68,43.06,62.2,93.78,66.03,
37,37,,67.46,67.94,40.67,75.6,44.02,63.16,93.78,66.03,
38,38,,67.94,68.42,41.63,78.47,45.45,64.11,93.78,66.03,
39,39,,69.86,70.33,42.58,81.82,46.41,65.55,93.78,66.03,
40,40,,70.33,71.29,44.02,83.25,47.37,66.03,93.78,66.03,
41,41,,71.29,71.77,44.02,83.73,47.37,66.03,93.78,66.03,
42,42,,72.25,72.73,44.98,84.21,49.28,66.51,93.78,66.03,
43,43,,72.25,72.73,45.93,84.69,49.28,66.51,93.78,66.03,
44,44,,72.73,73.21,46.41,85.17,49.28,66.51,93.78,66.03,
45,45,,72.73,73.21,46.41,85.17,49.76,66.99,93.78,66.03,
