,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,RANDOM,NBM,KNN,DT,SVM,SVM_LINER,estimate
0,0,0.0,9.79,10.14,1.4,1.05,0.7,5.24,4.2,4.2,166.08
1,1,,33.22,32.87,2.1,2.8,1.4,19.23,27.62,27.27,
2,2,52.8,53.85,54.2,3.5,3.5,2.8,33.92,44.76,49.65,166.08
3,3,55.24,58.04,59.44,4.9,4.2,3.5,49.65,47.2,58.04,179.37
4,4,56.29,62.59,63.29,5.94,6.64,6.99,55.24,47.55,65.73,208.74
5,5,59.79,65.03,63.99,8.39,9.09,9.79,55.94,48.6,68.88,196.5
6,6,61.89,66.78,64.69,9.44,10.49,12.24,56.64,48.6,71.33,180.42
7,7,62.94,68.88,66.43,10.49,13.29,13.29,57.69,48.6,72.73,170.63
8,8,65.38,70.28,68.88,11.54,13.99,15.03,58.04,48.95,79.37,159.09
9,9,67.48,71.68,70.63,11.89,15.03,15.73,59.44,48.95,81.12,148.95
10,10,74.48,74.13,72.03,12.94,17.48,16.43,60.14,49.65,84.97,145.8
11,11,76.57,75.87,73.43,13.64,19.23,17.48,60.49,49.65,87.76,136.36
12,12,80.07,77.27,73.78,13.99,19.93,19.93,60.84,49.65,88.81,130.77
13,13,81.12,77.97,74.13,15.03,20.98,20.63,61.19,49.65,88.81,130.42
14,14,83.57,79.02,74.13,15.73,22.38,21.33,61.54,50.0,89.16,125.87
15,15,83.57,79.72,76.22,16.43,26.22,21.68,61.89,50.0,89.86,121.68
16,16,85.31,79.72,76.92,16.43,27.27,22.73,62.59,50.35,90.56,114.34
17,17,86.01,80.77,77.62,17.48,31.12,23.43,62.59,51.75,92.31,115.73
18,18,87.76,80.77,78.32,20.28,32.17,24.83,62.59,52.1,93.36,114.34
19,19,89.51,80.77,78.67,20.98,34.62,26.57,62.94,52.45,93.36,116.43
20,20,89.51,81.12,79.02,21.68,35.31,28.32,63.99,52.8,93.36,110.84
21,21,89.51,81.12,79.02,22.03,38.11,30.42,64.34,52.8,93.36,108.04
22,22,89.51,81.47,79.72,23.08,38.81,31.82,64.69,52.8,93.71,106.29
23,23,89.51,81.47,79.72,23.43,39.51,31.82,65.03,53.15,94.06,104.2
24,24,89.51,81.47,79.72,23.78,39.51,32.87,65.38,56.99,94.76,101.4
25,25,90.56,81.82,80.07,24.48,39.86,33.92,65.38,60.49,94.76,100.7
26,26,,81.82,80.42,25.52,39.86,35.66,66.08,64.69,95.1,
27,27,,82.17,80.77,27.27,39.86,35.66,66.08,67.83,,
28,28,,82.52,80.77,27.97,41.61,35.66,66.43,69.23,,
29,29,,82.52,81.12,29.02,42.31,36.36,66.43,78.67,,
30,30,,82.87,81.12,29.72,44.06,37.06,66.43,81.47,,
31,31,,83.22,81.12,30.07,46.5,37.76,67.13,82.52,,
32,32,,83.22,81.12,31.47,48.95,37.76,67.48,83.57,,
33,33,,83.22,81.12,32.52,49.3,38.81,67.48,84.97,,
34,34,,83.57,81.82,33.57,50.0,38.81,67.83,87.06,,
35,35,,83.57,81.82,34.97,51.4,39.16,68.53,87.76,,
36,36,,83.57,82.17,36.36,52.8,40.21,68.53,89.16,,
37,37,,83.92,82.17,38.11,53.5,41.26,68.53,89.86,,
38,38,,83.92,82.17,38.81,54.2,41.61,68.88,89.86,,
39,39,,84.27,82.17,41.26,54.9,42.31,69.93,89.86,,
40,40,,84.27,82.17,43.01,58.04,43.01,69.93,91.26,,
41,41,,84.27,82.17,43.36,59.44,44.41,70.98,92.31,,
42,42,,84.27,82.17,45.1,59.79,45.45,71.33,92.66,,
43,43,,84.27,82.17,46.15,59.79,45.8,71.68,92.66,,
44,44,,84.62,82.52,47.2,60.14,46.5,72.03,93.71,,
45,45,,85.31,83.22,47.9,61.54,47.55,73.08,93.71,,
46,46,,85.66,83.22,48.25,62.24,48.6,73.78,93.71,,
47,47,,86.01,83.57,49.3,63.29,48.95,74.13,93.71,,
48,48,,86.01,84.27,49.65,64.34,49.65,74.48,93.71,,
