,perc_read,FASTREAD,estimate
0,0,0.49,232.84
1,1,1.47,232.84
2,2,2.45,232.84
3,3,23.04,44.61
4,4,50.49,80.88
5,5,72.06,101.96
6,6,84.31,125.98
7,7,87.25,127.94
8,8,91.18,124.51
9,9,91.67,119.61
10,10,92.16,112.25
11,11,94.61,113.24
12,12,94.61,110.29
13,13,94.61,110.29
14,14,94.61,107.84
15,15,94.61,109.31
16,16,94.61,104.9
17,17,,
18,18,,
19,19,,
20,20,,
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
