,perc_read,FASTREAD,estimate
0,0,0.0,456.73
1,1,0.0,456.73
2,2,0.96,456.73
3,3,1.92,456.73
4,4,4.81,456.73
5,5,16.35,63.46
6,6,25.0,64.42
7,7,28.85,69.23
8,8,39.42,107.69
9,9,47.12,109.62
10,10,50.96,105.77
11,11,52.88,106.73
12,12,57.69,106.73
13,13,62.5,106.73
14,14,65.38,109.62
15,15,67.31,112.5
16,16,67.31,109.62
17,17,67.31,110.58
18,18,67.31,113.46
19,19,68.27,113.46
20,20,69.23,117.31
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
29,29,,
30,30,,
31,31,,
32,32,,
33,33,,
34,34,,
35,35,,
36,36,,
37,37,,
38,38,,
39,39,,
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
