,perc_read,FASTREAD,estimate
0,0,0.48,76.37
1,1,3.7,9.65
2,2,10.29,23.47
3,3,15.76,24.44
4,4,22.19,33.44
5,5,28.14,48.87
6,6,34.89,58.2
7,7,40.84,62.54
8,8,46.95,70.42
9,9,51.45,75.08
10,10,54.18,78.3
11,11,60.13,70.74
12,12,67.85,83.12
13,13,74.92,85.21
14,14,80.55,97.43
15,15,85.85,104.98
16,16,88.91,110.45
17,17,89.55,111.41
18,18,91.96,112.86
19,19,93.09,112.54
20,20,93.73,112.22
21,21,94.86,112.7
22,22,95.5,111.58
23,23,95.82,110.29
24,24,96.14,109.49
25,25,97.11,118.49
26,26,97.27,116.08
27,27,97.59,113.02
28,28,97.59,110.93
29,29,97.75,109.49
30,30,97.91,107.72
31,31,98.23,106.91
32,32,98.23,106.11
33,33,98.23,104.66
34,34,98.39,102.89
35,35,98.71,102.25
36,36,98.71,101.29
37,37,98.71,100.8
38,38,98.71,100.64
39,39,98.87,98.71
40,40,,
41,41,,
42,42,,
43,43,,
44,44,,
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
