,perc_read,FASTREAD,estimate
0,0,0.7,166.08
1,1,2.45,166.08
2,2,8.39,30.42
3,3,9.44,27.62
4,4,18.53,29.02
5,5,21.68,31.82
6,6,28.67,33.22
7,7,45.1,68.18
8,8,58.74,91.61
9,9,66.78,111.89
10,10,72.03,124.13
11,11,75.17,119.23
12,12,76.92,118.18
13,13,77.97,111.89
14,14,81.82,110.84
15,15,82.52,108.74
16,16,83.92,106.64
17,17,84.97,106.99
18,18,87.41,105.94
19,19,90.56,106.99
20,20,91.26,106.29
21,21,91.96,109.09
22,22,91.96,106.64
23,23,91.96,105.24
24,24,92.66,103.15
25,25,93.01,104.55
26,26,93.36,101.75
27,27,93.36,101.05
28,28,93.71,101.05
29,29,94.41,100.35
30,30,94.41,100.35
31,31,94.76,100.35
32,32,95.45,100.35
33,33,95.45,101.05
34,34,95.45,100.35
35,35,96.15,99.65
36,36,96.15,99.65
37,37,96.15,99.3
38,38,96.15,99.3
39,39,96.5,98.6
40,40,96.5,100.0
41,41,96.5,99.65
42,42,96.5,99.3
43,43,96.5,99.3
44,44,96.5,99.65
45,45,,
46,46,,
47,47,,
48,48,,
49,49,,
50,50,,
51,51,,
52,52,,
53,53,,
54,54,,
55,55,,
56,56,,
57,57,,
58,58,,
59,59,,
60,60,,
61,61,,
62,62,,
63,63,,
64,64,,
65,65,,
66,66,,
67,67,,
68,68,,
69,69,,
70,70,,
71,71,,
72,72,,
73,73,,
74,74,,
75,75,,
76,76,,
77,77,,
78,78,,
79,79,,
80,80,,
81,81,,
82,82,,
83,83,,
84,84,,
85,85,,
86,86,,
87,87,,
88,88,,
89,89,,
90,90,,
91,91,,
92,92,,
93,93,,
94,94,,
95,95,,
96,96,,
97,97,,
98,98,,
99,99,,
100,100,,
