,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,2.83,1.91,33.62
1,1,,8.07,7.08,39.35
2,2,,12.88,12.46,35.6
3,3,,18.75,18.61,36.09
4,4,,24.63,23.92,39.84
5,5,,30.15,28.95,43.74
6,6,,35.39,35.1,46.85
7,7,,41.26,41.05,51.66
8,8,,46.78,47.28,56.97
9,9,,52.51,52.51,62.99
10,10,,57.61,57.89,68.51
11,11,,62.49,63.06,73.11
12,12,,67.3,68.72,77.92
13,13,,71.48,73.89,81.32
14,14,,75.51,79.33,84.64
15,15,,79.76,82.45,87.76
16,16,,83.01,85.42,91.65
17,17,,85.63,88.61,93.35
18,18,,87.97,90.23,95.82
19,19,,89.46,91.51,96.46
20,20,,90.73,95.33,95.97
21,21,,91.44,,95.12
22,22,,92.07,,95.4
23,23,,92.29,,94.2
24,24,,92.71,,94.06
25,25,,93.14,,93.49
26,26,,93.42,,92.78
27,27,,93.42,,92.85
28,28,,93.7,,92.57
29,29,,93.7,,92.71
30,30,,93.77,,92.36
31,31,,94.06,,92.0
32,32,,94.06,,92.14
33,33,,94.55,,91.93
34,34,,94.55,,92.5
35,35,,94.62,,92.29
36,36,,97.88,,92.14
37,37,,99.22,,96.18
38,38,,,,
39,39,,99.29,,95.68
40,40,,,,
41,41,,99.29,,95.61
42,42,,99.5,,95.54
43,43,,99.5,,95.61
44,44,,99.5,,95.54
45,45,,,,
46,46,,99.5,,95.47
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
