,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,2.54,0.42,100.64
1,1,,6.57,6.36,41.74
2,2,,12.29,12.5,45.55
3,3,,18.01,18.22,48.09
4,4,,23.52,24.58,51.06
5,5,,29.45,30.93,55.51
6,6,,34.96,37.29,59.32
7,7,,39.41,43.22,61.86
8,8,,46.82,49.58,69.92
9,9,,51.91,55.51,75.64
10,10,,56.36,61.23,82.84
11,11,,60.59,65.25,86.86
12,12,,65.04,69.92,95.97
13,13,,68.43,74.15,98.52
14,14,,71.82,77.97,102.33
15,15,,75.64,80.72,104.66
16,16,,77.97,81.14,107.2
17,17,,81.14,83.26,108.05
18,18,,82.63,84.75,107.63
19,19,,84.11,86.44,107.2
20,20,,85.81,87.5,107.42
21,21,,86.86,88.56,106.36
22,22,,88.35,89.19,107.2
23,23,,89.41,89.83,103.6
24,24,,89.62,90.25,104.03
25,25,,90.89,91.1,101.06
26,26,,91.53,91.74,100.85
27,27,,91.74,92.16,99.58
28,28,,91.95,92.16,98.52
29,29,,92.37,92.58,97.46
30,30,,92.8,93.01,96.4
31,31,,93.22,93.01,96.19
32,32,,93.43,93.22,96.4
33,33,,94.7,93.22,95.13
34,34,,95.13,93.64,96.4
35,35,,95.13,93.86,96.19
36,36,,95.34,93.86,95.76
37,37,,95.55,94.28,95.55
38,38,,95.76,94.7,95.34
39,39,,,95.13,
40,40,,95.97,,94.92
41,41,,96.61,,94.7
42,42,,96.61,,95.55
43,43,,96.82,,95.34
44,44,,,,
45,45,,97.46,,95.55
46,46,,97.67,,95.76
47,47,,97.67,,95.76
48,48,,,,
49,49,,97.67,,95.55
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
