,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,11.89,4.2,166.08
1,1,,27.27,26.92,143.01
2,2,,41.61,44.76,175.17
3,3,,49.3,50.7,170.98
4,4,,58.04,60.49,166.08
5,5,,63.99,70.98,166.43
6,6,,67.83,74.13,143.36
7,7,,72.38,77.27,135.66
8,8,,74.83,79.02,127.62
9,9,,78.32,81.47,120.98
10,10,,80.77,83.22,119.58
11,11,,81.12,84.62,111.19
12,12,,83.22,87.76,106.99
13,13,,84.97,89.16,105.94
14,14,,86.01,89.86,103.15
15,15,,88.46,90.21,105.24
16,16,,89.51,91.61,102.1
17,17,,90.21,91.96,101.4
18,18,,90.56,92.66,98.95
19,19,,91.26,93.71,97.9
20,20,,92.66,93.71,99.3
21,21,,94.06,93.71,97.9
22,22,,94.06,94.06,97.9
23,23,,94.41,95.45,97.2
24,24,,94.76,,96.5
25,25,,94.76,,95.45
26,26,,94.76,,94.76
27,27,,,,
28,28,,94.76,,94.41
29,29,,,,
30,30,,95.1,,94.41
31,31,,,,
32,32,,95.8,,94.06
33,33,,95.8,,94.41
34,34,,95.8,,94.06
35,35,,,,
36,36,,96.15,,94.06
37,37,,,,
38,38,,96.15,,94.06
39,39,,96.5,,93.71
40,40,,98.25,,96.15
41,41,,98.25,,96.15
42,42,,,,
43,43,,98.25,,95.8
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
