,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,13.74,11.45,236.64
1,1,,32.06,32.06,402.29
2,2,,43.51,46.56,458.02
3,3,,51.91,54.96,461.83
4,4,,55.73,58.02,460.31
5,5,,61.83,61.07,459.54
6,6,,67.94,67.18,461.07
7,7,,68.7,67.94,457.25
8,8,,70.23,70.99,455.73
9,9,,72.52,72.52,453.44
10,10,,73.28,74.05,411.45
11,11,,75.57,77.1,418.32
12,12,,77.1,80.15,412.98
13,13,,79.39,80.15,403.82
14,14,,80.15,80.15,398.47
15,15,,81.68,80.92,378.63
16,16,,81.68,82.44,365.65
17,17,,81.68,83.21,361.07
18,18,,83.21,85.5,356.49
19,19,,83.21,85.5,351.91
20,20,,,87.02,335.11
21,21,,83.21,87.79,325.19
22,22,,,87.79,319.85
23,23,,83.21,87.79,313.74
24,24,,,88.55,303.82
25,25,,,90.08,300.76
26,26,,,90.08,293.13
27,27,,,90.08,284.73
28,28,,,90.08,277.1
29,29,,,90.08,271.76
30,30,,,91.6,269.47
31,31,,,91.6,261.07
32,32,,,91.6,255.73
33,33,,,91.6,250.38
34,34,,,91.6,245.8
35,35,,,91.6,239.69
36,36,,,92.37,235.88
37,37,,,92.37,232.06
38,38,,,92.37,226.72
39,39,,,93.13,223.66
40,40,,,93.89,219.85
41,41,,,93.89,214.5
42,42,,,94.66,211.45
43,43,,,94.66,207.63
44,44,,,95.42,205.34
45,45,,,96.18,203.05
46,46,,,96.18,200.0
47,47,,,96.18,195.42
48,48,,,96.18,192.37
49,49,,,96.95,190.84
50,50,,,96.95,187.79
51,51,,,96.95,184.73
52,52,,,96.95,182.44
53,53,,,96.95,179.39
54,54,,,98.47,177.86
55,55,,,98.47,175.57
56,56,,,98.47,173.28
57,57,,,98.47,170.23
58,58,,,98.47,167.94
59,59,,,98.47,164.89
60,60,,,98.47,162.6
61,61,,,98.47,159.54
62,62,,,98.47,157.25
63,63,,,98.47,154.2
64,64,,,98.47,152.67
65,65,,,98.47,150.38
66,66,,,98.47,148.09
67,67,,,99.24,147.33
68,68,,,99.24,145.04
69,69,,,99.24,143.51
70,70,,,99.24,141.98
71,71,,,99.24,139.69
72,72,,,99.24,137.4
73,73,,,99.24,135.88
74,74,,,99.24,134.35
75,75,,,99.24,132.06
76,76,,,99.24,130.53
77,77,,,99.24,129.01
78,78,,,99.24,127.48
79,79,,,99.24,125.95
80,80,,,99.24,124.43
81,81,,,99.24,122.9
82,82,,,99.24,119.85
83,83,,,99.24,118.32
84,84,,,99.24,116.79
85,85,,,100.0,116.03
86,86,,,100.0,114.5
87,87,,,100.0,112.98
88,88,,,100.0,111.45
89,89,,,100.0,109.92
90,90,,,100.0,108.4
91,91,,,100.0,106.87
92,92,,,100.0,105.34
93,93,,,100.0,103.82
94,94,,,100.0,102.29
95,95,,,100.0,101.53
96,96,,,100.0,100.0
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
