,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,9.63,9.63,170.86
1,1,,27.27,24.6,247.06
2,2,,43.85,40.11,356.42
3,3,,55.35,55.35,385.03
4,4,,67.11,67.38,436.36
5,5,,72.46,73.53,456.68
6,6,,77.01,75.94,436.9
7,7,,77.81,79.68,436.36
8,8,,80.75,83.16,435.56
9,9,,81.82,84.76,389.3
10,10,,82.35,86.63,430.48
11,11,,83.16,88.77,428.07
12,12,,84.22,90.11,389.57
13,13,,87.7,90.37,384.49
14,14,,89.04,92.25,382.09
15,15,,89.3,92.51,378.34
16,16,,90.37,93.32,375.67
17,17,,91.71,94.12,359.89
18,18,,93.05,94.12,355.61
19,19,,93.05,94.39,351.34
20,20,,,94.39,335.83
21,21,,93.58,94.39,323.26
22,22,,93.85,94.39,311.23
23,23,,93.85,94.65,307.49
24,24,,94.12,94.65,303.48
25,25,,94.12,94.65,298.4
26,26,,95.72,95.19,289.57
27,27,,,95.19,274.6
28,28,,95.72,95.19,270.86
29,29,,,95.45,267.11
30,30,,,95.45,263.9
31,31,,,95.99,260.16
32,32,,,95.99,253.48
33,33,,,96.52,243.05
34,34,,,96.52,239.84
35,35,,,96.52,236.63
36,36,,,96.52,232.89
37,37,,,96.52,228.34
38,38,,,96.52,218.72
39,39,,,96.52,216.04
40,40,,,96.52,212.83
41,41,,,96.79,210.16
42,42,,,96.79,206.95
43,43,,,96.79,203.21
44,44,,,96.79,196.26
45,45,,,98.66,195.99
46,46,,,98.66,193.05
47,47,,,98.66,190.64
48,48,,,98.66,187.97
49,49,,,98.93,185.56
50,50,,,98.93,182.62
51,51,,,98.93,177.27
52,52,,,98.93,174.87
53,53,,,98.93,172.73
54,54,,,98.93,170.59
55,55,,,98.93,167.65
56,56,,,98.93,163.37
57,57,,,98.93,161.5
58,58,,,99.2,159.89
59,59,,,99.2,157.75
60,60,,,99.47,156.15
61,61,,,99.47,152.41
62,62,,,99.73,150.8
63,63,,,99.73,148.93
64,64,,,99.73,147.33
65,65,,,100.0,145.99
66,66,,,100.0,144.12
67,67,,,100.0,141.18
68,68,,,100.0,139.3
69,69,,,100.0,137.43
70,70,,,100.0,135.29
71,71,,,100.0,133.69
72,72,,,100.0,131.28
73,73,,,100.0,129.68
74,74,,,100.0,128.07
75,75,,,100.0,127.01
76,76,,,100.0,124.6
77,77,,,100.0,123.26
78,78,,,100.0,121.93
79,79,,,100.0,120.32
80,80,,,100.0,118.98
81,81,,,100.0,117.65
82,82,,,100.0,116.04
83,83,,,100.0,114.71
84,84,,,100.0,113.37
85,85,,,100.0,112.03
86,86,,,100.0,110.96
87,87,,,100.0,109.36
88,88,,,100.0,108.02
89,89,,,100.0,106.68
90,90,,,100.0,105.88
91,91,,,100.0,104.55
92,92,,,100.0,103.21
93,93,,,100.0,102.14
94,94,,,100.0,101.07
95,95,,,100.0,100.0
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
