,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,14.22,12.25,240.69
1,1,,39.22,38.24,427.45
2,2,,64.71,66.18,554.9
3,3,,85.78,86.27,571.57
4,4,,93.14,94.61,578.43
5,5,,95.59,95.1,571.08
6,6,,96.57,96.08,569.61
7,7,,97.06,97.55,560.29
8,8,,97.06,98.04,555.39
9,9,,97.55,98.04,550.0
10,10,,98.04,99.02,545.59
11,11,,99.02,99.02,482.84
12,12,,99.02,99.02,474.51
13,13,,99.51,99.02,468.14
14,14,,99.51,99.02,463.24
15,15,,99.51,99.02,457.84
16,16,,99.51,99.02,414.71
17,17,,,99.02,409.8
18,18,,99.51,99.02,403.92
19,19,,99.51,99.02,397.55
20,20,,,99.02,372.55
21,21,,99.51,99.02,362.75
22,22,,,99.02,356.86
23,23,,99.51,99.02,352.45
24,24,,,99.02,334.31
25,25,,,99.02,324.51
26,26,,,99.02,318.14
27,27,,,99.02,311.76
28,28,,,99.02,300.0
29,29,,,99.02,292.16
30,30,,,99.02,286.76
31,31,,,99.02,280.88
32,32,,,99.02,270.59
33,33,,,99.02,265.69
34,34,,,99.51,261.76
35,35,,,99.51,252.94
36,36,,,99.51,249.02
37,37,,,99.51,244.61
38,38,,,99.51,239.22
39,39,,,99.51,232.84
40,40,,,99.51,229.41
41,41,,,99.51,225.0
42,42,,,99.51,220.59
43,43,,,99.51,214.71
44,44,,,99.51,211.76
45,45,,,99.51,208.33
46,46,,,99.51,204.9
47,47,,,99.51,199.02
48,48,,,99.51,195.59
49,49,,,99.51,192.16
50,50,,,99.51,189.22
51,51,,,99.51,185.78
52,52,,,100.0,183.33
53,53,,,100.0,180.39
54,54,,,100.0,177.45
55,55,,,100.0,175.0
56,56,,,100.0,171.57
57,57,,,100.0,169.12
58,58,,,100.0,167.16
59,59,,,100.0,164.22
60,60,,,100.0,161.76
61,61,,,100.0,159.31
62,62,,,100.0,157.35
63,63,,,100.0,155.39
64,64,,,100.0,152.94
65,65,,,100.0,150.49
66,66,,,100.0,149.02
67,67,,,100.0,147.06
68,68,,,100.0,144.61
69,69,,,100.0,142.16
70,70,,,100.0,140.2
71,71,,,100.0,138.73
72,72,,,100.0,137.25
73,73,,,100.0,135.29
74,74,,,100.0,133.33
75,75,,,100.0,131.37
76,76,,,100.0,129.9
77,77,,,100.0,128.43
78,78,,,100.0,126.47
79,79,,,100.0,125.0
80,80,,,100.0,123.04
81,81,,,100.0,121.57
82,82,,,100.0,120.1
83,83,,,100.0,118.63
84,84,,,100.0,117.16
85,85,,,100.0,115.2
86,86,,,100.0,113.73
87,87,,,100.0,112.25
88,88,,,100.0,111.27
89,89,,,100.0,109.8
90,90,,,100.0,108.33
91,91,,,100.0,106.86
92,92,,,100.0,105.39
93,93,,,100.0,103.92
94,94,,,100.0,101.96
95,95,,,100.0,100.49
96,96,,,100.0,100.0
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
