,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,0.78,14.84,264.06
1,1,,1.95,41.41,435.55
2,2,,28.52,56.25,507.03
3,3,,47.27,69.14,533.98
4,4,,58.59,76.95,569.14
5,5,,65.62,79.3,532.81
6,6,,71.88,84.77,534.38
7,7,,78.12,87.5,531.25
8,8,,83.2,87.89,525.39
9,9,,85.55,89.45,521.48
10,10,,88.67,89.45,493.75
11,11,,89.06,89.45,464.84
12,12,,91.41,89.45,460.16
13,13,,92.58,89.45,438.28
14,14,,94.53,89.45,432.81
15,15,,94.92,89.45,411.72
16,16,,97.27,89.45,393.36
17,17,,97.27,89.45,388.67
18,18,,97.27,89.45,380.47
19,19,,97.66,89.45,356.64
20,20,,,89.45,352.73
21,21,,97.66,89.45,345.31
22,22,,,89.45,326.17
23,23,,97.66,89.45,321.09
24,24,,,89.45,316.02
25,25,,,89.45,299.61
26,26,,,89.45,295.31
27,27,,,89.45,283.98
28,28,,,90.23,282.03
29,29,,,91.02,275.0
30,30,,,91.8,266.41
31,31,,,92.58,264.06
32,32,,,93.36,262.11
33,33,,,93.36,250.39
34,34,,,94.14,248.44
35,35,,,94.14,245.31
36,36,,,94.53,242.58
37,37,,,94.53,235.55
38,38,,,94.53,230.08
39,39,,,94.53,224.22
40,40,,,94.53,221.48
41,41,,,94.53,218.75
42,42,,,94.53,209.77
43,43,,,94.53,207.42
44,44,,,94.53,202.34
45,45,,,94.92,200.39
46,46,,,94.92,194.14
47,47,,,95.31,192.19
48,48,,,95.7,190.23
49,49,,,96.09,188.67
50,50,,,96.48,185.55
51,51,,,98.44,185.55
52,52,,,98.44,183.2
53,53,,,98.44,178.12
54,54,,,98.44,175.78
55,55,,,98.44,173.83
56,56,,,98.44,170.7
57,57,,,98.44,168.75
58,58,,,98.44,164.06
59,59,,,98.44,162.89
60,60,,,98.44,160.55
61,61,,,98.44,157.81
62,62,,,98.44,155.86
63,63,,,98.44,154.3
64,64,,,98.44,150.78
65,65,,,98.44,148.83
66,66,,,98.44,146.88
67,67,,,98.44,144.92
68,68,,,98.83,143.36
69,69,,,98.83,141.41
70,70,,,98.83,139.06
71,71,,,98.83,137.5
72,72,,,98.83,135.55
73,73,,,98.83,133.59
74,74,,,98.83,132.03
75,75,,,98.83,130.47
76,76,,,98.83,128.91
77,77,,,98.83,126.17
78,78,,,99.22,125.39
79,79,,,99.22,123.83
80,80,,,99.22,122.27
81,81,,,99.22,120.7
82,82,,,99.22,119.14
83,83,,,99.22,117.97
84,84,,,99.22,115.62
85,85,,,99.22,113.67
86,86,,,99.22,112.11
87,87,,,99.22,110.94
88,88,,,99.22,109.38
89,89,,,99.22,107.81
90,90,,,99.22,106.64
91,91,,,99.61,105.47
92,92,,,99.61,103.91
93,93,,,99.61,103.12
94,94,,,99.61,101.56
95,95,,,100.0,100.78
96,96,,,100.0,100.0
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
