,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,9.09,9.57,176.08
1,1,,26.79,26.32,293.78
2,2,,39.71,39.71,358.85
3,3,,46.89,47.37,360.29
4,4,,51.2,53.11,367.94
5,5,,54.07,55.98,323.44
6,6,,55.98,59.33,367.46
7,7,,56.94,62.2,366.51
8,8,,56.94,63.64,322.01
9,9,,59.33,64.11,319.62
10,10,,65.55,65.07,318.66
11,11,,67.94,65.07,314.83
12,12,,69.38,65.07,311.96
13,13,,69.38,65.07,309.09
14,14,,69.38,65.07,276.56
15,15,,69.38,65.55,274.16
16,16,,,70.33,275.6
17,17,,69.38,70.33,273.68
18,18,,69.86,70.33,271.29
19,19,,71.29,70.33,268.9
20,20,,71.29,70.33,265.55
21,21,,71.29,70.33,242.58
22,22,,71.77,70.33,240.19
23,23,,,70.33,237.32
24,24,,72.25,70.33,235.41
25,25,,,70.33,233.01
26,26,,72.25,70.33,218.18
27,27,,,70.33,214.83
28,28,,73.21,70.33,211.48
29,29,,84.21,70.81,209.57
30,30,,100.0,70.81,200.48
31,31,,100.0,70.81,195.22
32,32,,100.0,70.81,192.82
33,33,,,70.81,190.43
34,34,,100.0,70.81,187.56
35,35,,,70.81,179.43
36,36,,,70.81,176.08
37,37,,,70.81,173.21
38,38,,,70.81,170.81
39,39,,,70.81,165.55
40,40,,,70.81,162.68
41,41,,,89.47,195.22
42,42,,,100.0,212.92
43,43,,,100.0,210.05
44,44,,,100.0,203.83
45,45,,,100.0,200.0
46,46,,,100.0,197.13
47,47,,,100.0,193.78
48,48,,,100.0,190.91
49,49,,,100.0,188.52
50,50,,,100.0,183.25
51,51,,,100.0,180.86
52,52,,,100.0,177.99
53,53,,,100.0,175.6
54,54,,,100.0,172.73
55,55,,,100.0,168.9
56,56,,,100.0,166.51
57,57,,,100.0,164.11
58,58,,,100.0,162.2
59,59,,,100.0,159.81
60,60,,,100.0,157.42
61,61,,,100.0,154.55
62,62,,,100.0,152.63
63,63,,,100.0,150.24
64,64,,,100.0,148.33
65,65,,,100.0,146.41
66,66,,,100.0,144.5
67,67,,,100.0,142.11
68,68,,,100.0,140.19
69,69,,,100.0,138.28
70,70,,,100.0,136.36
71,71,,,100.0,134.93
72,72,,,100.0,133.01
73,73,,,100.0,131.1
74,74,,,100.0,129.19
75,75,,,100.0,127.75
76,76,,,100.0,126.79
77,77,,,100.0,124.88
78,78,,,100.0,122.97
79,79,,,100.0,121.53
80,80,,,100.0,120.1
81,81,,,100.0,118.66
82,82,,,100.0,117.22
83,83,,,100.0,115.79
84,84,,,100.0,114.35
85,85,,,100.0,112.44
86,86,,,100.0,111.0
87,87,,,100.0,110.05
88,88,,,100.0,109.09
89,89,,,100.0,107.66
90,90,,,100.0,106.22
91,91,,,100.0,104.78
92,92,,,100.0,103.83
93,93,,,100.0,102.39
94,94,,,100.0,100.96
95,95,,,100.0,100.0
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
