,perc_read,FASTREAD,QUICKREAD,SGD,estimate
0,0,,3.86,1.77,41.8
1,1,,9.32,9.32,104.02
2,2,,16.4,16.88,140.51
3,3,,23.63,23.95,167.04
4,4,,31.35,31.51,172.83
5,5,,37.94,39.07,178.46
6,6,,44.37,45.66,218.33
7,7,,49.68,51.61,222.19
8,8,,56.43,58.36,226.69
9,9,,63.02,64.79,231.03
10,10,,68.17,70.42,234.57
11,11,,73.95,75.88,237.94
12,12,,77.81,80.71,240.68
13,13,,82.48,84.89,296.78
14,14,,84.89,88.26,297.59
15,15,,88.42,90.35,297.11
16,16,,91.0,92.12,296.3
17,17,,92.6,93.25,243.41
18,18,,93.73,94.69,242.93
19,19,,94.37,95.02,241.32
20,20,,95.02,95.82,240.35
21,21,,96.3,96.3,238.91
22,22,,96.78,97.27,238.1
23,23,,96.95,97.59,236.5
24,24,,97.27,97.75,234.89
25,25,,97.59,97.91,232.15
26,26,,97.91,98.39,230.87
27,27,,98.39,98.71,229.26
28,28,,98.39,98.87,227.65
29,29,,98.39,98.87,225.88
30,30,,98.39,99.04,224.12
31,31,,98.55,99.2,222.51
32,32,,98.71,99.2,220.58
33,33,,99.04,99.36,218.97
34,34,,99.04,99.52,217.2
35,35,,99.04,99.68,215.59
36,36,,,99.68,213.83
37,37,,99.04,99.84,212.06
38,38,,,99.84,210.29
39,39,,,99.84,208.2
40,40,,,99.84,206.43
41,41,,,99.84,182.8
42,42,,,99.84,181.19
43,43,,,99.84,179.9
44,44,,,99.84,178.3
45,45,,,99.84,176.85
46,46,,,100.0,175.56
47,47,,,100.0,174.12
48,48,,,100.0,172.51
49,49,,,100.0,170.42
50,50,,,100.0,168.81
51,51,,,100.0,167.52
52,52,,,100.0,165.92
53,53,,,100.0,164.47
54,54,,,100.0,162.86
55,55,,,100.0,160.93
56,56,,,100.0,159.0
57,57,,,100.0,157.72
58,58,,,100.0,155.79
59,59,,,100.0,153.86
60,60,,,100.0,144.37
61,61,,,100.0,143.25
62,62,,,100.0,141.8
63,63,,,100.0,140.51
64,64,,,100.0,139.39
65,65,,,100.0,138.1
66,66,,,100.0,136.98
67,67,,,100.0,135.69
68,68,,,100.0,134.41
69,69,,,100.0,132.96
70,70,,,100.0,131.67
71,71,,,100.0,130.39
72,72,,,100.0,128.94
73,73,,,100.0,127.81
74,74,,,100.0,125.56
75,75,,,100.0,123.95
76,76,,,100.0,119.94
77,77,,,100.0,118.97
78,78,,,100.0,117.85
79,79,,,100.0,116.72
80,80,,,100.0,115.92
81,81,,,100.0,114.79
82,82,,,100.0,113.67
83,83,,,100.0,112.54
84,84,,,100.0,111.41
85,85,,,100.0,110.29
86,86,,,100.0,109.32
87,87,,,100.0,108.2
88,88,,,100.0,107.07
89,89,,,100.0,106.11
90,90,,,100.0,104.82
91,91,,,100.0,103.54
92,92,,,100.0,102.25
93,93,,,100.0,101.29
94,94,,,100.0,100.48
95,95,,,100.0,100.0
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
