projectname,proper_prec,huang_prec,proper_recall,huang_recall,proper_f1,huang_f1,f1_improvement
apache-jmeter-2.10,0.82,0.797,0.7,0.7659999999999999,0.75,0.7809999999999999,-0.030999999999999917
argouml,0.85,0.804,0.8,0.8540000000000001,0.83,0.828,0.0020000000000000018
columba-1.4-src,0.86,0.77,0.88,0.836,0.87,0.8009999999999999,0.06900000000000006
hibernate-distribution-3.3.2.GA,0.94,0.8320000000000001,0.71,0.748,0.81,0.7879999999999999,0.02200000000000013
jEdit-4.2,0.76,0.7020000000000001,0.25,0.41,0.38,0.518,-0.138
jfreechart-1.0.19,0.68,0.606,0.52,0.792,0.59,0.687,-0.09700000000000009
jruby-1.4.0,0.92,0.826,0.79,0.856,0.85,0.841,0.009000000000000008
sql12,0.89,0.708,0.52,0.602,0.66,0.6509999999999999,0.009000000000000119
apache-ant-1.7.0,0.7,0.0,0.35,0.0,0.47,0.0,0.47
emf-2.4.1,0.7,0.0,0.38,0.0,0.49,0.0,0.49
