projectname,proper_prec,huang_prec,proper_recall,huang_recall,proper_f1,huang_f1,f1_improvement
apache-jmeter-2.10,0.94,0.797,0.92,0.7659999999999999,0.93,0.7809999999999999,0.14900000000000013
argouml,0.98,0.804,0.93,0.8540000000000001,0.95,0.828,0.122
columba-1.4-src,0.76,0.77,0.88,0.836,0.82,0.8009999999999999,0.019000000000000017
hibernate-distribution-3.3.2.GA,0.98,0.8320000000000001,0.89,0.748,0.93,0.7879999999999999,0.14200000000000013
jEdit-4.2,0.94,0.7020000000000001,0.76,0.41,0.84,0.518,0.32199999999999995
jfreechart-1.0.19,0.99,0.606,0.94,0.792,0.97,0.687,0.2829999999999999
jruby-1.4.0,0.98,0.826,0.94,0.856,0.96,0.841,0.119
sql12,0.95,0.708,0.86,0.602,0.9,0.6509999999999999,0.2490000000000001
apache-ant-1.7.0,0.94,0.0,0.76,0.0,0.84,0.0,0.84
emf-2.4.1,0.96,0.0,0.73,0.0,0.83,0.0,0.83
