apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
0.0,0.0,0.0,0.0
0.24,0.76,10.0,1.0
0.49,1.53,20.0,2.0
0.73,1.53,30.0,2.0
0.98,1.53,40.0,2.0
1.22,2.29,50.0,3.0
1.46,2.29,60.0,3.0
1.71,2.29,70.0,3.0
1.95,3.05,80.0,4.0
2.17,3.82,89.0,5.0
2.42,7.63,99.0,10.0
2.66,12.21,109.0,16.0
2.9,19.08,119.0,25.0
3.15,24.43,129.0,32.0
3.39,28.24,139.0,37.0
3.64,29.77,149.0,39.0
3.88,29.77,159.0,39.0
4.12,29.77,169.0,39.0
4.37,29.77,179.0,39.0
4.61,32.82,189.0,43.0
4.86,34.35,199.0,45.0
5.1,35.88,209.0,47.0
5.34,36.64,219.0,48.0
5.59,38.93,229.0,51.0
5.83,41.22,239.0,54.0
6.08,41.22,249.0,54.0
6.32,42.75,259.0,56.0
6.56,44.27,269.0,58.0
6.81,45.8,279.0,60.0
7.05,45.8,289.0,60.0
7.3,45.8,299.0,60.0
7.54,46.56,309.0,61.0
7.78,47.33,319.0,62.0
8.03,49.62,329.0,65.0
8.27,50.38,339.0,66.0
8.52,50.38,349.0,66.0
8.76,51.15,359.0,67.0
9.0,51.15,369.0,67.0
9.25,51.91,379.0,68.0
9.49,51.91,389.0,68.0
9.74,51.91,399.0,68.0
9.98,53.44,409.0,70.0
10.22,55.73,419.0,73.0
10.47,56.49,429.0,74.0
10.71,56.49,439.0,74.0
10.96,56.49,449.0,74.0
11.2,56.49,459.0,74.0
11.44,57.25,469.0,75.0
11.69,58.02,479.0,76.0
11.93,58.02,489.0,76.0
12.18,58.02,499.0,76.0
12.42,58.78,509.0,77.0
12.66,59.54,519.0,78.0
12.91,60.31,529.0,79.0
13.15,61.07,539.0,80.0
13.4,62.6,549.0,82.0
13.64,63.36,559.0,83.0
13.88,63.36,569.0,83.0
14.13,63.36,579.0,83.0
14.37,63.36,589.0,83.0
14.62,63.36,599.0,83.0
14.86,63.36,609.0,83.0
15.1,64.12,619.0,84.0
15.35,64.12,629.0,84.0
15.59,64.89,639.0,85.0
15.84,65.65,649.0,86.0
16.08,66.41,659.0,87.0
16.33,66.41,669.0,87.0
16.57,66.41,679.0,87.0
16.81,67.94,689.0,89.0
17.06,68.7,699.0,90.0
17.3,68.7,709.0,90.0
17.55,69.47,719.0,91.0
17.79,70.23,729.0,92.0
18.03,70.23,739.0,92.0
18.28,70.99,749.0,93.0
18.52,70.99,759.0,93.0
18.77,72.52,769.0,95.0
19.01,73.28,779.0,96.0
19.25,74.05,789.0,97.0
19.5,74.05,799.0,97.0
19.74,74.81,809.0,98.0
19.99,74.81,819.0,98.0
20.23,76.34,829.0,100.0
20.47,76.34,839.0,100.0
20.72,76.34,849.0,100.0
20.96,77.1,859.0,101.0
21.21,77.86,869.0,102.0
21.45,77.86,879.0,102.0
21.69,77.86,889.0,102.0
21.94,77.86,899.0,102.0
22.18,77.86,909.0,102.0
22.43,77.86,919.0,102.0
22.67,77.86,929.0,102.0
22.91,77.86,939.0,102.0
23.16,78.63,949.0,103.0
23.4,78.63,959.0,103.0
23.65,78.63,969.0,103.0
23.89,78.63,979.0,103.0
24.13,78.63,989.0,103.0
24.38,78.63,999.0,103.0
24.62,78.63,1009.0,103.0
24.87,78.63,1019.0,103.0
25.11,78.63,1029.0,103.0
25.35,78.63,1039.0,103.0
25.6,78.63,1049.0,103.0
25.84,79.39,1059.0,104.0
26.09,80.15,1069.0,105.0
26.33,80.92,1079.0,106.0
26.57,80.92,1089.0,106.0
26.82,80.92,1099.0,106.0
27.06,81.68,1109.0,107.0
27.31,81.68,1119.0,107.0
27.55,83.21,1129.0,109.0
27.79,83.21,1139.0,109.0
28.04,83.21,1149.0,109.0
28.28,83.21,1159.0,109.0
28.53,83.21,1169.0,109.0
28.77,83.21,1179.0,109.0
29.01,83.97,1189.0,110.0
29.26,84.73,1199.0,111.0
29.5,86.26,1209.0,113.0
29.75,87.02,1219.0,114.0
29.99,87.02,1229.0,114.0
30.23,87.02,1239.0,114.0
30.48,87.79,1249.0,115.0
30.72,87.79,1259.0,115.0
30.97,87.79,1269.0,115.0
31.21,87.79,1279.0,115.0
31.45,87.79,1289.0,115.0
31.7,87.79,1299.0,115.0
31.94,88.55,1309.0,116.0
32.19,88.55,1319.0,116.0
32.43,88.55,1329.0,116.0
32.67,88.55,1339.0,116.0
32.92,88.55,1349.0,116.0
33.16,88.55,1359.0,116.0
33.41,88.55,1369.0,116.0
33.65,88.55,1379.0,116.0
33.89,88.55,1389.0,116.0
34.14,88.55,1399.0,116.0
34.38,88.55,1409.0,116.0
34.63,88.55,1419.0,116.0
34.87,88.55,1429.0,116.0
35.11,88.55,1439.0,116.0
35.36,88.55,1449.0,116.0
35.6,88.55,1459.0,116.0
35.85,88.55,1469.0,116.0
36.09,88.55,1479.0,116.0
36.33,89.31,1489.0,117.0
36.58,89.31,1499.0,117.0
36.82,89.31,1509.0,117.0
37.07,90.84,1519.0,119.0
37.31,90.84,1529.0,119.0
37.55,90.84,1539.0,119.0
37.8,90.84,1549.0,119.0
38.04,90.84,1559.0,119.0
38.29,90.84,1569.0,119.0
38.53,90.84,1579.0,119.0
38.78,90.84,1589.0,119.0
39.02,91.6,1599.0,120.0
39.26,91.6,1609.0,120.0
39.51,91.6,1619.0,120.0
39.75,91.6,1629.0,120.0
40.0,92.37,1639.0,121.0
40.24,92.37,1649.0,121.0
40.48,93.13,1659.0,122.0
40.73,93.13,1669.0,122.0
40.97,93.13,1679.0,122.0
41.22,93.13,1689.0,122.0
41.46,93.13,1699.0,122.0
41.7,93.13,1709.0,122.0
41.95,93.13,1719.0,122.0
42.19,93.13,1729.0,122.0
42.44,94.66,1739.0,124.0


apache-jmeter-2.10
prec_read,perc_found,total_read,total_found
0.0,0.0,0.0,0.0
0.12,0.0,10.0,0.0
0.25,0.0,20.0,0.0
0.37,0.27,30.0,1.0
0.5,0.27,40.0,1.0
0.62,0.27,50.0,1.0
0.74,0.53,60.0,2.0
0.86,0.8,69.0,3.0
0.98,1.07,79.0,4.0
1.1,1.07,89.0,4.0
1.23,1.07,99.0,4.0
1.34,1.07,108.0,4.0
1.46,1.07,118.0,4.0
1.59,1.34,128.0,5.0
1.71,2.67,138.0,10.0
1.84,4.81,148.0,18.0
1.96,6.68,158.0,25.0
2.09,8.82,168.0,33.0
2.21,11.5,178.0,43.0
2.33,14.17,188.0,53.0
2.46,15.51,198.0,58.0
2.58,17.91,208.0,67.0
2.71,18.98,218.0,71.0
