apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
0.24,1.53,10.0,2.0
0.49,4.58,20.0,6.0
0.73,8.4,30.0,11.0
0.98,12.98,40.0,17.0
1.22,16.03,50.0,21.0
1.46,22.14,60.0,29.0
1.71,25.95,70.0,34.0
1.95,29.77,80.0,39.0
2.2,34.35,90.0,45.0
2.44,38.17,100.0,50.0
2.68,42.75,110.0,56.0
2.93,45.8,120.0,60.0
3.17,48.09,130.0,63.0
3.42,48.85,140.0,64.0
3.66,49.62,150.0,65.0
3.9,49.62,160.0,65.0
4.15,49.62,170.0,65.0
4.39,49.62,180.0,65.0
4.64,49.62,190.0,65.0
4.88,49.62,200.0,65.0
5.12,49.62,210.0,65.0
5.37,49.62,220.0,65.0
5.61,49.62,230.0,65.0
5.86,49.62,240.0,65.0
6.1,49.62,250.0,65.0
6.34,49.62,260.0,65.0
6.59,49.62,270.0,65.0
6.83,49.62,280.0,65.0
7.08,49.62,290.0,65.0
7.32,49.62,300.0,65.0
7.56,49.62,310.0,65.0
7.81,49.62,320.0,65.0
8.05,49.62,330.0,65.0
8.3,49.62,340.0,65.0
8.54,49.62,350.0,65.0
8.78,49.62,360.0,65.0
9.03,49.62,370.0,65.0
9.27,49.62,380.0,65.0
9.52,49.62,390.0,65.0
9.76,49.62,400.0,65.0
10.0,50.38,410.0,66.0
10.25,50.38,420.0,66.0
10.49,51.15,430.0,67.0
10.74,51.15,440.0,67.0
10.98,51.91,450.0,68.0
11.22,51.91,460.0,68.0
11.47,51.91,470.0,68.0
11.71,51.91,480.0,68.0
11.96,51.91,490.0,68.0
12.2,51.91,500.0,68.0
12.45,52.67,510.0,69.0
12.69,52.67,520.0,69.0
12.93,52.67,530.0,69.0
13.18,52.67,540.0,69.0
13.42,52.67,550.0,69.0
13.67,52.67,560.0,69.0
13.91,52.67,570.0,69.0
14.15,52.67,580.0,69.0
14.4,52.67,590.0,69.0
14.64,52.67,600.0,69.0
14.89,52.67,610.0,69.0
15.13,52.67,620.0,69.0
15.37,52.67,630.0,69.0
15.62,52.67,640.0,69.0
15.86,52.67,650.0,69.0
16.11,52.67,660.0,69.0
16.35,52.67,670.0,69.0
16.59,52.67,680.0,69.0
16.84,52.67,690.0,69.0
17.08,52.67,700.0,69.0
17.33,52.67,710.0,69.0
17.57,52.67,720.0,69.0
17.81,52.67,730.0,69.0
18.06,52.67,740.0,69.0
18.3,52.67,750.0,69.0
18.55,52.67,760.0,69.0
18.79,52.67,770.0,69.0
19.03,52.67,780.0,69.0
19.28,52.67,790.0,69.0
19.52,52.67,800.0,69.0
19.77,52.67,810.0,69.0
20.01,52.67,820.0,69.0
20.25,52.67,830.0,69.0
20.5,52.67,840.0,69.0
20.74,52.67,850.0,69.0
20.99,52.67,860.0,69.0
21.23,52.67,870.0,69.0
21.47,52.67,880.0,69.0
21.72,52.67,890.0,69.0
21.96,52.67,900.0,69.0
22.21,52.67,910.0,69.0
22.45,52.67,920.0,69.0
22.69,52.67,930.0,69.0
22.94,52.67,940.0,69.0
23.18,52.67,950.0,69.0
23.43,52.67,960.0,69.0
23.67,52.67,970.0,69.0
23.91,52.67,980.0,69.0
24.16,52.67,990.0,69.0
24.4,53.44,1000.0,70.0
24.65,53.44,1010.0,70.0
24.89,53.44,1020.0,70.0
25.13,53.44,1030.0,70.0
25.38,54.2,1040.0,71.0
25.62,54.2,1050.0,71.0
25.87,54.96,1060.0,72.0
26.11,54.96,1070.0,72.0
26.35,54.96,1080.0,72.0
26.6,55.73,1090.0,73.0
26.84,56.49,1100.0,74.0
27.09,56.49,1110.0,74.0
27.33,56.49,1120.0,74.0
27.57,57.25,1130.0,75.0
27.82,57.25,1140.0,75.0
28.06,58.02,1150.0,76.0
28.31,58.02,1160.0,76.0
28.55,58.02,1170.0,76.0
28.79,58.02,1180.0,76.0
29.04,58.02,1190.0,76.0
29.28,58.02,1200.0,76.0
29.53,58.02,1210.0,76.0
29.77,58.02,1220.0,76.0
30.01,58.78,1230.0,77.0
30.26,58.78,1240.0,77.0
30.5,58.78,1250.0,77.0
30.75,58.78,1260.0,77.0
30.99,58.78,1270.0,77.0
31.23,58.78,1280.0,77.0
31.48,58.78,1290.0,77.0
31.72,58.78,1300.0,77.0
31.97,58.78,1310.0,77.0
32.21,58.78,1320.0,77.0
32.45,58.78,1330.0,77.0
32.7,58.78,1340.0,77.0
32.94,59.54,1350.0,78.0
33.19,59.54,1360.0,78.0
33.43,59.54,1370.0,78.0
33.67,59.54,1380.0,78.0
33.92,59.54,1390.0,78.0
34.16,60.31,1400.0,79.0
34.41,61.07,1410.0,80.0
34.65,61.07,1420.0,80.0
34.9,61.07,1430.0,80.0
35.14,61.07,1440.0,80.0
35.38,61.07,1450.0,80.0
35.63,61.07,1460.0,80.0
35.87,61.07,1470.0,80.0
36.12,61.83,1480.0,81.0
36.36,61.83,1490.0,81.0
36.6,61.83,1500.0,81.0
36.85,62.6,1510.0,82.0
37.09,62.6,1520.0,82.0
37.34,62.6,1530.0,82.0
37.58,62.6,1540.0,82.0
37.82,62.6,1550.0,82.0
38.07,62.6,1560.0,82.0
38.31,62.6,1570.0,82.0
38.56,63.36,1580.0,83.0
38.8,63.36,1590.0,83.0
39.04,64.12,1600.0,84.0
39.29,64.12,1610.0,84.0
39.53,65.65,1620.0,86.0
39.78,65.65,1630.0,86.0
40.02,65.65,1640.0,86.0
40.26,65.65,1650.0,86.0
40.51,65.65,1660.0,86.0
40.75,65.65,1670.0,86.0
41.0,65.65,1680.0,86.0
41.24,65.65,1690.0,86.0
41.48,66.41,1700.0,87.0
41.73,66.41,1710.0,87.0
41.97,66.41,1720.0,87.0
42.22,66.41,1730.0,87.0
42.46,66.41,1740.0,87.0
42.7,66.41,1750.0,87.0
42.95,66.41,1760.0,87.0
43.19,66.41,1770.0,87.0
43.44,66.41,1780.0,87.0
43.68,66.41,1790.0,87.0
43.92,67.18,1800.0,88.0
44.17,67.18,1810.0,88.0
44.41,67.18,1820.0,88.0
44.66,67.18,1830.0,88.0
44.9,67.94,1840.0,89.0
45.14,67.94,1850.0,89.0
45.39,67.94,1860.0,89.0
45.63,67.94,1870.0,89.0
45.88,68.7,1880.0,90.0
46.12,68.7,1890.0,90.0
46.36,68.7,1900.0,90.0
46.61,68.7,1910.0,90.0
46.85,68.7,1920.0,90.0
47.1,68.7,1930.0,90.0
47.34,68.7,1940.0,90.0
47.58,68.7,1950.0,90.0
47.83,68.7,1960.0,90.0
48.07,68.7,1970.0,90.0
48.32,68.7,1980.0,90.0
48.56,69.47,1990.0,91.0
48.8,69.47,2000.0,91.0
49.05,70.23,2010.0,92.0
49.29,70.23,2020.0,92.0
49.54,70.23,2030.0,92.0
49.78,70.99,2040.0,93.0
50.02,70.99,2050.0,93.0
50.27,70.99,2060.0,93.0
50.51,70.99,2070.0,93.0
50.76,70.99,2080.0,93.0
51.0,70.99,2090.0,93.0
51.24,70.99,2100.0,93.0
