apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
0.24,5.34,10.0,7.0
0.49,11.45,20.0,15.0
0.73,16.79,30.0,22.0
0.98,19.85,40.0,26.0
1.22,24.43,50.0,32.0
1.46,29.77,60.0,39.0
1.71,34.35,70.0,45.0
1.95,37.4,80.0,49.0
2.2,39.69,90.0,52.0
2.44,40.46,100.0,53.0
2.68,43.51,110.0,57.0
2.93,46.56,120.0,61.0
3.17,48.85,130.0,64.0
3.42,49.62,140.0,65.0
3.66,49.62,150.0,65.0
3.9,51.15,160.0,67.0
4.15,52.67,170.0,69.0
4.39,54.96,180.0,72.0
4.64,56.49,190.0,74.0
4.88,58.02,200.0,76.0
5.12,58.02,210.0,76.0
5.37,58.78,220.0,77.0
5.61,61.07,230.0,80.0
5.86,63.36,240.0,83.0
6.1,64.12,250.0,84.0
6.34,64.12,260.0,84.0
6.59,65.65,270.0,86.0
6.83,65.65,280.0,86.0
7.08,66.41,290.0,87.0
7.32,67.18,300.0,88.0
7.56,67.94,310.0,89.0
7.81,69.47,320.0,91.0
8.05,70.23,330.0,92.0
8.3,70.99,340.0,93.0
8.54,70.99,350.0,93.0
8.78,70.99,360.0,93.0
9.03,71.76,370.0,94.0
9.27,71.76,380.0,94.0
9.52,71.76,390.0,94.0
9.76,71.76,400.0,94.0
10.0,71.76,410.0,94.0
10.25,71.76,420.0,94.0
10.49,72.52,430.0,95.0
10.74,72.52,440.0,95.0
10.98,72.52,450.0,95.0
11.22,72.52,460.0,95.0
11.47,73.28,470.0,96.0
11.71,73.28,480.0,96.0
11.96,73.28,490.0,96.0
12.2,76.34,500.0,100.0
12.45,76.34,510.0,100.0
12.69,77.1,520.0,101.0
12.93,77.1,530.0,101.0
13.18,77.1,540.0,101.0
13.42,77.1,550.0,101.0
13.67,77.1,560.0,101.0
13.91,77.1,570.0,101.0
14.15,77.1,580.0,101.0
14.4,77.1,590.0,101.0
14.64,77.86,600.0,102.0
14.89,77.86,610.0,102.0
15.13,77.86,620.0,102.0
15.37,78.63,630.0,103.0
15.62,78.63,640.0,103.0
15.86,78.63,650.0,103.0
16.11,78.63,660.0,103.0
16.35,78.63,670.0,103.0
16.59,78.63,680.0,103.0
16.84,78.63,690.0,103.0
17.08,79.39,700.0,104.0
17.33,79.39,710.0,104.0
17.57,80.15,720.0,105.0
17.81,80.15,730.0,105.0
18.06,80.15,740.0,105.0
18.3,80.15,750.0,105.0
18.55,80.15,760.0,105.0
18.79,80.15,770.0,105.0
19.03,80.15,780.0,105.0
19.28,80.15,790.0,105.0
19.52,80.15,800.0,105.0
19.77,80.15,810.0,105.0
20.01,80.15,820.0,105.0
20.25,80.15,830.0,105.0
20.5,80.15,840.0,105.0
20.74,80.15,850.0,105.0
20.99,80.15,860.0,105.0
21.23,80.15,870.0,105.0
21.47,80.15,880.0,105.0
21.72,80.15,890.0,105.0
21.96,80.92,900.0,106.0
22.21,82.44,910.0,108.0
22.45,82.44,920.0,108.0
22.69,82.44,930.0,108.0
22.94,83.21,940.0,109.0
23.18,83.21,950.0,109.0
23.43,83.21,960.0,109.0
23.67,83.97,970.0,110.0
23.91,83.97,980.0,110.0
24.16,83.97,990.0,110.0
24.4,83.97,1000.0,110.0
24.65,83.97,1010.0,110.0
24.89,83.97,1020.0,110.0
25.13,83.97,1030.0,110.0
25.38,83.97,1040.0,110.0
25.62,83.97,1050.0,110.0
25.87,83.97,1060.0,110.0
26.11,83.97,1070.0,110.0
26.35,84.73,1080.0,111.0
26.6,84.73,1090.0,111.0
26.84,84.73,1100.0,111.0
27.09,85.5,1110.0,112.0
27.33,85.5,1120.0,112.0
27.57,85.5,1130.0,112.0
27.82,86.26,1140.0,113.0
28.06,86.26,1150.0,113.0
28.31,86.26,1160.0,113.0
28.55,86.26,1170.0,113.0
28.79,86.26,1180.0,113.0
29.04,86.26,1190.0,113.0
29.28,86.26,1200.0,113.0
29.53,86.26,1210.0,113.0
29.77,86.26,1220.0,113.0
30.01,86.26,1230.0,113.0
30.26,86.26,1240.0,113.0
30.5,86.26,1250.0,113.0
30.75,86.26,1260.0,113.0
30.99,86.26,1270.0,113.0
31.23,86.26,1280.0,113.0
31.48,87.02,1290.0,114.0
31.72,87.02,1300.0,114.0
31.97,87.02,1310.0,114.0
32.21,87.02,1320.0,114.0
32.45,87.02,1330.0,114.0
32.7,87.02,1340.0,114.0
32.94,87.02,1350.0,114.0
33.19,87.02,1360.0,114.0
33.43,87.79,1370.0,115.0
33.67,87.79,1380.0,115.0
33.92,87.79,1390.0,115.0
34.16,87.79,1400.0,115.0
34.41,87.79,1410.0,115.0
34.65,87.79,1420.0,115.0
34.9,87.79,1430.0,115.0
35.14,87.79,1440.0,115.0
35.38,87.79,1450.0,115.0
35.63,87.79,1460.0,115.0
35.87,87.79,1470.0,115.0
36.12,87.79,1480.0,115.0
36.36,87.79,1490.0,115.0
36.6,87.79,1500.0,115.0
36.85,87.79,1510.0,115.0
37.09,87.79,1520.0,115.0
37.34,87.79,1530.0,115.0
37.58,87.79,1540.0,115.0
37.82,87.79,1550.0,115.0
38.07,87.79,1560.0,115.0
38.31,87.79,1570.0,115.0
38.56,87.79,1580.0,115.0
38.8,87.79,1590.0,115.0
39.04,87.79,1600.0,115.0
39.29,87.79,1610.0,115.0
39.53,87.79,1620.0,115.0
39.78,87.79,1630.0,115.0
40.02,87.79,1640.0,115.0
40.26,87.79,1650.0,115.0
