,perc_read,FASTREAD,NBM,SVM,DT
0,0,0.0,30.77,34.62,23.08
1,1,0.0,36.54,57.69,55.77
2,2,0.0,36.54,65.38,59.62
3,3,1.92,36.54,65.38,59.62
4,4,7.69,36.54,65.38,59.62
5,5,7.69,38.46,67.31,59.62
6,6,9.62,38.46,71.15,59.62
7,7,30.77,38.46,71.15,59.62
8,8,42.31,38.46,73.08,59.62
9,9,57.69,40.38,75.0,59.62
10,10,61.54,40.38,76.92,59.62
11,11,61.54,40.38,82.69,59.62
12,12,63.46,40.38,84.62,59.62
13,13,65.38,40.38,86.54,59.62
14,14,67.31,40.38,86.54,59.62
15,15,69.23,44.23,88.46,61.54
16,16,69.23,44.23,92.31,63.46
17,17,71.15,44.23,92.31,63.46
18,18,71.15,46.15,92.31,63.46
19,19,71.15,48.08,92.31,65.38
20,20,71.15,50.0,92.31,65.38
21,21,71.15,51.92,92.31,67.31
22,22,75.0,53.85,94.23,67.31
23,23,75.0,55.77,94.23,69.23
24,24,76.92,55.77,94.23,69.23
25,25,76.92,55.77,94.23,69.23
26,26,76.92,55.77,94.23,69.23
27,27,78.85,55.77,94.23,69.23
28,28,78.85,57.69,94.23,71.15
29,29,82.69,59.62,94.23,71.15
30,30,82.69,59.62,94.23,71.15
31,31,88.46,59.62,94.23,71.15
32,32,92.31,61.54,94.23,71.15
33,33,92.31,65.38,94.23,71.15
34,34,92.31,67.31,94.23,75.0
35,35,92.31,67.31,94.23,75.0
36,36,94.23,67.31,94.23,75.0
37,37,,67.31,94.23,75.0
38,38,,67.31,94.23,75.0
39,39,,67.31,94.23,75.0
40,40,,67.31,94.23,75.0
41,41,,67.31,94.23,75.0
42,42,,67.31,94.23,75.0
43,43,,69.23,94.23,76.92
44,44,,71.15,94.23,78.85
45,45,,73.08,94.23,80.77
46,46,,73.08,94.23,80.77
47,47,,73.08,94.23,80.77
48,48,,73.08,94.23,80.77
49,49,,73.08,94.23,80.77
50,50,,73.08,94.23,80.77
51,51,,73.08,94.23,80.77
52,52,,73.08,94.23,80.77
53,53,,73.08,94.23,80.77
54,54,,73.08,94.23,80.77
55,55,,73.08,94.23,80.77
56,56,,73.08,94.23,80.77
57,57,,73.08,94.23,80.77
58,58,,73.08,94.23,80.77
59,59,,73.08,94.23,80.77
60,60,,73.08,94.23,80.77
61,61,,73.08,94.23,80.77
62,62,,73.08,96.15,80.77
63,63,,73.08,,80.77
64,64,,73.08,,80.77
65,65,,75.0,,80.77
66,66,,75.0,,80.77
67,67,,75.0,,80.77
68,68,,75.0,,80.77
69,69,,78.85,,84.62
70,70,,78.85,,84.62
71,71,,80.77,,84.62
72,72,,82.69,,84.62
73,73,,82.69,,84.62
74,74,,82.69,,86.54
75,75,,82.69,,86.54
76,76,,84.62,,86.54
77,77,,90.38,,90.38
78,78,,90.38,,92.31
79,79,,90.38,,92.31
80,80,,90.38,,92.31
81,81,,90.38,,92.31
82,82,,90.38,,92.31
83,83,,90.38,,92.31
84,84,,90.38,,92.31
85,85,,90.38,,92.31
86,86,,90.38,,92.31
87,87,,90.38,,92.31
88,88,,92.31,,92.31
89,89,,92.31,,92.31
90,90,,92.31,,92.31
91,91,,96.15,,94.23
92,92,,,,94.23
93,93,,,,94.23
94,94,,,,94.23
95,95,,,,94.23
96,96,,,,96.15
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
