,perc_read,FASTREAD,NBM,SVM,DT
0,0,2.34,10.16,21.09,12.5
1,1,2.34,14.84,47.66,32.81
2,2,3.12,15.62,58.59,49.22
3,3,12.5,16.41,65.62,49.22
4,4,31.25,16.41,71.88,49.22
5,5,42.19,17.19,73.44,49.22
6,6,58.59,17.19,77.34,50.0
7,7,65.62,17.97,81.25,50.0
8,8,67.97,17.97,81.25,50.0
9,9,69.53,19.53,82.03,50.0
10,10,73.44,19.53,83.59,51.56
11,11,74.22,21.88,85.94,51.56
12,12,78.12,22.66,85.94,53.12
13,13,78.12,25.78,86.72,53.91
14,14,80.47,25.78,87.5,54.69
15,15,85.16,26.56,88.28,56.25
16,16,85.16,28.91,88.28,56.25
17,17,85.94,29.69,89.06,57.03
18,18,86.72,30.47,89.84,57.03
19,19,90.62,32.81,89.84,57.81
20,20,92.97,33.59,90.62,58.59
21,21,,34.38,90.62,58.59
22,22,,34.38,90.62,59.38
23,23,,34.38,90.62,59.38
24,24,,34.38,90.62,59.38
25,25,,35.16,90.62,60.16
26,26,,35.94,90.62,61.72
27,27,,37.5,90.62,61.72
28,28,,37.5,90.62,61.72
29,29,,39.84,90.62,62.5
30,30,,39.84,90.62,63.28
31,31,,39.84,90.62,63.28
32,32,,41.41,90.62,63.28
33,33,,42.97,90.62,64.84
34,34,,42.97,90.62,65.62
35,35,,45.31,90.62,65.62
36,36,,46.88,91.41,66.41
37,37,,47.66,91.41,67.97
38,38,,48.44,91.41,67.97
39,39,,48.44,91.41,67.97
40,40,,48.44,91.41,67.97
41,41,,49.22,91.41,67.97
42,42,,50.0,91.41,67.97
43,43,,50.78,92.19,69.53
44,44,,50.78,92.19,69.53
45,45,,51.56,92.19,69.53
46,46,,51.56,92.19,70.31
47,47,,52.34,92.19,70.31
48,48,,52.34,92.19,70.31
49,49,,53.12,92.19,70.31
50,50,,53.91,92.19,71.09
51,51,,54.69,92.19,71.88
52,52,,54.69,92.19,71.88
53,53,,54.69,92.19,71.88
54,54,,54.69,92.19,71.88
55,55,,54.69,92.19,71.88
56,56,,55.47,92.19,71.88
57,57,,57.03,92.19,72.66
58,58,,58.59,92.19,73.44
59,59,,59.38,92.19,74.22
60,60,,60.16,92.19,74.22
61,61,,60.94,93.75,75.78
62,62,,60.94,93.75,75.78
63,63,,61.72,94.53,76.56
64,64,,63.28,94.53,76.56
65,65,,64.06,94.53,77.34
66,66,,64.06,94.53,78.12
67,67,,64.06,95.31,78.12
68,68,,64.06,,78.12
69,69,,64.06,,78.12
70,70,,64.84,,78.91
71,71,,66.41,,78.91
72,72,,67.19,,81.25
73,73,,70.31,,82.03
74,74,,72.66,,83.59
75,75,,73.44,,83.59
76,76,,74.22,,83.59
77,77,,75.0,,84.38
78,78,,77.34,,85.16
79,79,,79.69,,85.16
80,80,,81.25,,88.28
81,81,,81.25,,88.28
82,82,,83.59,,89.84
83,83,,83.59,,90.62
84,84,,85.94,,91.41
85,85,,86.72,,91.41
86,86,,87.5,,92.19
87,87,,87.5,,92.19
88,88,,89.84,,93.75
89,89,,90.62,,93.75
90,90,,91.41,,93.75
91,91,,92.19,,95.31
92,92,,92.19,,
93,93,,93.75,,
94,94,,94.53,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
