,perc_read,FASTREAD,NBM,SVM,DT
0,0,0.95,19.05,19.05,17.14
1,1,1.9,38.1,27.62,36.19
2,2,4.76,51.43,44.76,54.29
3,3,17.14,63.81,60.95,72.38
4,4,40.95,63.81,76.19,88.57
5,5,50.48,64.76,81.9,89.52
6,6,50.48,64.76,83.81,89.52
7,7,53.33,64.76,84.76,90.48
8,8,55.24,64.76,85.71,90.48
9,9,60.0,64.76,86.67,90.48
10,10,62.86,64.76,86.67,90.48
11,11,63.81,64.76,86.67,90.48
12,12,65.71,65.71,86.67,90.48
13,13,65.71,66.67,86.67,90.48
14,14,65.71,67.62,89.52,90.48
15,15,65.71,67.62,89.52,90.48
16,16,68.57,67.62,89.52,90.48
17,17,69.52,67.62,89.52,90.48
18,18,69.52,67.62,89.52,90.48
19,19,69.52,67.62,89.52,90.48
20,20,70.48,69.52,89.52,90.48
21,21,72.38,70.48,89.52,91.43
22,22,72.38,70.48,89.52,91.43
23,23,72.38,70.48,89.52,91.43
24,24,72.38,70.48,89.52,91.43
25,25,73.33,71.43,89.52,92.38
26,26,73.33,72.38,89.52,92.38
27,27,73.33,72.38,89.52,93.33
28,28,74.29,74.29,89.52,93.33
29,29,75.24,74.29,89.52,93.33
30,30,75.24,75.24,89.52,93.33
31,31,75.24,75.24,89.52,94.29
32,32,75.24,75.24,89.52,94.29
33,33,75.24,75.24,89.52,94.29
34,34,75.24,75.24,89.52,94.29
35,35,75.24,75.24,89.52,94.29
36,36,75.24,76.19,90.48,94.29
37,37,75.24,77.14,90.48,94.29
38,38,75.24,77.14,90.48,
39,39,75.24,78.1,92.38,
40,40,75.24,79.05,92.38,
41,41,75.24,79.05,92.38,
42,42,75.24,79.05,93.33,
43,43,76.19,79.05,94.29,
44,44,76.19,80.95,,
45,45,76.19,80.95,,
46,46,76.19,80.95,,
47,47,76.19,80.95,,
48,48,76.19,80.95,,
49,49,76.19,81.9,,
50,50,76.19,81.9,,
51,51,76.19,81.9,,
52,52,76.19,83.81,,
53,53,76.19,83.81,,
54,54,76.19,84.76,,
55,55,76.19,84.76,,
56,56,76.19,85.71,,
57,57,76.19,85.71,,
58,58,76.19,85.71,,
59,59,76.19,87.62,,
60,60,76.19,87.62,,
61,61,76.19,87.62,,
62,62,76.19,87.62,,
63,63,76.19,87.62,,
64,64,76.19,87.62,,
65,65,76.19,88.57,,
66,66,76.19,89.52,,
67,67,76.19,89.52,,
68,68,76.19,89.52,,
69,69,76.19,89.52,,
70,70,76.19,89.52,,
71,71,77.14,89.52,,
72,72,96.19,90.48,,
73,73,,91.43,,
74,74,,92.38,,
75,75,,93.33,,
76,76,,93.33,,
77,77,,93.33,,
78,78,,94.29,,
79,79,,95.24,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
