apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
1.0,13.85,20.0,9.0
2.0,13.85,40.0,9.0
3.0,13.85,60.0,9.0
4.0,13.85,80.0,9.0
5.0,13.85,100.0,9.0
6.0,15.38,120.0,10.0
7.0,15.38,140.0,10.0
8.0,18.46,160.0,12.0
9.0,18.46,180.0,12.0
10.0,18.46,200.0,12.0
11.0,21.54,220.0,14.0
12.0,21.54,240.0,14.0
13.0,23.08,260.0,15.0
14.0,26.15,280.0,17.0
15.0,26.15,300.0,17.0
16.0,26.15,320.0,17.0
17.0,26.15,340.0,17.0
18.0,27.69,360.0,18.0
19.0,29.23,380.0,19.0
20.0,30.77,400.0,20.0
21.0,32.31,430.0,21.0
22.0,35.38,450.0,23.0
23.0,35.38,470.0,23.0
24.0,35.38,490.0,23.0
25.0,35.38,510.0,23.0
26.0,35.38,530.0,23.0
27.0,36.92,550.0,24.0
28.0,40.0,570.0,26.0
29.0,41.54,590.0,27.0
30.0,43.08,610.0,28.0
31.0,44.62,630.0,29.0
32.0,46.15,650.0,30.0
33.0,47.69,670.0,31.0
34.0,47.69,690.0,31.0
35.0,49.23,710.0,32.0
36.0,49.23,730.0,32.0
37.0,49.23,750.0,32.0
38.0,49.23,770.0,32.0
39.0,49.23,790.0,32.0
40.0,49.23,810.0,32.0
41.0,49.23,830.0,32.0
42.0,50.77,860.0,33.0
43.0,50.77,880.0,33.0
44.0,58.46,900.0,38.0
45.0,58.46,920.0,38.0
46.0,58.46,940.0,38.0
47.0,58.46,960.0,38.0
48.0,58.46,980.0,38.0
49.0,60.0,1000.0,39.0
50.0,60.0,1020.0,39.0
51.0,60.0,1040.0,39.0
52.0,60.0,1060.0,39.0
53.0,60.0,1080.0,39.0
54.0,61.54,1100.0,40.0
55.0,61.54,1120.0,40.0
56.0,64.62,1140.0,42.0
57.0,64.62,1160.0,42.0
58.0,66.15,1180.0,43.0
59.0,66.15,1200.0,43.0
60.0,67.69,1220.0,44.0
61.0,69.23,1240.0,45.0
62.0,72.31,1270.0,47.0
63.0,72.31,1290.0,47.0
64.0,73.85,1310.0,48.0
65.0,73.85,1330.0,48.0
66.0,76.92,1350.0,50.0
67.0,80.0,1370.0,52.0
68.0,81.54,1390.0,53.0
69.0,81.54,1410.0,53.0
70.0,81.54,1430.0,53.0
71.0,84.62,1450.0,55.0
72.0,86.15,1470.0,56.0
73.0,86.15,1490.0,56.0
74.0,86.15,1510.0,56.0
75.0,86.15,1530.0,56.0
76.0,86.15,1550.0,56.0
77.0,87.69,1570.0,57.0
78.0,89.23,1590.0,58.0
79.0,89.23,1610.0,58.0
80.0,90.77,1630.0,59.0
81.0,90.77,1650.0,59.0
82.0,92.31,1670.0,60.0
83.0,92.31,1700.0,60.0
84.0,93.85,1720.0,61.0


apache-jmeter-2.10
prec_read,perc_found,total_read,total_found
1.0,12.3,30.0,23.0
2.0,25.13,70.0,47.0
3.0,34.76,110.0,65.0
4.0,34.76,150.0,65.0
5.0,35.83,190.0,67.0
6.0,37.43,230.0,70.0
7.0,39.04,270.0,73.0
8.0,39.04,310.0,73.0
9.0,39.04,350.0,73.0
10.0,39.57,390.0,74.0
11.0,40.64,430.0,76.0
12.0,40.64,470.0,76.0
13.0,40.64,510.0,76.0
14.0,41.18,550.0,77.0
15.0,43.32,590.0,81.0
16.0,43.85,630.0,82.0
17.0,44.92,670.0,84.0
18.0,45.99,710.0,86.0
19.0,47.59,750.0,89.0
20.0,48.13,790.0,90.0
21.0,49.2,830.0,92.0
22.0,50.27,870.0,94.0
23.0,50.8,910.0,95.0
24.0,51.87,950.0,97.0
25.0,51.87,990.0,97.0
26.0,54.01,1030.0,101.0
27.0,54.55,1070.0,102.0
28.0,55.08,1110.0,103.0
29.0,55.61,1150.0,104.0
30.0,56.68,1190.0,106.0
31.0,56.68,1230.0,106.0
32.0,57.22,1270.0,107.0
33.0,57.22,1310.0,107.0
34.0,57.75,1350.0,108.0
35.0,58.82,1390.0,110.0
36.0,60.43,1430.0,113.0
37.0,61.5,1480.0,115.0
38.0,61.5,1520.0,115.0
39.0,62.03,1560.0,116.0
40.0,62.03,1600.0,116.0
41.0,63.1,1640.0,118.0
42.0,64.17,1680.0,120.0
43.0,64.17,1720.0,120.0
44.0,65.24,1760.0,122.0
45.0,65.24,1800.0,122.0
46.0,67.38,1840.0,126.0
47.0,67.91,1880.0,127.0
48.0,67.91,1920.0,127.0
49.0,68.45,1960.0,128.0
50.0,68.98,2000.0,129.0
51.0,68.98,2040.0,129.0
52.0,69.52,2080.0,130.0
53.0,69.52,2120.0,130.0
54.0,70.05,2160.0,131.0
55.0,70.59,2200.0,132.0
56.0,71.12,2240.0,133.0
57.0,71.12,2280.0,133.0
58.0,73.26,2320.0,137.0
59.0,73.26,2360.0,137.0
60.0,74.33,2400.0,139.0
61.0,75.4,2440.0,141.0
62.0,76.47,2480.0,143.0
63.0,77.01,2520.0,144.0
64.0,77.54,2560.0,145.0
65.0,78.07,2600.0,146.0
66.0,79.14,2640.0,148.0
67.0,79.14,2680.0,148.0
68.0,80.21,2720.0,150.0
69.0,80.21,2760.0,150.0
70.0,80.75,2800.0,151.0
71.0,81.28,2840.0,152.0
72.0,82.35,2890.0,154.0
73.0,82.89,2930.0,155.0
74.0,84.49,2970.0,158.0
75.0,84.49,3010.0,158.0
76.0,84.49,3050.0,158.0
77.0,84.49,3090.0,158.0
78.0,86.1,3130.0,161.0
79.0,86.1,3170.0,161.0
80.0,86.1,3210.0,161.0
81.0,87.17,3250.0,163.0
82.0,87.17,3290.0,163.0
83.0,88.24,3330.0,165.0
84.0,88.24,3370.0,165.0
85.0,90.37,3410.0,169.0
86.0,91.44,3450.0,171.0
87.0,91.98,3490.0,172.0
88.0,93.05,3530.0,174.0
89.0,95.19,3570.0,178.0


argouml
prec_read,perc_found,total_read,total_found
1.0,3.97,30.0,28.0
2.0,10.34,80.0,73.0
3.0,15.72,120.0,111.0
4.0,20.68,170.0,146.0
5.0,24.79,220.0,175.0
6.0,28.47,260.0,201.0
7.0,32.86,310.0,232.0
8.0,36.4,360.0,257.0
9.0,36.83,410.0,260.0
10.0,37.25,450.0,263.0
11.0,37.82,500.0,267.0
12.0,38.67,550.0,273.0
13.0,39.24,600.0,277.0
14.0,39.8,640.0,281.0
15.0,41.08,690.0,290.0
16.0,42.21,740.0,298.0
17.0,42.78,780.0,302.0
18.0,43.06,830.0,304.0
19.0,43.34,880.0,306.0
20.0,44.19,930.0,312.0
21.0,44.76,970.0,316.0
22.0,45.04,1020.0,318.0
23.0,45.33,1070.0,320.0
24.0,45.89,1120.0,324.0
25.0,46.6,1160.0,329.0
26.0,47.59,1210.0,336.0
27.0,48.16,1260.0,340.0
28.0,49.01,1300.0,346.0
29.0,49.86,1350.0,352.0
30.0,50.71,1400.0,358.0
31.0,51.27,1450.0,362.0
32.0,51.7,1490.0,365.0
33.0,52.83,1540.0,373.0
34.0,54.11,1590.0,382.0
35.0,54.67,1640.0,386.0
36.0,54.82,1680.0,387.0
37.0,55.95,1730.0,395.0
38.0,56.66,1780.0,400.0
39.0,57.08,1820.0,403.0
40.0,58.07,1870.0,410.0
41.0,58.36,1920.0,412.0
42.0,59.07,1970.0,417.0
43.0,59.21,2010.0,418.0
44.0,59.92,2060.0,423.0
45.0,60.34,2110.0,426.0
46.0,60.76,2160.0,429.0
47.0,61.9,2200.0,437.0
48.0,62.75,2250.0,443.0
49.0,63.31,2300.0,447.0
50.0,64.16,2340.0,453.0
51.0,64.16,2390.0,453.0
52.0,65.3,2440.0,461.0
53.0,65.58,2490.0,463.0
54.0,66.29,2530.0,468.0
55.0,66.86,2580.0,472.0
56.0,67.42,2630.0,476.0
57.0,68.13,2680.0,481.0
58.0,68.41,2720.0,483.0
59.0,69.41,2770.0,490.0
60.0,70.82,2820.0,500.0
61.0,71.25,2860.0,503.0
62.0,72.38,2910.0,511.0
63.0,72.95,2960.0,515.0
64.0,73.94,3010.0,522.0
65.0,74.65,3050.0,527.0
66.0,75.21,3100.0,531.0
67.0,75.78,3150.0,535.0
68.0,76.77,3200.0,542.0
69.0,77.05,3240.0,544.0
70.0,77.62,3290.0,548.0
71.0,78.75,3340.0,556.0
72.0,79.6,3380.0,562.0
73.0,80.45,3430.0,568.0
74.0,80.74,3480.0,570.0
75.0,81.73,3530.0,577.0
76.0,82.29,3570.0,581.0
77.0,83.29,3620.0,588.0
78.0,84.28,3670.0,595.0
79.0,84.56,3710.0,597.0
80.0,85.55,3760.0,604.0
81.0,85.98,3810.0,607.0
82.0,86.54,3860.0,611.0
83.0,86.97,3900.0,614.0
84.0,87.96,3950.0,621.0
85.0,89.09,4000.0,629.0
86.0,89.8,4050.0,634.0
87.0,91.08,4090.0,643.0
88.0,91.64,4140.0,647.0
89.0,92.21,4190.0,651.0
90.0,92.49,4230.0,653.0
91.0,93.63,4280.0,661.0
92.0,94.48,4330.0,667.0


columba-1.4-src
prec_read,perc_found,total_read,total_found
1.0,17.65,20.0,18.0
2.0,37.25,50.0,38.0
3.0,44.12,90.0,45.0
4.0,44.12,120.0,45.0
5.0,44.12,150.0,45.0
6.0,45.1,180.0,46.0
7.0,47.06,220.0,48.0
8.0,48.04,250.0,49.0
9.0,48.04,280.0,49.0
10.0,48.04,310.0,49.0
11.0,48.04,340.0,49.0
12.0,48.04,380.0,49.0
13.0,48.04,410.0,49.0
14.0,49.02,440.0,50.0
15.0,50.0,470.0,51.0
16.0,51.96,510.0,53.0
17.0,51.96,540.0,53.0
18.0,52.94,570.0,54.0
19.0,53.92,600.0,55.0
20.0,53.92,640.0,55.0
21.0,55.88,670.0,57.0
22.0,55.88,700.0,57.0
23.0,55.88,730.0,57.0
24.0,55.88,760.0,57.0
25.0,55.88,800.0,57.0
26.0,56.86,830.0,58.0
27.0,57.84,860.0,59.0
28.0,58.82,890.0,60.0
29.0,59.8,930.0,61.0
30.0,59.8,960.0,61.0
31.0,61.76,990.0,63.0
32.0,61.76,1020.0,63.0
33.0,62.75,1060.0,64.0
34.0,62.75,1090.0,64.0
35.0,63.73,1120.0,65.0
36.0,65.69,1150.0,67.0
37.0,66.67,1190.0,68.0
38.0,67.65,1220.0,69.0
39.0,67.65,1250.0,69.0
40.0,68.63,1280.0,70.0
41.0,68.63,1310.0,70.0
42.0,68.63,1350.0,70.0
43.0,68.63,1380.0,70.0
44.0,68.63,1410.0,70.0
45.0,68.63,1440.0,70.0
46.0,70.59,1480.0,72.0
47.0,70.59,1510.0,72.0
48.0,70.59,1540.0,72.0
49.0,70.59,1570.0,72.0
50.0,70.59,1610.0,72.0
51.0,71.57,1640.0,73.0
52.0,71.57,1670.0,73.0
53.0,71.57,1700.0,73.0
54.0,72.55,1740.0,74.0
55.0,73.53,1770.0,75.0
56.0,73.53,1800.0,75.0
57.0,73.53,1830.0,75.0
58.0,73.53,1860.0,75.0
59.0,75.49,1900.0,77.0
60.0,75.49,1930.0,77.0
61.0,75.49,1960.0,77.0
62.0,75.49,1990.0,77.0
63.0,76.47,2030.0,78.0
64.0,76.47,2060.0,78.0
65.0,76.47,2090.0,78.0
66.0,78.43,2120.0,80.0
67.0,80.39,2160.0,82.0
68.0,80.39,2190.0,82.0
69.0,81.37,2220.0,83.0
70.0,81.37,2250.0,83.0
71.0,82.35,2280.0,84.0
72.0,83.33,2320.0,85.0
73.0,83.33,2350.0,85.0
74.0,83.33,2380.0,85.0
75.0,83.33,2410.0,85.0
76.0,83.33,2450.0,85.0
77.0,84.31,2480.0,86.0
78.0,85.29,2510.0,87.0
79.0,86.27,2540.0,88.0
80.0,86.27,2580.0,88.0
81.0,87.25,2610.0,89.0
82.0,87.25,2640.0,89.0
83.0,90.2,2670.0,92.0
84.0,91.18,2710.0,93.0
85.0,91.18,2740.0,93.0
86.0,91.18,2770.0,93.0
87.0,92.16,2800.0,94.0
88.0,92.16,2830.0,94.0
89.0,92.16,2870.0,94.0
90.0,93.14,2900.0,95.0
91.0,94.12,2930.0,96.0
92.0,94.12,2960.0,96.0


emf-2.4.1
prec_read,perc_found,total_read,total_found
1.0,30.77,20.0,16.0
2.0,40.38,40.0,21.0
3.0,40.38,60.0,21.0
4.0,40.38,80.0,21.0
5.0,40.38,100.0,21.0
6.0,40.38,130.0,21.0
7.0,40.38,150.0,21.0
8.0,40.38,170.0,21.0
9.0,40.38,190.0,21.0
10.0,42.31,210.0,22.0
11.0,44.23,240.0,23.0
12.0,44.23,260.0,23.0
13.0,44.23,280.0,23.0
14.0,44.23,300.0,23.0
15.0,44.23,320.0,23.0
16.0,44.23,350.0,23.0
17.0,44.23,370.0,23.0
18.0,44.23,390.0,23.0
19.0,44.23,410.0,23.0
20.0,44.23,430.0,23.0
21.0,46.15,450.0,24.0
22.0,46.15,480.0,24.0
23.0,46.15,500.0,24.0
24.0,46.15,520.0,24.0
25.0,46.15,540.0,24.0
26.0,46.15,560.0,24.0
27.0,46.15,590.0,24.0
28.0,48.08,610.0,25.0
29.0,48.08,630.0,25.0
30.0,50.0,650.0,26.0
31.0,53.85,670.0,28.0
32.0,55.77,700.0,29.0
33.0,57.69,720.0,30.0
34.0,57.69,740.0,30.0
35.0,57.69,760.0,30.0
36.0,59.62,780.0,31.0
37.0,59.62,810.0,31.0
38.0,59.62,830.0,31.0
39.0,59.62,850.0,31.0
40.0,59.62,870.0,31.0
41.0,59.62,890.0,31.0
42.0,59.62,920.0,31.0
43.0,63.46,940.0,33.0
44.0,63.46,960.0,33.0
45.0,67.31,980.0,35.0
46.0,67.31,1000.0,35.0
47.0,67.31,1030.0,35.0
48.0,69.23,1050.0,36.0
49.0,69.23,1070.0,36.0
50.0,69.23,1090.0,36.0
