,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,39.56,1.7,1.7,2.34,2.9
1,1,41.61,6.23,7.86,6.72,8.56
2,2,46.78,10.69,12.81,11.25,13.66
3,3,51.45,14.65,15.29,17.13,19.11
4,4,57.18,17.48,17.34,22.43,24.13
5,5,62.77,20.31,18.19,28.03,29.65
6,6,68.01,23.35,19.18,33.69,35.6
7,7,72.54,26.04,19.96,39.35,40.48
8,8,77.49,27.67,20.74,45.51,46.28
9,9,81.39,27.67,21.66,51.24,52.02
10,10,84.36,30.15,21.94,57.47,57.82
11,11,86.77,32.13,22.72,63.2,63.06
12,12,88.75,35.53,23.85,69.99,68.79
13,13,89.95,37.72,24.35,75.94,73.89
14,14,90.38,39.7,25.55,82.59,79.48
15,15,90.94,41.19,26.19,87.4,84.43
16,16,91.51,43.67,27.25,90.3,90.38
17,17,92.22,48.83,28.1,91.08,90.8
18,18,92.78,50.74,28.52,91.86,90.87
19,19,92.92,52.37,29.44,92.14,90.87
20,20,93.21,53.15,30.29,92.43,91.01
21,21,93.28,54.71,31.07,92.5,91.01
22,22,93.56,56.48,32.13,92.57,91.08
23,23,93.98,58.53,33.19,92.78,91.15
24,24,94.27,60.08,34.11,92.92,91.22
25,25,94.48,61.22,35.1,92.99,91.3
26,26,94.55,62.49,35.88,93.06,91.44
27,27,94.76,63.84,36.66,93.06,91.58
28,28,94.76,64.54,37.44,93.06,91.79
29,29,94.76,64.54,38.29,93.06,91.93
30,30,94.76,65.39,39.42,93.06,92.14
31,31,94.76,66.81,40.41,93.49,92.29
32,32,94.83,67.87,40.76,93.63,92.36
33,33,94.83,69.0,41.97,93.7,92.5
34,34,94.83,70.21,42.96,93.7,92.57
35,35,94.83,70.63,43.24,93.7,92.92
36,36,94.9,71.62,44.3,93.7,92.92
37,37,94.9,72.12,45.08,93.84,93.06
38,38,94.9,73.25,45.58,93.91,93.14
39,39,94.9,74.81,46.5,93.98,93.21
40,40,94.9,75.37,47.35,93.98,93.28
41,41,94.9,76.22,47.98,94.06,93.42
42,42,,77.42,48.9,,93.49
43,43,,78.2,50.11,,93.63
44,44,,78.27,51.1,,93.63
45,45,,78.91,52.02,,93.77
46,46,,79.41,52.72,,93.84
47,47,,79.69,53.79,,93.84
48,48,,79.76,54.99,,93.91
49,49,,80.11,55.48,,94.13
50,50,,80.54,56.55,,94.27
51,51,,80.82,57.54,,94.41
52,52,,81.67,58.24,,94.55
53,53,,82.17,59.16,,94.83
54,54,,82.94,60.23,,94.98
55,55,,83.51,61.22,,94.98
56,56,,84.15,61.92,,
57,57,,84.5,62.63,,
58,58,,85.28,63.48,,
59,59,,85.99,64.47,,
60,60,,86.34,65.61,,
61,61,,87.05,66.67,,
62,62,,87.83,67.59,,
63,63,,88.46,68.44,,
64,64,,89.24,69.0,,
65,65,,89.67,70.21,,
66,66,,89.67,71.05,,
67,67,,90.45,71.97,,
68,68,,90.59,72.4,,
69,69,,90.73,72.82,,
70,70,,91.51,73.74,,
71,71,,91.79,74.66,,
72,72,,92.71,76.01,,
73,73,,92.99,77.07,,
74,74,,93.42,77.99,,
75,75,,93.7,78.7,,
76,76,,93.7,79.62,,
77,77,,93.7,80.61,,
78,78,,93.7,81.53,,
79,79,,94.13,82.24,,
80,80,,94.41,83.01,,
81,81,,94.41,83.79,,
82,82,,94.98,84.29,,
83,83,,,85.07,,
84,84,,,85.99,,
85,85,,,87.26,,
86,86,,,88.39,,
87,87,,,89.24,,
88,88,,,90.02,,
89,89,,,90.87,,
90,90,,,91.93,,
91,91,,,92.78,,
92,92,,,93.7,,
93,93,,,94.55,,
94,94,,,,,
95,95,,,,,
96,96,,,,,
97,97,,,,,
98,98,,,,,
99,99,,,,,
100,100,,,,,
