,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,0.0,10.58,9.62,14.42,14.42
1,1,0.0,26.92,11.54,37.5,28.85
2,2,0.0,32.69,13.46,49.04,49.04
3,3,0.96,39.42,15.38,60.58,50.0
4,4,2.88,42.31,17.31,65.38,50.96
5,5,3.85,48.08,19.23,73.08,50.96
6,6,3.85,50.0,19.23,73.08,51.92
7,7,21.15,52.88,21.15,75.0,52.88
8,8,33.65,52.88,23.08,76.92,52.88
9,9,37.5,52.88,23.08,81.73,52.88
10,10,47.12,52.88,23.08,82.69,52.88
11,11,49.04,52.88,23.08,82.69,52.88
12,12,50.0,52.88,23.08,85.58,52.88
13,13,50.0,52.88,23.08,85.58,52.88
14,14,50.0,52.88,24.04,85.58,53.85
15,15,51.92,52.88,24.04,86.54,53.85
16,16,55.77,53.85,24.04,86.54,54.81
17,17,66.35,57.69,24.04,89.42,54.81
18,18,69.23,60.58,25.0,89.42,54.81
19,19,70.19,63.46,26.92,89.42,56.73
20,20,71.15,63.46,27.88,89.42,56.73
21,21,71.15,63.46,28.85,89.42,57.69
22,22,72.12,66.35,29.81,90.38,58.65
23,23,72.12,67.31,29.81,94.23,58.65
24,24,72.12,68.27,29.81,94.23,58.65
25,25,73.08,70.19,31.73,94.23,60.58
26,26,74.04,72.12,33.65,94.23,61.54
27,27,74.04,72.12,34.62,,62.5
28,28,75.0,75.0,35.58,,64.42
29,29,77.88,78.85,35.58,,64.42
30,30,81.73,79.81,35.58,,64.42
31,31,82.69,81.73,35.58,,64.42
32,32,82.69,84.62,36.54,,64.42
33,33,82.69,84.62,37.5,,65.38
34,34,83.65,84.62,37.5,,65.38
35,35,83.65,84.62,38.46,,65.38
36,36,83.65,84.62,38.46,,65.38
37,37,83.65,84.62,39.42,,66.35
38,38,83.65,85.58,39.42,,66.35
39,39,83.65,87.5,39.42,,66.35
40,40,84.62,87.5,41.35,,68.27
41,41,84.62,87.5,42.31,,68.27
42,42,84.62,87.5,42.31,,68.27
43,43,84.62,88.46,45.19,,68.27
44,44,84.62,88.46,47.12,,70.19
45,45,84.62,88.46,47.12,,70.19
46,46,84.62,88.46,47.12,,70.19
47,47,85.58,89.42,47.12,,70.19
48,48,85.58,89.42,47.12,,70.19
49,49,86.54,89.42,48.08,,71.15
50,50,89.42,89.42,49.04,,72.12
51,51,93.27,89.42,50.0,,72.12
52,52,,89.42,50.96,,73.08
53,53,,89.42,50.96,,73.08
54,54,,89.42,53.85,,74.04
55,55,,89.42,55.77,,74.04
56,56,,91.35,58.65,,76.92
57,57,,91.35,58.65,,76.92
58,58,,92.31,60.58,,77.88
59,59,,92.31,62.5,,78.85
60,60,,92.31,62.5,,78.85
61,61,,93.27,62.5,,79.81
62,62,,94.23,63.46,,80.77
63,63,,94.23,66.35,,80.77
64,64,,94.23,67.31,,81.73
65,65,,94.23,68.27,,82.69
66,66,,94.23,69.23,,82.69
67,67,,94.23,71.15,,84.62
68,68,,94.23,71.15,,84.62
69,69,,94.23,72.12,,84.62
70,70,,94.23,73.08,,84.62
71,71,,94.23,74.04,,85.58
72,72,,94.23,74.04,,85.58
73,73,,94.23,75.96,,87.5
74,74,,94.23,75.96,,87.5
75,75,,,78.85,,88.46
76,76,,,78.85,,88.46
77,77,,,78.85,,88.46
78,78,,,78.85,,88.46
79,79,,,80.77,,89.42
80,80,,,80.77,,90.38
81,81,,,80.77,,90.38
82,82,,,80.77,,91.35
83,83,,,81.73,,91.35
84,84,,,82.69,,93.27
85,85,,,84.62,,94.23
86,86,,,84.62,,94.23
87,87,,,86.54,,94.23
88,88,,,86.54,,94.23
89,89,,,86.54,,94.23
90,90,,,88.46,,
91,91,,,90.38,,
92,92,,,90.38,,
93,93,,,94.23,,
94,94,,,,,
95,95,,,,,
96,96,,,,,
97,97,,,,,
98,98,,,,,
99,99,,,,,
100,100,,,,,
