,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,9.92,4.58,1.53,16.79,8.4
1,1,16.79,14.5,3.82,34.35,25.95
2,2,16.79,17.56,6.87,43.51,42.75
3,3,16.79,17.56,8.4,49.62,49.62
4,4,16.79,17.56,9.16,56.49,49.62
5,5,16.79,21.37,9.16,61.07,49.62
6,6,16.79,22.9,9.92,65.65,49.62
7,7,17.56,25.19,9.92,67.94,49.62
8,8,17.56,28.24,10.69,70.99,49.62
9,9,18.32,29.77,10.69,71.76,49.62
10,10,18.32,31.3,12.21,72.52,51.15
11,11,18.32,35.88,12.21,73.28,51.91
12,12,18.32,40.46,12.21,77.1,52.67
13,13,19.08,41.22,12.21,77.1,52.67
14,14,19.85,41.22,12.21,77.86,52.67
15,15,19.85,41.22,12.98,78.63,52.67
16,16,19.85,42.75,12.98,78.63,52.67
17,17,20.61,43.51,12.98,80.15,52.67
18,18,20.61,43.51,12.98,80.15,52.67
19,19,20.61,43.51,14.5,80.15,52.67
20,20,20.61,43.51,15.27,80.15,52.67
21,21,20.61,46.56,15.27,80.15,52.67
22,22,20.61,50.38,16.79,82.44,52.67
23,23,20.61,53.44,16.79,83.97,52.67
24,24,20.61,53.44,18.32,83.97,53.44
25,25,20.61,54.2,19.85,83.97,54.2
26,26,21.37,54.96,22.14,84.73,55.73
27,27,21.37,55.73,24.43,85.5,57.25
28,28,21.37,56.49,25.19,86.26,58.02
29,29,21.37,57.25,25.95,86.26,58.02
30,30,21.37,58.78,27.48,86.26,58.78
31,31,22.14,60.31,28.24,87.02,58.78
32,32,23.66,61.07,28.24,87.02,58.78
33,33,25.19,63.36,29.77,87.79,59.54
34,34,26.72,64.89,32.06,87.79,61.07
35,35,27.48,65.65,32.82,87.79,61.07
36,36,28.24,66.41,35.88,87.79,61.83
37,37,28.24,68.7,36.64,87.79,62.6
38,38,28.24,70.99,38.17,87.79,63.36
39,39,28.24,71.76,38.93,87.79,65.65
40,40,28.24,73.28,39.69,89.31,65.65
41,41,28.24,77.1,41.22,89.31,66.41
42,42,28.24,77.86,41.22,91.6,66.41
43,43,29.77,77.86,41.22,91.6,66.41
44,44,29.77,79.39,43.51,92.37,67.18
45,45,29.77,79.39,48.09,93.13,67.94
46,46,30.53,80.15,48.85,93.13,68.7
47,47,32.06,80.15,48.85,93.13,68.7
48,48,32.06,82.44,50.38,94.66,69.47
49,49,33.59,83.97,53.44,94.66,70.23
50,50,34.35,84.73,54.2,,70.99
51,51,34.35,84.73,54.2,,70.99
52,52,37.4,85.5,54.96,,71.76
53,53,38.17,86.26,54.96,,71.76
54,54,39.69,87.02,56.49,,72.52
55,55,41.98,87.79,56.49,,74.05
56,56,42.75,89.31,58.02,,74.81
57,57,43.51,89.31,58.02,,74.81
58,58,43.51,89.31,58.02,,74.81
59,59,43.51,89.31,58.02,,75.57
60,60,43.51,89.31,58.02,,75.57
61,61,43.51,90.84,59.54,,76.34
62,62,43.51,91.6,60.31,,77.86
63,63,43.51,91.6,61.83,,77.86
64,64,44.27,91.6,61.83,,77.86
65,65,46.56,91.6,62.6,,79.39
66,66,47.33,91.6,64.89,,79.39
67,67,50.38,91.6,67.18,,81.68
68,68,51.15,92.37,67.94,,82.44
69,69,51.91,92.37,68.7,,83.21
70,70,51.91,92.37,70.99,,84.73
71,71,52.67,93.13,73.28,,86.26
72,72,53.44,94.66,74.81,,87.02
73,73,54.2,94.66,74.81,,87.02
74,74,54.96,94.66,74.81,,87.79
75,75,55.73,94.66,75.57,,87.79
76,76,55.73,,76.34,,88.55
77,77,56.49,,76.34,,88.55
78,78,56.49,,79.39,,89.31
79,79,56.49,,80.92,,90.84
80,80,58.02,,82.44,,92.37
81,81,60.31,,83.97,,92.37
82,82,60.31,,86.26,,93.89
83,83,61.07,,87.02,,94.66
84,84,63.36,,87.79,,94.66
85,85,63.36,,88.55,,95.42
86,86,64.12,,88.55,,
87,87,65.65,,89.31,,
88,88,66.41,,89.31,,
89,89,67.18,,90.08,,
90,90,69.47,,93.89,,
91,91,72.52,,93.89,,
92,92,74.05,,94.66,,
93,93,75.57,,,,
94,94,77.86,,,,
95,95,79.39,,,,
96,96,81.68,,,,
97,97,87.02,,,,
98,98,88.55,,,,
99,99,93.89,,,,
100,100,,,,,
