,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,33.96,9.89,8.02,5.88,9.36
1,1,33.96,19.79,15.24,26.47,25.13
2,2,33.96,28.07,20.86,47.33,39.84
3,3,33.96,32.62,20.86,66.31,55.35
4,4,33.96,35.29,21.93,74.87,71.66
5,5,33.96,40.91,23.26,76.47,72.73
6,6,34.22,43.32,24.33,77.27,72.73
7,7,34.49,45.19,24.6,79.95,72.99
8,8,34.49,46.26,25.13,81.28,73.8
9,9,34.49,50.53,25.94,82.89,74.33
10,10,34.49,52.41,27.54,83.69,74.6
11,11,34.76,57.22,28.34,84.22,75.13
12,12,34.76,59.36,29.14,86.1,75.4
13,13,34.76,62.83,29.95,86.63,75.67
14,14,34.76,64.97,30.21,87.7,75.67
15,15,35.03,66.84,31.02,88.24,75.67
16,16,35.29,69.25,31.55,88.5,75.67
17,17,35.83,71.93,32.62,88.5,75.94
18,18,36.36,72.99,34.49,88.77,76.2
19,19,36.36,73.26,35.29,88.77,77.01
20,20,36.63,74.06,36.36,89.3,77.27
21,21,37.17,75.4,37.7,91.71,77.27
22,22,37.7,77.81,38.24,91.71,77.54
23,23,37.97,78.88,39.3,91.71,78.07
24,24,38.24,78.88,39.84,91.71,78.07
25,25,38.5,79.95,40.11,91.71,78.07
26,26,38.5,81.02,40.91,91.71,78.88
27,27,38.5,81.82,41.98,91.71,79.14
28,28,38.77,82.62,43.05,91.71,79.14
29,29,39.3,82.89,43.32,91.71,79.41
30,30,39.3,83.16,44.12,91.71,79.41
31,31,40.64,83.42,45.45,91.71,79.41
32,32,40.91,84.76,47.86,91.71,79.41
33,33,41.18,85.29,48.4,91.71,80.21
34,34,41.18,86.1,48.66,91.71,80.48
35,35,41.44,86.63,50.27,91.71,80.75
36,36,41.44,86.9,50.53,91.71,81.28
37,37,41.98,88.24,51.07,91.71,81.55
38,38,42.25,89.3,51.34,91.71,81.55
39,39,42.25,89.3,52.67,91.71,81.82
40,40,42.25,89.57,54.01,91.71,82.09
41,41,43.05,89.84,54.01,91.71,82.35
42,42,43.05,90.64,54.55,91.71,83.42
43,43,43.05,90.64,56.68,91.71,83.42
44,44,43.58,90.64,57.22,91.71,83.69
45,45,43.58,90.64,57.22,91.71,83.69
46,46,45.99,91.71,58.29,91.71,83.96
47,47,47.33,91.71,59.89,91.71,84.49
48,48,47.59,92.78,60.16,91.71,84.49
49,49,47.86,92.78,60.7,91.71,84.76
50,50,48.4,94.12,60.7,91.71,84.76
51,51,49.2,94.65,61.23,91.71,84.76
52,52,49.73,94.92,62.03,91.71,85.03
53,53,51.07,,62.03,91.71,85.03
54,54,51.34,,62.3,91.71,85.29
55,55,51.6,,63.1,92.25,85.29
56,56,52.67,,63.37,92.25,85.56
57,57,52.94,,63.64,92.51,85.56
58,58,53.21,,64.44,93.85,85.56
59,59,53.21,,66.04,93.85,86.1
60,60,54.01,,66.84,,86.36
61,61,54.55,,67.65,,86.36
62,62,55.08,,67.91,,86.63
63,63,55.61,,68.18,,86.63
64,64,56.15,,68.98,,86.9
65,65,56.42,,69.79,,86.9
66,66,56.95,,70.59,,86.9
67,67,57.49,,71.12,,86.9
68,68,58.02,,72.19,,87.17
69,69,58.02,,72.73,,87.43
70,70,58.82,,74.06,,87.97
71,71,59.36,,75.13,,88.24
72,72,59.89,,76.47,,88.77
73,73,60.16,,77.01,,89.3
74,74,60.96,,78.88,,89.84
75,75,60.96,,80.21,,90.91
76,76,62.03,,81.82,,91.44
77,77,62.57,,82.62,,91.98
78,78,64.97,,83.69,,92.25
79,79,67.11,,85.03,,92.51
80,80,67.91,,85.83,,94.12
81,81,68.45,,86.9,,94.39
82,82,68.98,,87.17,,94.92
83,83,68.98,,88.24,,
84,84,69.25,,89.3,,
85,85,70.32,,90.11,,
86,86,71.12,,90.37,,
87,87,72.99,,90.91,,
88,88,73.53,,91.44,,
89,89,74.87,,92.51,,
90,90,75.4,,93.32,,
91,91,76.74,,93.85,,
92,92,79.68,,94.12,,
93,93,81.28,,94.12,,
94,94,81.82,,95.19,,
95,95,83.42,,,,
96,96,84.76,,,,
97,97,89.3,,,,
98,98,94.92,,,,
99,99,,,,,
100,100,,,,,
