,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,47.06,15.2,16.18,17.65,14.71
1,1,47.06,34.31,22.55,43.63,38.24
2,2,47.06,44.61,25.0,75.98,67.65
3,3,47.55,49.02,26.47,88.24,89.71
4,4,47.55,52.94,27.94,,89.71
5,5,47.55,59.31,28.43,,90.2
6,6,47.55,60.78,29.41,,90.2
7,7,48.04,64.22,29.9,,90.2
8,8,48.04,67.16,31.86,,90.2
9,9,48.53,69.61,33.33,,90.2
10,10,49.02,69.61,34.31,,90.2
11,11,49.02,69.61,35.78,,90.2
12,12,49.51,69.61,35.78,,90.2
13,13,49.51,70.59,35.78,,90.2
14,14,50.0,72.06,37.75,,90.2
15,15,50.49,74.02,37.75,,90.2
16,16,50.98,75.49,37.75,,90.2
17,17,50.98,76.47,38.24,,90.2
18,18,51.47,77.45,38.24,,90.2
19,19,51.47,79.41,39.71,,90.2
20,20,51.47,81.37,40.2,,90.2
21,21,51.96,83.82,40.69,,90.2
22,22,51.96,84.8,41.18,,90.69
23,23,52.45,85.29,42.65,,91.18
24,24,52.45,85.78,43.63,,91.18
25,25,52.45,86.76,44.61,,91.18
26,26,52.45,86.76,45.59,,91.18
27,27,52.45,87.25,46.57,,91.18
28,28,52.45,89.22,49.02,,91.18
29,29,52.45,90.2,50.0,,91.18
30,30,52.45,90.69,50.49,,91.67
31,31,52.45,90.69,52.45,,92.16
32,32,52.45,91.18,53.43,,92.16
33,33,52.45,91.18,53.92,,92.16
34,34,52.45,91.18,55.39,,92.16
35,35,52.45,92.16,56.37,,92.16
36,36,52.45,92.65,56.86,,92.65
37,37,52.45,93.14,56.86,,92.65
38,38,52.45,93.63,57.35,,92.65
39,39,52.45,94.12,58.33,,92.65
40,40,52.45,94.61,58.82,,92.65
41,41,52.45,94.61,59.31,,93.14
42,42,52.45,94.61,60.78,,93.14
43,43,52.45,,61.76,,93.63
44,44,52.45,,62.25,,93.63
45,45,53.43,,62.25,,93.63
46,46,53.43,,62.75,,93.63
47,47,53.92,,64.22,,93.63
48,48,56.37,,64.71,,93.63
49,49,56.37,,65.69,,93.63
50,50,56.86,,67.65,,94.12
51,51,56.86,,68.14,,94.12
52,52,58.33,,68.14,,94.12
53,53,58.33,,68.63,,94.12
54,54,58.82,,69.61,,94.61
55,55,58.82,,71.57,,94.61
56,56,58.82,,72.55,,94.61
57,57,59.8,,73.04,,94.61
58,58,59.8,,74.02,,94.61
59,59,59.8,,74.51,,94.61
60,60,60.29,,75.49,,94.61
61,61,60.78,,75.98,,94.61
62,62,60.78,,75.98,,94.61
63,63,60.78,,76.47,,94.61
64,64,60.78,,76.47,,94.61
65,65,60.78,,76.47,,94.61
66,66,60.78,,78.43,,
67,67,61.27,,79.9,,
68,68,63.24,,81.86,,
69,69,63.24,,82.35,,
70,70,63.24,,83.33,,
71,71,64.22,,84.31,,
72,72,64.71,,84.8,,
73,73,64.71,,85.29,,
74,74,64.71,,86.27,,
75,75,65.2,,86.27,,
76,76,66.67,,86.27,,
77,77,67.16,,87.25,,
78,78,67.16,,87.25,,
79,79,67.16,,87.25,,
80,80,67.16,,87.75,,
81,81,67.16,,89.71,,
82,82,68.14,,90.2,,
83,83,68.63,,90.69,,
84,84,68.63,,90.69,,
85,85,69.12,,91.18,,
86,86,69.12,,91.18,,
87,87,69.61,,92.16,,
88,88,69.61,,94.12,,
89,89,70.1,,,,
90,90,70.1,,,,
91,91,70.1,,,,
92,92,70.59,,,,
93,93,71.08,,,,
94,94,72.55,,,,
95,95,76.96,,,,
96,96,77.94,,,,
97,97,80.39,,,,
98,98,88.24,,,,
99,99,,,,,
100,100,,,,,
