,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,9.62,10.58,9.62,14.42,11.54
1,1,18.27,26.92,11.54,37.5,29.81
2,2,23.08,32.69,13.46,49.04,46.15
3,3,23.08,39.42,15.38,62.5,46.15
4,4,23.08,42.31,17.31,67.31,47.12
5,5,23.08,48.08,19.23,72.12,48.08
6,6,23.08,50.0,19.23,73.08,49.04
7,7,23.08,52.88,21.15,73.08,49.04
8,8,23.08,52.88,23.08,73.08,50.0
9,9,25.96,52.88,23.08,73.08,50.0
10,10,25.96,52.88,23.08,75.0,50.0
11,11,27.88,52.88,23.08,78.85,50.0
12,12,27.88,52.88,23.08,82.69,50.96
13,13,27.88,52.88,23.08,83.65,50.96
14,14,27.88,52.88,24.04,83.65,51.92
15,15,27.88,52.88,24.04,88.46,51.92
16,16,27.88,53.85,24.04,88.46,52.88
17,17,27.88,57.69,24.04,88.46,52.88
18,18,27.88,60.58,25.0,88.46,52.88
19,19,28.85,63.46,26.92,89.42,54.81
20,20,29.81,63.46,27.88,90.38,54.81
21,21,31.73,63.46,28.85,91.35,55.77
22,22,32.69,66.35,29.81,91.35,56.73
23,23,34.62,67.31,29.81,91.35,56.73
24,24,35.58,68.27,29.81,91.35,56.73
25,25,35.58,70.19,31.73,91.35,58.65
26,26,35.58,72.12,33.65,91.35,59.62
27,27,35.58,72.12,34.62,91.35,60.58
28,28,35.58,75.0,35.58,91.35,62.5
29,29,35.58,78.85,35.58,91.35,62.5
30,30,36.54,79.81,35.58,92.31,62.5
31,31,36.54,81.73,35.58,92.31,62.5
32,32,36.54,84.62,36.54,92.31,62.5
33,33,36.54,84.62,37.5,92.31,63.46
34,34,36.54,84.62,37.5,92.31,63.46
35,35,36.54,84.62,38.46,92.31,63.46
36,36,37.5,84.62,38.46,92.31,63.46
37,37,37.5,84.62,39.42,92.31,64.42
38,38,39.42,85.58,39.42,92.31,64.42
39,39,39.42,87.5,39.42,92.31,64.42
40,40,39.42,87.5,41.35,92.31,66.35
41,41,39.42,87.5,42.31,92.31,66.35
42,42,40.38,87.5,42.31,92.31,66.35
43,43,40.38,88.46,45.19,92.31,67.31
44,44,40.38,88.46,47.12,92.31,68.27
45,45,40.38,88.46,47.12,92.31,68.27
46,46,40.38,88.46,47.12,92.31,68.27
47,47,40.38,89.42,47.12,92.31,68.27
48,48,40.38,89.42,47.12,92.31,68.27
49,49,40.38,89.42,48.08,92.31,69.23
50,50,41.35,89.42,49.04,92.31,70.19
51,51,41.35,89.42,50.0,92.31,70.19
52,52,43.27,89.42,50.96,92.31,71.15
53,53,43.27,89.42,50.96,92.31,71.15
54,54,43.27,89.42,53.85,92.31,72.12
55,55,43.27,89.42,55.77,92.31,72.12
56,56,44.23,91.35,58.65,92.31,75.0
57,57,45.19,91.35,58.65,93.27,75.0
58,58,45.19,92.31,60.58,,76.92
59,59,45.19,92.31,62.5,,76.92
60,60,45.19,92.31,62.5,,76.92
61,61,45.19,93.27,62.5,,77.88
62,62,46.15,94.23,63.46,,78.85
63,63,47.12,94.23,66.35,,79.81
64,64,49.04,94.23,67.31,,80.77
65,65,50.0,94.23,68.27,,81.73
66,66,50.0,94.23,69.23,,81.73
67,67,50.0,94.23,71.15,,83.65
68,68,50.0,94.23,71.15,,83.65
69,69,50.0,94.23,72.12,,83.65
70,70,52.88,94.23,73.08,,83.65
71,71,53.85,94.23,74.04,,84.62
72,72,55.77,94.23,74.04,,84.62
73,73,55.77,94.23,75.96,,86.54
74,74,55.77,94.23,75.96,,86.54
75,75,56.73,,78.85,,88.46
76,76,56.73,,78.85,,88.46
77,77,56.73,,78.85,,88.46
78,78,56.73,,78.85,,88.46
79,79,56.73,,80.77,,89.42
80,80,56.73,,80.77,,90.38
81,81,58.65,,80.77,,90.38
82,82,59.62,,80.77,,91.35
83,83,60.58,,81.73,,91.35
84,84,62.5,,82.69,,93.27
85,85,63.46,,84.62,,94.23
86,86,64.42,,84.62,,94.23
87,87,64.42,,86.54,,94.23
88,88,64.42,,86.54,,94.23
89,89,65.38,,86.54,,94.23
90,90,68.27,,88.46,,
91,91,70.19,,90.38,,
92,92,71.15,,90.38,,
93,93,73.08,,94.23,,
94,94,75.0,,,,
95,95,77.88,,,,
96,96,82.69,,,,
97,97,83.65,,,,
98,98,90.38,,,,
99,99,,,,,
100,100,,,,,
