,perc_read,FASTREAD,NBM,KNN,SVM,DT
0,0,32.2,2.54,3.18,2.12,3.39
1,1,32.2,8.47,8.26,8.05,9.11
2,2,32.2,13.56,11.02,14.41,13.98
3,3,32.63,16.53,13.35,20.34,19.07
4,4,32.63,20.13,15.25,26.69,24.58
5,5,32.84,23.31,16.31,32.63,30.08
6,6,32.84,27.97,16.53,38.98,35.17
7,7,33.26,30.3,17.37,45.34,41.31
8,8,33.26,33.47,18.64,51.69,46.61
9,9,33.69,33.69,20.76,57.2,52.12
10,10,33.9,36.02,21.61,63.35,57.2
11,11,33.9,39.41,21.82,69.7,63.14
12,12,33.9,41.1,22.25,74.58,68.86
13,13,34.11,43.01,23.31,77.33,73.52
14,14,34.32,44.92,23.94,79.45,74.36
15,15,34.53,45.97,24.58,80.08,74.36
16,16,34.75,47.03,25.42,80.93,74.36
17,17,34.75,47.88,25.85,82.42,74.58
18,18,35.59,49.36,27.54,84.32,75.21
19,19,35.59,50.85,29.03,84.96,75.21
20,20,36.02,51.27,29.87,86.02,75.42
21,21,36.02,51.48,30.3,87.5,75.64
22,22,36.23,52.54,31.78,88.56,76.27
23,23,36.65,53.6,32.84,89.41,76.69
24,24,37.29,54.45,33.69,90.04,76.69
25,25,37.29,55.72,34.75,90.68,77.54
26,26,37.71,57.2,35.38,91.1,78.18
27,27,37.71,57.63,36.44,91.1,78.6
28,28,38.56,58.69,37.29,91.1,78.6
29,29,39.19,60.81,38.14,91.53,79.24
30,30,40.47,61.65,38.56,91.53,79.66
31,31,40.89,62.29,38.77,92.58,80.08
32,32,41.53,62.92,39.62,92.58,80.08
33,33,41.53,63.77,40.25,93.01,80.3
34,34,41.53,65.25,41.31,93.86,80.3
35,35,41.74,66.31,42.37,93.86,80.51
36,36,41.74,66.74,43.43,94.28,80.93
37,37,41.95,67.8,43.86,94.28,81.14
38,38,42.16,68.86,44.92,94.49,81.36
39,39,42.8,70.34,45.76,95.13,82.2
40,40,43.22,72.67,47.03,,82.2
41,41,43.22,73.94,48.52,,82.42
42,42,44.28,73.94,49.36,,82.42
43,43,44.28,74.58,51.06,,82.84
44,44,44.28,75.64,51.91,,83.26
45,45,44.49,76.48,52.54,,84.11
46,46,44.49,76.69,53.39,,84.32
47,47,45.34,76.69,53.39,,84.32
48,48,45.97,77.54,55.72,,84.32
49,49,45.97,78.6,56.57,,84.32
50,50,46.19,79.87,58.05,,84.75
51,51,47.03,80.51,58.47,,85.59
52,52,47.46,81.14,60.17,,86.44
53,53,48.52,81.78,60.59,,87.29
54,54,49.15,82.63,61.02,,87.5
55,55,49.36,83.26,61.44,,87.92
56,56,49.79,84.11,61.86,,87.92
57,57,50.42,85.59,62.5,,88.14
58,58,50.64,86.02,63.56,,88.56
59,59,51.27,86.44,63.98,,88.77
60,60,51.48,87.29,64.62,,88.98
61,61,51.69,87.29,65.68,,89.83
62,62,52.75,87.5,67.58,,90.04
63,63,52.97,88.14,68.43,,90.47
64,64,54.24,88.77,69.7,,90.47
65,65,54.45,89.41,70.34,,90.89
66,66,54.66,90.47,71.19,,90.89
67,67,54.87,90.68,71.82,,91.74
68,68,55.72,91.1,73.52,,91.95
69,69,55.72,91.1,74.79,,92.16
70,70,56.78,91.31,75.64,,92.37
71,71,57.63,92.16,76.69,,92.58
72,72,58.47,92.58,77.33,,93.22
73,73,59.53,92.8,78.18,,93.43
74,74,61.44,93.01,79.45,,94.07
75,75,62.29,93.86,80.51,,94.07
76,76,64.41,94.28,81.57,,94.28
77,77,65.25,94.92,82.2,,94.7
78,78,66.1,,82.84,,94.92
79,79,66.53,,83.9,,
80,80,66.74,,84.53,,
81,81,68.01,,85.38,,
82,82,69.7,,86.44,,
83,83,70.34,,86.86,,
84,84,71.19,,87.71,,
85,85,72.03,,88.77,,
86,86,74.79,,89.19,,
87,87,76.06,,90.04,,
88,88,77.54,,90.68,,
89,89,79.24,,91.1,,
90,90,81.14,,91.53,,
91,91,84.75,,93.01,,
92,92,86.23,,93.86,,
93,93,90.04,,,,
94,94,94.07,,,,
95,95,,,,,
96,96,,,,,
97,97,,,,,
98,98,,,,,
99,99,,,,,
100,100,,,,,
